ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002136.SZ,20200110,7.86,7.89,7.71,7.79,7.83,-0.04,-0.5109,26624.7,20721.245
002136.SZ,20200109,7.79,7.87,7.77,7.83,7.73,0.1,1.2937,29610.19,23160.744
002136.SZ,20200108,7.83,7.89,7.65,7.73,7.89,-0.16,-2.0279,40731.27,31710.814
002136.SZ,20200107,7.84,7.97,7.78,7.89,7.76,0.13,1.6753,45963.83,36165.103
002136.SZ,20200106,7.68,7.9,7.64,7.76,7.74,0.02,0.2584,43287.29,33627.666
002136.SZ,20200103,7.72,7.81,7.69,7.74,7.75,-0.01,-0.129,33171.0,25679.828
002136.SZ,20200102,7.66,7.79,7.65,7.75,7.63,0.12,1.5727,41868.03,32322.519
002136.SZ,20191231,7.61,7.65,7.55,7.63,7.67,-0.04,-0.5215,25097.18,19094.881
002136.SZ,20191230,7.51,7.72,7.4,7.67,7.55,0.12,1.5894,39751.86,30098.159
002136.SZ,20191227,7.57,7.68,7.55,7.55,7.58,-0.03,-0.3958,27674.0,21059.167
002136.SZ,20191226,7.5,7.61,7.47,7.58,7.5,0.08,1.0667,28333.14,21418.294
002136.SZ,20191225,7.47,7.52,7.42,7.5,7.48,0.02,0.2674,19248.01,14413.425
002136.SZ,20191224,7.35,7.48,7.35,7.48,7.35,0.13,1.7687,18108.02,13437.719
002136.SZ,20191223,7.45,7.45,7.33,7.35,7.47,-0.12,-1.6064,25473.03,18811.483
002136.SZ,20191220,7.54,7.6,7.47,7.47,7.55,-0.08,-1.0596,24593.0,18506.077
002136.SZ,20191219,7.46,7.59,7.46,7.55,7.48,0.07,0.9358,25211.1,18972.003
002136.SZ,20191218,7.57,7.6,7.46,7.48,7.54,-0.06,-0.7958,32031.0,24085.779
002136.SZ,20191217,7.46,7.57,7.46,7.54,7.46,0.08,1.0724,36332.16,27307.174
002136.SZ,20191216,7.42,7.48,7.37,7.46,7.38,0.08,1.084,31548.48,23446.999
002136.SZ,20191213,7.36,7.39,7.31,7.38,7.33,0.05,0.6821,30644.82,22535.174
002136.SZ,20191212,7.36,7.41,7.33,7.33,7.39,-0.06,-0.8119,20965.0,15424.187
002136.SZ,20191211,7.37,7.43,7.36,7.39,7.39,0.0,0.0,21527.01,15909.938
002136.SZ,20191210,7.38,7.4,7.28,7.39,7.38,0.01,0.1355,18016.01,13250.11
002136.SZ,20191209,7.39,7.43,7.33,7.38,7.38,0.0,0.0,16272.0,11979.13
002136.SZ,20191206,7.36,7.42,7.32,7.38,7.38,0.0,0.0,20952.03,15425.453
