ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600885.SH,20200110,36.72,36.83,35.6,36.22,37.2,-0.98,-2.6344,88683.21,319677.336
600885.SH,20200109,37.04,37.88,36.31,37.2,36.89,0.31,0.8403,75895.83,279326.149
600885.SH,20200108,35.87,37.78,35.46,36.89,35.69,1.2,3.3623,134506.08,496264.331
600885.SH,20200107,35.5,36.69,35.45,35.69,35.45,0.24,0.677,82394.44,296727.177
600885.SH,20200106,35.17,37.92,34.41,35.45,34.47,0.98,2.8431,243698.8,876249.09
600885.SH,20200103,34.38,34.75,33.65,34.47,34.19,0.28,0.819,78402.22,268257.003
600885.SH,20200102,34.45,34.66,33.65,34.19,34.45,-0.26,-0.7547,84439.0,287986.396
600885.SH,20191231,34.65,35.23,33.73,34.45,34.8,-0.35,-1.0057,47362.58,162808.491
600885.SH,20191230,33.58,35.4,33.58,34.8,33.59,1.21,3.6023,90921.84,315126.23
600885.SH,20191227,34.42,34.43,33.39,33.59,34.05,-0.46,-1.351,71022.94,240204.169
600885.SH,20191226,34.35,34.98,33.45,34.05,34.5,-0.45,-1.3043,74743.0,252908.524
600885.SH,20191225,35.1,35.85,33.81,34.5,34.53,-0.03,-0.0869,105048.84,365961.666
600885.SH,20191224,32.7,35.3,31.8,34.53,32.34,2.19,6.7718,82567.06,278135.515
600885.SH,20191223,32.1,32.74,31.66,32.34,31.97,0.37,1.1573,78822.69,254445.286
600885.SH,20191220,31.44,32.39,31.3,31.97,31.37,0.6,1.9127,72412.39,231147.9
600885.SH,20191219,31.41,31.87,31.12,31.37,31.4,-0.03,-0.0955,62844.8,197928.735
600885.SH,20191218,31.96,32.58,31.18,31.4,31.69,-0.29,-0.9151,92434.33,292287.031
600885.SH,20191217,31.0,33.33,30.51,31.69,30.3,1.39,4.5875,204380.69,662128.533
600885.SH,20191216,29.57,31.08,29.22,30.3,29.65,0.65,2.1922,134059.29,407661.16
600885.SH,20191213,28.72,29.93,28.72,29.65,28.68,0.97,3.3821,135540.92,399640.765
600885.SH,20191212,29.1,29.14,28.66,28.68,28.83,-0.15,-0.5203,48599.03,140430.852
600885.SH,20191211,28.98,29.11,28.1,28.83,28.89,-0.06,-0.2077,45073.29,128786.163
600885.SH,20191210,29.4,30.09,28.7,28.89,29.56,-0.67,-2.2666,128622.73,375704.392
600885.SH,20191209,30.23,30.37,29.09,29.56,29.89,-0.33,-1.104,55217.13,162939.582
600885.SH,20191206,28.64,30.0,28.3,29.89,28.71,1.18,4.1101,67069.24,197973.163
