ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300328.SZ,20200110,14.71,14.93,14.49,14.77,14.69,0.08,0.5446,92189.45,135658.269
300328.SZ,20200109,14.83,14.89,14.48,14.69,14.58,0.11,0.7545,114992.06,168953.932
300328.SZ,20200108,15.22,15.3,14.48,14.58,15.52,-0.94,-6.0567,249555.58,369889.529
300328.SZ,20200107,15.47,15.76,15.28,15.52,15.57,-0.05,-0.3211,122481.0,189712.781
300328.SZ,20200106,15.03,15.94,15.03,15.57,15.17,0.4,2.6368,177658.85,276149.248
300328.SZ,20200103,15.1,15.39,14.96,15.17,15.14,0.03,0.1982,101079.17,152949.221
300328.SZ,20200102,14.96,15.24,14.72,15.14,14.74,0.4,2.7137,114949.69,173066.308
300328.SZ,20191231,14.75,15.17,14.5,14.74,14.75,-0.01,-0.0678,98241.09,145555.702
300328.SZ,20191230,14.49,15.07,14.35,14.75,14.83,-0.08,-0.5394,135432.96,200024.383
300328.SZ,20191227,15.57,15.85,14.8,14.83,15.72,-0.89,-5.6616,194717.58,297457.933
300328.SZ,20191226,15.72,16.2,15.46,15.72,15.83,-0.11,-0.6949,159618.16,251929.19
300328.SZ,20191225,15.87,15.99,15.5,15.83,15.99,-0.16,-1.0006,197509.12,310717.858
300328.SZ,20191224,15.05,16.28,15.05,15.99,15.08,0.91,6.0345,234929.91,369234.021
300328.SZ,20191223,14.66,16.09,14.3,15.08,14.69,0.39,2.6549,223356.12,339345.738
300328.SZ,20191220,15.37,15.64,14.63,14.69,15.26,-0.57,-3.7353,178312.29,269179.506
300328.SZ,20191219,14.65,15.55,14.56,15.26,14.72,0.54,3.6685,232940.26,350541.591
300328.SZ,20191218,14.22,14.93,14.1,14.72,14.23,0.49,3.4434,227435.31,329532.559
300328.SZ,20191217,13.99,14.54,13.87,14.23,13.97,0.26,1.8611,181431.95,259031.376
300328.SZ,20191216,13.76,14.06,13.58,13.97,13.7,0.27,1.9708,130426.72,180957.999
300328.SZ,20191213,13.88,13.89,13.52,13.7,13.82,-0.12,-0.8683,121098.32,165626.175
300328.SZ,20191212,13.62,14.02,13.5,13.82,13.62,0.2,1.4684,157034.11,216555.58
300328.SZ,20191211,13.8,14.02,13.5,13.62,13.91,-0.29,-2.0848,184075.56,252631.408
300328.SZ,20191210,13.15,14.12,13.15,13.91,13.29,0.62,4.6652,236267.71,321564.149
300328.SZ,20191209,13.1,13.52,13.06,13.29,13.23,0.06,0.4535,150628.24,200079.583
300328.SZ,20191206,13.68,13.68,13.07,13.23,13.3,-0.07,-0.5263,168699.59,224289.882
300328.SZ,20191205,13.08,13.35,12.96,13.3,13.21,0.09,0.6813,190878.44,251489.807
300328.SZ,20191204,12.37,13.4,12.22,13.21,12.43,0.78,6.2751,212569.19,273855.244
300328.SZ,20191203,12.05,12.51,11.94,12.43,11.93,0.5,4.1911,132469.01,163137.954
300328.SZ,20191202,12.14,12.16,11.78,11.93,12.13,-0.2,-1.6488,76216.05,90765.383
300328.SZ,20191129,11.93,12.16,11.75,12.13,11.92,0.21,1.7617,78629.14,94019.948
300328.SZ,20191128,12.15,12.27,11.81,11.92,12.14,-0.22,-1.8122,96872.89,116579.986
300328.SZ,20191127,12.35,12.42,11.99,12.14,12.28,-0.14,-1.1401,101316.77,123616.94
300328.SZ,20191126,12.8,12.95,12.22,12.28,12.61,-0.33,-2.617,119019.12,148691.441
300328.SZ,20191125,13.2,13.2,12.5,12.61,13.27,-0.66,-4.9736,143418.62,183415.065
300328.SZ,20191122,13.39,13.68,12.98,13.27,13.17,0.1,0.7593,190769.71,254382.578
300328.SZ,20191121,13.22,13.42,13.06,13.17,13.48,-0.31,-2.2997,143692.35,189623.372
300328.SZ,20191120,12.95,13.58,12.95,13.48,13.14,0.34,2.5875,288757.46,384797.458
300328.SZ,20191119,13.3,13.79,13.02,13.14,12.89,0.25,1.9395,391514.58,522970.144
300328.SZ,20191118,12.89,12.89,12.89,12.89,11.72,1.17,9.9829,60139.16,77519.377
300328.SZ,20191115,11.92,12.07,11.71,11.72,12.01,-0.29,-2.4147,97165.48,115090.58
300328.SZ,20191114,11.38,12.22,11.27,12.01,11.43,0.58,5.0744,145680.47,172699.325
300328.SZ,20191113,11.35,11.67,11.24,11.43,11.4,0.03,0.2632,75172.45,86346.774
300328.SZ,20191112,11.54,11.6,11.1,11.4,11.48,-0.08,-0.6969,75505.98,85630.689
300328.SZ,20191111,11.78,11.8,11.18,11.48,11.9,-0.42,-3.5294,114187.37,130425.88
300328.SZ,20191108,12.17,12.37,11.88,11.9,12.17,-0.27,-2.2186,76546.39,92725.547
300328.SZ,20191107,11.96,12.25,11.78,12.17,11.91,0.26,2.183,78754.26,95110.125
300328.SZ,20191106,12.3,12.4,11.77,11.91,12.33,-0.42,-3.4063,93522.26,112468.416
300328.SZ,20191105,12.33,12.44,12.03,12.33,12.32,0.01,0.0812,82273.37,100606.262
300328.SZ,20191104,12.59,12.64,12.22,12.32,12.59,-0.27,-2.1446,76264.29,94360.357
300328.SZ,20191101,12.26,12.66,12.26,12.59,12.36,0.23,1.8608,69407.94,86818.073
300328.SZ,20191031,12.7,12.83,12.3,12.36,12.7,-0.34,-2.6772,89133.55,111425.92
