ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300497.SZ,20200110,18.95,19.37,18.82,19.34,18.93,0.41,2.1659,96452.04,184497.141
300497.SZ,20200109,18.85,19.06,18.65,18.93,18.63,0.3,1.6103,66766.09,125800.501
300497.SZ,20200108,18.87,19.08,18.59,18.63,18.95,-0.32,-1.6887,56125.08,105744.542
300497.SZ,20200107,18.78,19.13,18.64,18.95,18.67,0.28,1.4997,61522.83,116254.608
300497.SZ,20200106,19.0,19.3,18.53,18.67,19.13,-0.46,-2.4046,69198.59,130911.661
300497.SZ,20200103,19.29,19.35,18.99,19.13,19.48,-0.35,-1.7967,48011.33,91903.923
300497.SZ,20200102,19.0,19.53,18.82,19.48,18.87,0.61,3.2326,73676.84,140884.05
300497.SZ,20191231,18.9,19.17,18.69,18.87,18.9,-0.03,-0.1587,76581.09,144926.553
300497.SZ,20191230,20.1,20.2,18.77,18.9,19.48,-0.58,-2.9774,125358.07,240943.817
300497.SZ,20191227,19.51,19.75,19.28,19.48,19.51,-0.03,-0.1538,54099.19,105525.74
300497.SZ,20191226,19.78,19.8,19.22,19.51,19.65,-0.14,-0.7125,63412.9,123720.107
300497.SZ,20191225,19.38,19.92,19.16,19.65,19.27,0.38,1.972,64097.75,125983.048
300497.SZ,20191224,18.91,19.38,18.91,19.27,18.82,0.45,2.3911,52590.86,100845.896
300497.SZ,20191223,19.55,19.57,18.7,18.82,19.69,-0.87,-4.4185,89665.69,170761.551
300497.SZ,20191220,19.5,19.75,19.13,19.69,19.43,0.26,1.3381,77559.4,151142.012
300497.SZ,20191219,19.25,20.1,19.06,19.43,19.0,0.43,2.2632,137251.96,268679.181
300497.SZ,20191218,18.78,19.07,18.61,19.0,18.78,0.22,1.1715,53636.41,101482.374
300497.SZ,20191217,18.77,18.99,18.61,18.78,18.8,-0.02,-0.1064,43716.35,82103.805
300497.SZ,20191216,18.15,18.88,18.01,18.8,18.17,0.63,3.4673,59228.18,110268.915
300497.SZ,20191213,18.2,18.21,17.94,18.17,18.09,0.08,0.4422,39054.09,70566.23
300497.SZ,20191212,17.81,18.1,17.7,18.09,17.81,0.28,1.5722,54228.63,97452.676
300497.SZ,20191211,17.7,17.86,17.57,17.81,17.71,0.1,0.5647,34622.56,61428.81
300497.SZ,20191210,17.58,17.9,17.46,17.71,17.75,-0.04,-0.2254,44698.36,79060.581
300497.SZ,20191209,18.02,18.4,17.72,17.75,17.96,-0.21,-1.1693,63197.78,113945.623
300497.SZ,20191206,17.63,18.03,17.59,17.96,17.65,0.31,1.7564,61063.4,109078.408
300497.SZ,20191205,17.35,17.86,17.31,17.65,17.25,0.4,2.3188,32540.51,57242.217
300497.SZ,20191204,17.39,17.39,17.2,17.25,17.42,-0.17,-0.9759,20069.06,34693.19
300497.SZ,20191203,17.2,17.44,17.03,17.42,17.26,0.16,0.927,30045.35,51864.727
300497.SZ,20191202,17.19,17.32,17.0,17.26,17.01,0.25,1.4697,22114.4,37988.08
300497.SZ,20191129,17.0,17.1,16.87,17.01,17.01,0.0,0.0,14090.53,23922.491
300497.SZ,20191128,16.85,17.13,16.63,17.01,16.92,0.09,0.5319,17677.6,29901.858
300497.SZ,20191127,16.85,17.16,16.74,16.92,16.85,0.07,0.4154,10938.49,18509.923
300497.SZ,20191126,16.8,16.95,16.75,16.85,16.8,0.05,0.2976,16063.0,27055.73
300497.SZ,20191125,16.87,16.98,16.72,16.8,16.78,0.02,0.1192,15097.94,25354.793
300497.SZ,20191122,17.24,17.29,16.73,16.78,17.32,-0.54,-3.1178,27647.54,46904.081
300497.SZ,20191121,17.22,17.33,17.12,17.32,17.39,-0.07,-0.4025,16176.59,27841.958
300497.SZ,20191120,17.25,17.6,17.24,17.39,17.33,0.06,0.3462,22338.45,38940.313
300497.SZ,20191119,17.03,17.39,17.03,17.33,17.01,0.32,1.8812,21712.4,37486.62
300497.SZ,20191118,16.9,17.13,16.75,17.01,16.9,0.11,0.6509,16565.81,28189.261
300497.SZ,20191115,17.0,17.34,16.9,16.9,17.02,-0.12,-0.7051,21017.42,35898.437
300497.SZ,20191114,17.33,17.33,16.72,17.02,17.26,-0.24,-1.3905,21121.8,36060.343
300497.SZ,20191113,17.09,17.4,17.0,17.26,17.09,0.17,0.9947,15813.04,27258.028
300497.SZ,20191112,17.2,17.32,17.04,17.09,17.08,0.01,0.0585,14634.61,25135.549
300497.SZ,20191111,17.6,17.6,16.81,17.08,17.59,-0.51,-2.8994,22262.08,38217.103
