ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603896.SH,20200110,31.2,31.3,30.28,31.12,31.0,0.12,0.3871,19257.88,59026.846
603896.SH,20200109,30.38,31.82,30.13,31.0,29.81,1.19,3.9919,26288.1,81869.219
603896.SH,20200108,30.02,30.17,29.61,29.81,30.18,-0.37,-1.226,7512.33,22456.296
603896.SH,20200107,29.97,30.28,29.96,30.18,29.98,0.2,0.6671,8352.78,25174.459
603896.SH,20200106,29.82,30.1,29.63,29.98,29.98,0.0,0.0,9525.46,28491.429
603896.SH,20200103,30.42,30.63,29.88,29.98,30.37,-0.39,-1.2842,11837.33,35682.718
603896.SH,20200102,30.24,30.49,30.06,30.37,30.22,0.15,0.4964,11234.33,34035.938
603896.SH,20191231,29.8,30.37,29.63,30.22,29.8,0.42,1.4094,8618.0,25975.965
603896.SH,20191230,29.59,29.93,29.13,29.8,29.88,-0.08,-0.2677,8023.72,23685.05
603896.SH,20191227,30.4,30.4,29.81,29.88,29.89,-0.01,-0.0335,7137.33,21401.036
603896.SH,20191226,29.5,30.3,29.38,29.89,29.45,0.44,1.4941,7168.0,21436.188
603896.SH,20191225,29.38,29.56,29.08,29.45,29.38,0.07,0.2383,4531.33,13311.961
603896.SH,20191224,28.95,29.5,28.95,29.38,28.95,0.43,1.4853,4549.0,13326.324
603896.SH,20191223,29.8,29.8,28.9,28.95,29.86,-0.91,-3.0476,8281.74,24214.386
603896.SH,20191220,30.5,30.5,29.86,29.86,30.35,-0.49,-1.6145,8996.37,27058.87
603896.SH,20191219,30.5,30.96,30.1,30.35,30.4,-0.05,-0.1645,15439.37,47070.816
603896.SH,20191218,29.99,30.5,29.09,30.4,29.27,1.13,3.8606,22872.62,68438.144
603896.SH,20191217,28.69,29.48,28.69,29.27,28.69,0.58,2.0216,12225.7,35729.444
603896.SH,20191216,28.35,28.76,28.2,28.69,28.21,0.48,1.7015,7918.0,22581.682
603896.SH,20191213,28.09,28.27,27.9,28.21,27.88,0.33,1.1836,4624.0,13011.977
603896.SH,20191212,28.33,28.48,27.86,27.88,28.33,-0.45,-1.5884,6619.0,18576.178
603896.SH,20191211,28.61,28.79,28.2,28.33,28.67,-0.34,-1.1859,4423.0,12576.227
603896.SH,20191210,28.08,29.44,28.05,28.67,28.24,0.43,1.5227,6568.37,18760.392
603896.SH,20191209,28.3,28.4,28.01,28.24,28.2,0.04,0.1418,3638.0,10249.766
603896.SH,20191206,28.05,28.35,28.05,28.2,28.23,-0.03,-0.1063,3296.79,9287.185
603896.SH,20191205,27.94,28.55,27.83,28.23,27.95,0.28,1.0018,5269.0,14858.284
603896.SH,20191204,27.74,27.95,27.47,27.95,27.74,0.21,0.757,3004.0,8337.388
603896.SH,20191203,28.38,28.38,27.5,27.74,28.03,-0.29,-1.0346,5700.33,15772.245
603896.SH,20191202,28.69,28.78,27.98,28.03,28.69,-0.66,-2.3005,7918.0,22316.391
603896.SH,20191129,28.42,28.82,28.25,28.69,28.58,0.11,0.3849,4721.0,13472.244
603896.SH,20191128,28.82,29.23,28.17,28.58,28.65,-0.07,-0.2443,4942.33,14221.204
603896.SH,20191127,29.16,29.16,27.88,28.65,29.17,-0.52,-1.7827,4485.7,12904.788
603896.SH,20191126,29.35,29.66,29.13,29.17,29.35,-0.18,-0.6133,5268.37,15480.109
603896.SH,20191125,29.07,29.5,28.58,29.35,29.2,0.15,0.5137,5926.37,17291.931
603896.SH,20191122,28.76,30.78,28.76,29.2,28.7,0.5,1.7422,13620.33,40229.209
603896.SH,20191121,28.0,28.83,27.97,28.7,28.12,0.58,2.0626,8570.79,24389.422
603896.SH,20191120,28.8,28.8,28.05,28.12,28.65,-0.53,-1.8499,5073.37,14353.747
603896.SH,20191119,28.22,28.65,28.04,28.65,28.18,0.47,1.6678,5169.33,14710.334
603896.SH,20191118,28.11,28.25,27.86,28.18,28.1,0.08,0.2847,4901.06,13778.147
603896.SH,20191115,28.17,28.39,27.99,28.1,28.17,-0.07,-0.2485,4157.0,11683.772
603896.SH,20191114,28.38,28.45,27.94,28.17,28.42,-0.25,-0.8797,6108.33,17217.553
603896.SH,20191113,28.84,29.1,28.11,28.42,29.11,-0.69,-2.3703,5664.0,16207.447
603896.SH,20191112,28.99,29.16,28.66,29.11,28.86,0.25,0.8663,3399.66,9825.081
603896.SH,20191111,29.29,29.59,28.5,28.86,29.59,-0.73,-2.467,6679.37,19406.192
603896.SH,20191108,29.72,29.88,29.48,29.59,29.43,0.16,0.5437,4023.71,11904.903
603896.SH,20191107,29.39,29.67,29.39,29.43,29.52,-0.09,-0.3049,4458.0,13152.395
603896.SH,20191106,29.21,29.74,29.21,29.52,29.55,-0.03,-0.1015,4210.92,12437.807
603896.SH,20191105,29.94,29.94,29.3,29.55,29.76,-0.21,-0.7056,5566.11,16464.273
603896.SH,20191104,29.4,29.76,29.4,29.76,29.44,0.32,1.087,5978.82,17736.086
603896.SH,20191101,29.35,29.77,29.11,29.44,29.36,0.08,0.2725,4772.19,14055.475
603896.SH,20191031,29.99,29.99,29.25,29.36,29.71,-0.35,-1.1781,6051.6,17880.887
603896.SH,20191030,30.27,30.31,29.51,29.71,30.6,-0.89,-2.9085,11050.0,33034.383
603896.SH,20191029,31.5,31.5,30.58,30.6,31.65,-1.05,-3.3175,13463.77,41424.531
603896.SH,20191028,31.18,32.13,30.83,31.65,30.81,0.84,2.7264,24704.95,78091.684
603896.SH,20191025,29.0,31.65,28.83,30.81,28.98,1.83,6.3147,18836.75,57386.923
603896.SH,20191024,28.91,29.17,28.75,28.98,28.93,0.05,0.1728,4253.16,12318.453
603896.SH,20191023,29.26,29.39,28.8,28.93,29.26,-0.33,-1.1278,6471.16,18834.453
