ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300267.SZ,20200110,5.3,5.34,5.15,5.2,5.31,-0.11,-2.0716,282699.95,147642.864
300267.SZ,20200109,5.29,5.43,5.25,5.31,5.25,0.06,1.1429,302648.26,161166.951
300267.SZ,20200108,5.25,5.38,5.17,5.25,5.28,-0.03,-0.5682,402922.82,212715.522
300267.SZ,20200107,5.16,5.35,5.09,5.28,5.07,0.21,4.142,473386.98,246741.249
300267.SZ,20200106,5.09,5.12,4.98,5.07,5.13,-0.06,-1.1696,374951.68,189115.681
300267.SZ,20200103,5.15,5.18,5.08,5.13,5.15,-0.02,-0.3883,204402.0,104796.794
300267.SZ,20200102,5.18,5.24,5.1,5.15,5.16,-0.01,-0.1938,367785.92,189482.882
300267.SZ,20191231,5.07,5.31,5.07,5.16,5.02,0.14,2.7888,349824.15,182863.648
300267.SZ,20191230,5.1,5.1,4.75,5.02,5.13,-0.11,-2.1442,400893.97,198873.821
300267.SZ,20191227,5.3,5.31,5.1,5.13,5.31,-0.18,-3.3898,287308.03,149563.064
300267.SZ,20191226,5.38,5.4,5.2,5.31,5.36,-0.05,-0.9328,194163.6,103117.465
300267.SZ,20191225,5.4,5.45,5.33,5.36,5.38,-0.02,-0.3717,116122.0,62619.72
300267.SZ,20191224,5.34,5.42,5.33,5.38,5.34,0.04,0.7491,123784.0,66387.11
300267.SZ,20191223,5.5,5.55,5.34,5.34,5.54,-0.2,-3.6101,191889.33,103550.239
300267.SZ,20191220,5.73,5.81,5.53,5.54,5.82,-0.28,-4.811,391238.52,220385.527
300267.SZ,20191219,5.45,5.92,5.42,5.82,5.45,0.37,6.789,593131.93,336053.263
300267.SZ,20191218,5.4,5.51,5.37,5.45,5.4,0.05,0.9259,300655.69,163593.157
300267.SZ,20191217,5.45,5.46,5.22,5.4,5.46,-0.06,-1.0989,455424.88,244347.101
300267.SZ,20191216,5.51,5.62,5.39,5.46,5.49,-0.03,-0.5464,299278.62,164129.862
300267.SZ,20191213,5.59,5.73,5.33,5.49,5.58,-0.09,-1.6129,404135.06,223697.636
300267.SZ,20191212,5.84,5.94,5.45,5.58,5.85,-0.27,-4.6154,334122.03,188164.553
300267.SZ,20191211,6.07,6.07,5.71,5.85,6.06,-0.21,-3.4653,210873.67,123957.555
300267.SZ,20191210,6.22,6.22,5.95,6.06,6.2,-0.14,-2.2581,139258.43,84264.718
300267.SZ,20191209,6.22,6.22,6.11,6.2,6.22,-0.02,-0.3215,83985.0,51622.886
300267.SZ,20191206,6.25,6.35,6.19,6.22,6.22,0.0,0.0,122138.14,76247.152
300267.SZ,20191205,6.2,6.26,6.18,6.22,6.21,0.01,0.161,105139.0,65397.253
300267.SZ,20191204,6.19,6.39,6.11,6.21,6.16,0.05,0.8117,103075.9,64500.244
300267.SZ,20191203,6.18,6.23,6.09,6.16,6.22,-0.06,-0.9646,64043.16,39334.87
300267.SZ,20191202,6.16,6.3,6.1,6.22,6.18,0.04,0.6472,77821.0,48291.714
