ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603333.SH,20200110,10.02,10.08,9.9,9.92,10.07,-0.15,-1.4896,22125.0,22019.181
603333.SH,20200109,10.07,10.17,9.89,10.07,10.0,0.07,0.7,56262.15,56346.009
603333.SH,20200108,9.99,10.1,9.88,10.0,10.01,-0.01,-0.0999,37573.21,37502.341
603333.SH,20200107,10.01,10.05,9.94,10.01,10.01,0.0,0.0,55583.61,55408.175
603333.SH,20200106,10.36,10.36,9.94,10.01,10.38,-0.37,-3.5645,94331.0,94999.29
603333.SH,20200103,10.5,10.54,10.1,10.38,10.48,-0.1,-0.9542,48720.71,50366.605
603333.SH,20200102,10.4,10.65,10.04,10.48,10.23,0.25,2.4438,85502.78,89065.705
603333.SH,20191231,9.66,10.26,9.63,10.23,9.65,0.58,6.0104,74998.73,74650.366
603333.SH,20191230,9.62,9.8,9.6,9.65,9.7,-0.05,-0.5155,26056.78,25239.719
603333.SH,20191227,9.72,9.73,9.6,9.7,9.7,0.0,0.0,32345.0,31278.778
603333.SH,20191226,9.74,9.75,9.62,9.7,9.74,-0.04,-0.4107,43126.0,41741.75
603333.SH,20191225,9.8,9.8,9.62,9.74,9.76,-0.02,-0.2049,23948.87,23248.702
603333.SH,20191224,9.67,9.77,9.57,9.76,9.67,0.09,0.9307,26207.36,25345.151
603333.SH,20191223,9.9,9.92,9.63,9.67,9.94,-0.27,-2.7163,70678.16,68609.471
603333.SH,20191220,9.95,9.95,9.79,9.94,9.96,-0.02,-0.2008,72001.55,71033.665
603333.SH,20191219,9.93,10.08,9.67,9.96,9.95,0.01,0.1005,56068.0,55213.328
603333.SH,20191218,10.08,10.08,9.8,9.95,10.01,-0.06,-0.5994,55052.73,54514.223
603333.SH,20191217,10.12,10.2,9.98,10.01,10.12,-0.11,-1.087,82928.01,83321.287
603333.SH,20191216,10.32,10.35,10.09,10.12,10.28,-0.16,-1.5564,62374.32,63513.139
603333.SH,20191213,10.18,10.35,10.13,10.28,10.16,0.12,1.1811,32195.36,33008.814
603333.SH,20191212,10.24,10.24,10.07,10.16,10.14,0.02,0.1972,23631.08,23936.41
603333.SH,20191211,10.34,10.34,10.1,10.14,10.33,-0.19,-1.8393,23737.78,24218.001
