ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600547.SH,20200110,35.39,35.39,34.61,35.06,35.73,-0.67,-1.8752,627512.77,2191239.796
600547.SH,20200109,35.4,36.4,35.4,35.73,38.49,-2.76,-7.1707,1006373.85,3603269.728
600547.SH,20200108,39.01,39.28,37.13,38.49,36.76,1.73,4.7062,1326357.52,5107351.837
600547.SH,20200107,36.79,37.07,36.01,36.76,37.91,-1.15,-3.0335,707042.72,2588258.914
600547.SH,20200106,36.5,37.97,36.5,37.91,34.78,3.13,8.9994,1234004.91,4585224.982
600547.SH,20200103,33.21,35.25,33.1,34.78,32.9,1.88,5.7143,987248.95,3393801.099
600547.SH,20200102,32.31,32.96,32.26,32.9,32.62,0.28,0.8584,489106.37,1595732.633
600547.SH,20191231,32.44,32.79,32.22,32.62,32.12,0.5,1.5567,422904.08,1375318.12
600547.SH,20191230,32.5,32.91,31.85,32.12,32.31,-0.19,-0.5881,464911.71,1496522.11
600547.SH,20191227,32.18,33.25,32.16,32.31,31.94,0.37,1.1584,648475.74,2113914.161
600547.SH,20191226,31.7,32.19,31.63,31.94,31.94,0.0,0.0,322747.87,1031295.201
600547.SH,20191225,32.3,32.47,31.8,31.94,31.71,0.23,0.7253,492685.49,1581001.042
600547.SH,20191224,31.45,31.86,31.28,31.71,31.43,0.28,0.8909,401956.98,1271759.404
600547.SH,20191223,31.37,31.59,31.12,31.43,31.37,0.06,0.1913,303195.79,950585.157
600547.SH,20191220,31.15,31.55,31.15,31.37,31.3,0.07,0.2236,311500.13,977875.349
600547.SH,20191219,31.55,31.83,31.24,31.3,31.81,-0.51,-1.6033,412911.56,1301108.13
600547.SH,20191218,31.35,31.84,31.15,31.81,31.55,0.26,0.8241,496731.8,1565739.101
600547.SH,20191217,31.02,31.57,30.94,31.55,31.13,0.42,1.3492,428631.52,1341362.507
600547.SH,20191216,30.89,31.16,30.76,31.13,30.88,0.25,0.8096,330295.58,1022116.09
600547.SH,20191213,30.76,31.12,30.66,30.88,31.4,-0.52,-1.6561,412455.8,1274520.465
600547.SH,20191212,31.6,31.67,31.27,31.4,31.25,0.15,0.48,377498.89,1188215.08
600547.SH,20191211,31.01,31.32,30.91,31.25,31.12,0.13,0.4177,278252.11,866607.847
600547.SH,20191210,31.01,31.38,30.9,31.12,31.11,0.01,0.0321,344284.19,1070115.776
600547.SH,20191209,30.8,31.15,30.65,31.11,31.67,-0.56,-1.7682,420221.77,1299327.115
600547.SH,20191206,31.61,32.11,31.31,31.67,31.79,-0.12,-0.3775,397194.0,1256774.953
600547.SH,20191205,31.51,31.88,31.45,31.79,32.22,-0.43,-1.3346,446727.9,1413017.415
600547.SH,20191204,30.62,32.45,30.31,32.22,29.89,2.33,7.7952,843500.64,2647237.914
600547.SH,20191203,30.12,30.35,29.84,29.89,29.88,0.01,0.0335,233451.25,701515.974
600547.SH,20191202,29.99,30.18,29.82,29.88,30.09,-0.21,-0.6979,202759.19,607272.609
600547.SH,20191129,30.39,30.5,29.85,30.09,30.34,-0.25,-0.824,219570.14,663447.384
600547.SH,20191128,30.48,30.66,30.26,30.34,30.48,-0.14,-0.4593,186980.47,569375.027
600547.SH,20191127,30.45,30.67,30.19,30.48,30.6,-0.12,-0.3922,210457.24,640457.831
600547.SH,20191126,29.96,30.65,29.69,30.6,30.28,0.32,1.0568,310302.38,936606.453
600547.SH,20191125,30.55,31.01,30.2,30.28,31.1,-0.82,-2.6367,365221.49,1116112.982
600547.SH,20191122,30.05,31.23,29.89,31.1,30.43,0.67,2.2018,533952.94,1640030.938
600547.SH,20191121,30.29,30.78,29.88,30.43,30.49,-0.06,-0.1968,402170.31,1217555.589
600547.SH,20191120,29.69,30.67,29.55,30.49,29.61,0.88,2.972,479108.98,1447439.586
600547.SH,20191119,29.74,29.83,29.36,29.61,29.34,0.27,0.9202,232496.35,686957.448
600547.SH,20191118,29.13,29.61,29.02,29.34,29.42,-0.08,-0.2719,183540.67,538095.096
600547.SH,20191115,29.92,30.25,29.31,29.42,30.09,-0.67,-2.2267,274515.47,815537.813
600547.SH,20191114,30.13,30.19,29.75,30.09,30.34,-0.25,-0.824,273193.17,819448.709
600547.SH,20191113,29.1,30.56,29.1,30.34,28.96,1.38,4.7652,582068.69,1747055.327
600547.SH,20191112,29.47,29.64,28.72,28.96,29.62,-0.66,-2.2282,337398.41,981152.184
600547.SH,20191111,29.95,29.96,29.51,29.62,30.08,-0.46,-1.5293,257594.57,765087.202
600547.SH,20191108,29.79,30.1,29.58,30.08,30.66,-0.58,-1.8917,422520.49,1261485.142
600547.SH,20191107,30.9,30.92,30.56,30.66,30.74,-0.08,-0.2602,187605.68,575210.788
600547.SH,20191106,30.86,31.1,30.55,30.74,31.78,-1.04,-3.2725,371986.36,1144784.002
600547.SH,20191105,32.1,32.15,31.5,31.78,32.38,-0.6,-1.853,344391.87,1092806.415
600547.SH,20191104,32.0,32.42,31.88,32.38,32.23,0.15,0.4654,220576.65,711332.073
600547.SH,20191101,32.4,32.6,32.08,32.23,31.78,0.45,1.416,252207.36,814696.559
600547.SH,20191031,32.22,32.59,31.49,31.78,32.0,-0.22,-0.6875,233570.16,747739.12
600547.SH,20191030,31.8,32.3,31.61,32.0,32.2,-0.2,-0.6211,193478.6,617478.601
600547.SH,20191029,32.41,32.64,32.0,32.2,33.08,-0.88,-2.6602,282876.28,912862.972
600547.SH,20191028,32.3,33.16,31.95,33.08,32.42,0.66,2.0358,306487.51,1006437.935
600547.SH,20191025,31.67,32.59,31.21,32.42,31.2,1.22,3.9103,405959.66,1301619.666
600547.SH,20191024,32.51,32.65,31.12,31.2,32.76,-1.56,-4.7619,454983.99,1437225.381
600547.SH,20191023,32.39,32.95,32.33,32.76,32.42,0.34,1.0487,250019.1,816903.688
600547.SH,20191022,32.12,32.5,32.03,32.42,32.52,-0.1,-0.3075,167273.63,540463.396
600547.SH,20191021,32.06,32.6,31.8,32.52,32.17,0.35,1.088,226398.57,730509.901
600547.SH,20191018,32.9,32.91,31.97,32.17,32.97,-0.8,-2.4264,285561.84,926503.03
600547.SH,20191017,33.03,33.21,32.42,32.97,32.68,0.29,0.8874,261672.51,859931.111
600547.SH,20191016,32.68,33.14,32.51,32.68,33.4,-0.72,-2.1557,363472.84,1191804.53
600547.SH,20191015,33.92,34.51,33.28,33.4,34.0,-0.6,-1.7647,337111.28,1137934.462
600547.SH,20191014,33.6,34.1,33.18,34.0,34.72,-0.72,-2.0737,415658.97,1399903.926
600547.SH,20191011,34.65,34.78,34.05,34.72,35.18,-0.46,-1.3076,373479.53,1286212.57
600547.SH,20191010,35.3,35.58,34.78,35.18,35.27,-0.09,-0.2552,314329.57,1104385.676
600547.SH,20191009,34.08,35.39,34.07,35.27,33.69,1.58,4.6898,494836.9,1730273.07
600547.SH,20191008,33.9,34.28,33.39,33.69,33.89,-0.2,-0.5901,290261.09,980077.959
600547.SH,20190930,34.22,34.51,33.7,33.89,34.05,-0.16,-0.4699,255120.29,869379.967
600547.SH,20190927,33.84,34.92,32.8,34.05,34.18,-0.13,-0.3803,501299.89,1705579.86
600547.SH,20190926,36.3,36.37,34.04,34.18,37.32,-3.14,-8.4137,742422.76,2612627.041
600547.SH,20190925,38.2,38.32,37.22,37.32,37.71,-0.39,-1.0342,345049.07,1302632.019
600547.SH,20190924,37.8,38.16,37.42,37.71,37.63,0.08,0.2126,326247.73,1231534.812
600547.SH,20190923,37.86,38.4,37.5,37.63,37.49,0.14,0.3734,507253.65,1928139.826
600547.SH,20190920,36.52,37.49,36.38,37.49,36.55,0.94,2.5718,434021.07,1612154.523
600547.SH,20190919,36.3,36.65,35.78,36.55,36.81,-0.26,-0.7063,392433.54,1421859.304
600547.SH,20190918,37.5,37.62,36.71,36.81,37.33,-0.52,-1.393,402464.02,1495450.431
600547.SH,20190917,37.71,38.15,37.31,37.33,38.19,-0.86,-2.2519,450171.95,1700068.486
600547.SH,20190916,37.67,38.33,37.2,38.19,37.29,0.9,2.4135,602508.44,2271728.592
600547.SH,20190912,37.29,37.46,37.01,37.29,37.65,-0.36,-0.9562,362440.7,1347986.496
600547.SH,20190911,37.2,37.88,37.1,37.65,37.49,0.16,0.4268,534529.2,2003652.053
