ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600131.SH,20200110,20.2,20.2,19.05,19.44,20.91,-1.47,-7.0301,193658.61,378737.031
600131.SH,20200109,20.54,21.16,20.45,20.91,20.36,0.55,2.7014,62393.02,129740.176
600131.SH,20200108,20.73,21.0,20.28,20.36,21.11,-0.75,-3.5528,70784.0,145491.662
600131.SH,20200107,20.7,21.3,20.58,21.11,20.64,0.47,2.2771,78919.13,164700.504
600131.SH,20200106,21.16,21.47,20.55,20.64,21.28,-0.64,-3.0075,117162.71,245801.264
600131.SH,20200103,20.61,21.65,20.29,21.28,20.4,0.88,4.3137,114093.85,238597.483
600131.SH,20200102,19.83,20.45,19.8,20.4,19.82,0.58,2.9263,84787.21,172048.758
600131.SH,20191231,20.0,20.0,19.74,19.82,19.8,0.02,0.101,49475.72,98145.79
600131.SH,20191230,20.06,20.06,19.62,19.8,20.11,-0.31,-1.5415,79214.23,156696.054
600131.SH,20191227,20.29,20.48,20.07,20.11,20.28,-0.17,-0.8383,68424.83,138110.022
600131.SH,20191226,20.21,20.68,20.12,20.28,20.31,-0.03,-0.1477,66608.39,135530.021
600131.SH,20191225,20.18,20.56,20.15,20.31,20.18,0.13,0.6442,75537.0,153925.948
600131.SH,20191224,20.25,20.6,19.73,20.18,20.05,0.13,0.6484,97655.89,196981.454
600131.SH,20191223,20.65,20.98,19.6,20.05,21.02,-0.97,-4.6147,157175.54,318217.817
600131.SH,20191220,23.0,23.0,21.0,21.02,23.19,-2.17,-9.3575,285782.86,626129.178
600131.SH,20191219,23.18,23.19,23.12,23.19,21.08,2.11,10.0095,207568.26,481299.434
600131.SH,20191218,21.0,21.64,20.69,21.08,20.91,0.17,0.813,148848.15,314337.322
600131.SH,20191217,20.26,21.4,19.81,20.91,20.11,0.8,3.9781,165180.21,344832.243
600131.SH,20191216,20.44,20.47,19.9,20.11,20.27,-0.16,-0.7893,120742.76,242900.883
600131.SH,20191213,19.29,20.62,19.11,20.27,19.25,1.02,5.2987,195217.84,392926.516
600131.SH,20191212,19.01,19.53,18.32,19.25,18.5,0.75,4.0541,180213.88,342810.055
600131.SH,20191211,17.55,19.33,17.4,18.5,17.62,0.88,4.9943,151788.63,278725.869
600131.SH,20191210,17.86,18.0,17.58,17.62,17.81,-0.19,-1.0668,42098.08,74395.723
600131.SH,20191209,17.75,17.86,17.53,17.81,17.72,0.09,0.5079,41228.08,73061.909
600131.SH,20191206,17.51,17.83,17.35,17.72,17.53,0.19,1.0839,46485.34,82168.564
600131.SH,20191205,17.53,17.65,17.3,17.53,17.53,0.0,0.0,60821.19,106133.035
600131.SH,20191204,18.38,18.38,17.25,17.53,18.46,-0.93,-5.0379,117978.31,208737.366
600131.SH,20191203,17.78,18.6,17.48,18.46,17.73,0.73,4.1173,86708.85,157794.06
600131.SH,20191202,17.58,17.99,17.58,17.73,17.69,0.04,0.2261,33984.0,60442.055
600131.SH,20191129,17.81,17.86,17.45,17.69,17.75,-0.06,-0.338,38272.7,67616.009
600131.SH,20191128,17.88,17.96,17.67,17.75,17.88,-0.13,-0.7271,30916.49,55010.208
600131.SH,20191127,17.98,18.1,17.7,17.88,17.98,-0.1,-0.5562,35045.02,62608.077
