ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300262.SZ,20200110,5.07,5.09,5.0,5.04,5.06,-0.02,-0.3953,51135.87,25755.665
300262.SZ,20200109,5.01,5.07,5.0,5.06,4.97,0.09,1.8109,76425.49,38480.483
300262.SZ,20200108,5.07,5.07,4.95,4.97,5.08,-0.11,-2.1654,110627.0,55453.651
300262.SZ,20200107,5.04,5.09,5.0,5.08,5.01,0.07,1.3972,101111.63,51031.506
300262.SZ,20200106,4.97,5.04,4.93,5.01,4.99,0.02,0.4008,99319.41,49545.857
300262.SZ,20200103,4.95,5.03,4.93,4.99,4.94,0.05,1.0121,93297.63,46465.584
300262.SZ,20200102,4.9,4.95,4.85,4.94,4.85,0.09,1.8557,84727.99,41589.366
300262.SZ,20191231,4.81,4.86,4.8,4.85,4.8,0.05,1.0417,62867.49,30384.6
300262.SZ,20191230,4.76,4.81,4.64,4.8,4.77,0.03,0.6289,74971.21,35412.405
300262.SZ,20191227,4.8,4.85,4.76,4.77,4.79,-0.02,-0.4175,68079.24,32753.909
300262.SZ,20191226,4.8,4.82,4.75,4.79,4.8,-0.01,-0.2083,62973.5,30136.27
300262.SZ,20191225,4.86,4.86,4.79,4.8,4.86,-0.06,-1.2346,53503.67,25773.901
300262.SZ,20191224,4.83,4.86,4.79,4.86,4.79,0.07,1.4614,48645.12,23492.967
300262.SZ,20191223,4.97,4.98,4.78,4.79,4.95,-0.16,-3.2323,85847.42,41793.643
300262.SZ,20191220,5.05,5.06,4.93,4.95,5.03,-0.08,-1.5905,67965.68,34119.464
300262.SZ,20191219,5.0,5.06,4.99,5.03,4.99,0.04,0.8016,56971.39,28645.144
300262.SZ,20191218,4.99,5.04,4.96,4.99,5.0,-0.01,-0.2,73698.72,36861.548
300262.SZ,20191217,4.88,5.02,4.86,5.0,4.9,0.1,2.0408,118148.82,58620.372
300262.SZ,20191216,4.85,4.9,4.78,4.9,4.75,0.15,3.1579,88995.18,43112.808
300262.SZ,20191213,4.72,4.77,4.7,4.75,4.68,0.07,1.4957,55256.66,26203.992
300262.SZ,20191212,4.75,4.77,4.68,4.68,4.76,-0.08,-1.6807,52343.36,24630.706
300262.SZ,20191211,4.8,4.82,4.73,4.76,4.81,-0.05,-1.0395,47119.68,22447.35
300262.SZ,20191210,4.78,4.81,4.75,4.81,4.78,0.03,0.6276,44608.64,21344.534
300262.SZ,20191209,4.8,4.83,4.75,4.78,4.76,0.02,0.4202,47904.31,22919.284
300262.SZ,20191206,4.73,4.77,4.72,4.76,4.73,0.03,0.6342,42367.14,20117.485
300262.SZ,20191205,4.7,4.73,4.68,4.73,4.69,0.04,0.8529,47304.18,22296.584
300262.SZ,20191204,4.7,4.73,4.67,4.69,4.73,-0.04,-0.8457,66180.81,31028.824
300262.SZ,20191203,4.79,4.81,4.64,4.73,4.83,-0.1,-2.0704,92131.93,43302.12
300262.SZ,20191202,4.8,4.94,4.8,4.83,4.83,0.0,0.0,61731.5,29988.113
300262.SZ,20191129,4.8,4.86,4.76,4.83,4.78,0.05,1.046,35628.44,17107.176
300262.SZ,20191128,4.79,4.84,4.74,4.78,4.8,-0.02,-0.4167,28265.63,13546.302
300262.SZ,20191127,4.83,4.83,4.71,4.8,4.83,-0.03,-0.6211,37915.01,18115.955
300262.SZ,20191126,4.83,4.86,4.81,4.83,4.85,-0.02,-0.4124,35536.5,17172.961
300262.SZ,20191125,4.93,4.94,4.79,4.85,4.92,-0.07,-1.4228,57282.1,27773.902
300262.SZ,20191122,4.96,5.04,4.87,4.92,4.97,-0.05,-1.006,50638.0,25025.609
300262.SZ,20191121,4.95,5.03,4.92,4.97,4.97,0.0,0.0,34145.99,16979.274
300262.SZ,20191120,5.05,5.07,4.92,4.97,5.07,-0.1,-1.9724,73025.14,36417.575
300262.SZ,20191119,4.94,5.13,4.91,5.07,4.95,0.12,2.4242,68364.92,34483.336
300262.SZ,20191118,4.91,4.98,4.84,4.95,4.91,0.04,0.8147,31821.0,15614.384
300262.SZ,20191115,5.05,5.08,4.91,4.91,5.08,-0.17,-3.3465,55706.31,27743.383
300262.SZ,20191114,5.05,5.1,5.05,5.08,5.04,0.04,0.7937,36373.11,18475.156
300262.SZ,20191113,5.1,5.1,5.01,5.04,5.1,-0.06,-1.1765,34674.5,17485.105
300262.SZ,20191112,5.05,5.13,4.96,5.1,5.08,0.02,0.3937,63245.2,31956.954
300262.SZ,20191111,5.33,5.33,5.03,5.08,5.33,-0.25,-4.6904,102343.72,52623.614
300262.SZ,20191108,5.38,5.4,5.27,5.33,5.37,-0.04,-0.7449,75501.68,40202.152
300262.SZ,20191107,5.37,5.41,5.29,5.37,5.35,0.02,0.3738,97877.51,52409.22
300262.SZ,20191106,5.49,5.49,5.32,5.35,5.55,-0.2,-3.6036,151274.5,81342.214
300262.SZ,20191105,5.91,5.92,5.41,5.55,6.01,-0.46,-7.6539,297993.67,166009.299
300262.SZ,20191104,6.53,6.53,5.9,6.01,6.56,-0.55,-8.3841,264580.29,158041.048
300262.SZ,20191101,6.23,6.61,6.21,6.56,6.4,0.16,2.5,95225.43,61808.6
300262.SZ,20191031,6.25,6.55,6.25,6.4,6.31,0.09,1.4263,132350.36,84947.305
300262.SZ,20191030,6.84,6.91,6.31,6.31,7.01,-0.7,-9.9857,256143.31,167724.686
300262.SZ,20191029,6.8,7.25,6.76,7.01,6.81,0.2,2.9369,195597.1,136938.408
300262.SZ,20191028,6.44,6.87,6.35,6.81,6.43,0.38,5.9098,148781.34,99416.085
300262.SZ,20191025,6.24,6.48,6.16,6.43,6.24,0.19,3.0449,100634.21,64297.936
300262.SZ,20191024,6.12,6.29,6.1,6.24,6.2,0.04,0.6452,61952.7,38449.037
300262.SZ,20191023,6.35,6.4,6.1,6.2,6.36,-0.16,-2.5157,92788.75,57541.696
300262.SZ,20191022,6.29,6.47,6.19,6.36,6.37,-0.01,-0.157,144687.88,91066.325
300262.SZ,20191021,5.98,6.55,5.86,6.37,5.95,0.42,7.0588,223559.57,141698.514
300262.SZ,20191018,6.04,6.14,5.94,5.95,5.96,-0.01,-0.1678,67455.19,40677.023
300262.SZ,20191017,5.95,6.15,5.92,5.96,5.96,0.0,0.0,96754.43,58475.588
300262.SZ,20191016,5.98,6.13,5.93,5.96,5.94,0.02,0.3367,77523.07,46590.583
300262.SZ,20191015,5.88,6.01,5.82,5.94,5.88,0.06,1.0204,90367.94,53630.425
300262.SZ,20191014,5.58,5.95,5.51,5.88,5.54,0.34,6.1372,143102.41,83048.248
300262.SZ,20191011,5.57,5.58,5.48,5.54,5.57,-0.03,-0.5386,36944.33,20383.881
300262.SZ,20191010,5.39,5.65,5.37,5.57,5.39,0.18,3.3395,59208.61,32749.89
300262.SZ,20191009,5.33,5.4,5.21,5.39,5.38,0.01,0.1859,23392.51,12533.31
300262.SZ,20191008,5.38,5.43,5.34,5.38,5.38,0.0,0.0,24821.01,13346.969
300262.SZ,20190930,5.38,5.46,5.36,5.38,5.38,0.0,0.0,30255.61,16316.602
300262.SZ,20190927,5.36,5.47,5.34,5.38,5.36,0.02,0.3731,31968.22,17291.132
300262.SZ,20190926,5.51,5.61,5.32,5.36,5.52,-0.16,-2.8986,45774.0,24794.543
300262.SZ,20190925,5.62,5.66,5.47,5.52,5.64,-0.12,-2.1277,41230.32,22852.939
300262.SZ,20190924,5.7,5.71,5.56,5.64,5.68,-0.04,-0.7042,42119.02,23805.424
300262.SZ,20190923,5.69,5.73,5.58,5.68,5.71,-0.03,-0.5254,46761.17,26356.604
300262.SZ,20190920,5.76,5.86,5.7,5.71,5.75,-0.04,-0.6957,63226.06,36451.07
300262.SZ,20190919,5.98,6.0,5.7,5.75,5.88,-0.13,-2.2109,110146.4,63907.319
300262.SZ,20190918,5.88,5.98,5.76,5.88,5.88,0.0,0.0,64763.38,37878.379
300262.SZ,20190917,6.04,6.08,5.87,5.88,6.01,-0.13,-2.1631,72206.37,43030.532
300262.SZ,20190916,6.06,6.21,5.97,6.01,6.07,-0.06,-0.9885,55236.12,33570.922
300262.SZ,20190912,5.98,6.08,5.93,6.07,5.97,0.1,1.675,45088.7,27086.08
300262.SZ,20190911,5.97,6.16,5.97,5.97,5.96,0.01,0.1678,63415.33,38308.828
300262.SZ,20190910,5.94,6.0,5.91,5.96,5.96,0.0,0.0,44740.99,26628.655
300262.SZ,20190909,5.79,5.97,5.79,5.96,5.79,0.17,2.9361,51770.39,30575.839
300262.SZ,20190906,5.77,5.83,5.7,5.79,5.76,0.03,0.5208,45986.01,26505.065
