ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002485.SZ,20200110,7.09,7.13,6.86,6.89,7.03,-0.14,-1.9915,53549.7,37233.684
002485.SZ,20200109,6.95,7.11,6.95,7.03,6.92,0.11,1.5896,60972.7,42879.385
002485.SZ,20200108,7.06,7.17,6.92,6.92,7.12,-0.2,-2.809,77681.46,54548.355
002485.SZ,20200107,7.11,7.23,7.01,7.12,7.05,0.07,0.9929,90191.24,64044.124
002485.SZ,20200106,7.11,7.17,6.89,7.05,7.22,-0.17,-2.3546,114935.22,81042.176
002485.SZ,20200103,7.11,7.42,7.08,7.22,7.2,0.02,0.2778,160641.4,116331.831
002485.SZ,20200102,6.8,7.28,6.78,7.2,6.89,0.31,4.4993,203268.91,145309.503
002485.SZ,20191231,6.78,6.97,6.68,6.89,7.04,-0.15,-2.1307,143785.75,98023.395
002485.SZ,20191230,6.78,7.33,6.58,7.04,6.78,0.26,3.8348,300556.03,213219.753
002485.SZ,20191227,6.19,6.78,6.18,6.78,6.16,0.62,10.0649,166309.34,111574.655
002485.SZ,20191226,6.11,6.16,6.08,6.16,6.1,0.06,0.9836,18697.7,11435.037
002485.SZ,20191225,6.09,6.12,6.07,6.1,6.1,0.0,0.0,11854.0,7232.296
002485.SZ,20191224,6.07,6.15,6.07,6.1,6.07,0.03,0.4942,21091.36,12860.294
002485.SZ,20191223,6.25,6.25,6.07,6.07,6.25,-0.18,-2.88,29718.7,18305.51
002485.SZ,20191220,6.33,6.35,6.24,6.25,6.31,-0.06,-0.9509,19413.1,12193.822
002485.SZ,20191219,6.23,6.33,6.23,6.31,6.24,0.07,1.1218,25816.2,16219.263
002485.SZ,20191218,6.23,6.29,6.23,6.24,6.25,-0.01,-0.16,21136.86,13226.742
002485.SZ,20191217,6.18,6.27,6.17,6.25,6.18,0.07,1.1327,30646.86,19087.363
002485.SZ,20191216,6.13,6.18,6.08,6.18,6.11,0.07,1.1457,27278.37,16746.862
002485.SZ,20191213,6.05,6.11,6.05,6.11,6.05,0.06,0.9917,16281.96,9897.379
002485.SZ,20191212,6.1,6.12,6.05,6.05,6.11,-0.06,-0.982,18625.2,11301.208
002485.SZ,20191211,6.14,6.18,6.11,6.11,6.14,-0.03,-0.4886,12261.5,7519.933
002485.SZ,20191210,6.18,6.18,6.11,6.14,6.18,-0.04,-0.6472,17966.27,11034.835
002485.SZ,20191209,6.18,6.23,6.14,6.18,6.15,0.03,0.4878,18428.9,11400.424
002485.SZ,20191206,6.19,6.19,6.12,6.15,6.17,-0.02,-0.3241,12374.3,7597.077
002485.SZ,20191205,6.13,6.23,6.12,6.17,6.1,0.07,1.1475,18917.0,11675.495
002485.SZ,20191204,6.13,6.13,6.08,6.1,6.16,-0.06,-0.974,12578.0,7679.76
002485.SZ,20191203,6.07,6.16,6.01,6.16,6.07,0.09,1.4827,18329.25,11152.117
002485.SZ,20191202,6.11,6.13,6.06,6.07,6.11,-0.04,-0.6547,12690.73,7734.494
002485.SZ,20191129,6.07,6.15,6.07,6.11,6.08,0.03,0.4934,11412.6,6964.079
002485.SZ,20191128,6.12,6.15,6.06,6.08,6.14,-0.06,-0.9772,15177.0,9258.542
002485.SZ,20191127,6.28,6.28,6.12,6.14,6.27,-0.13,-2.0734,22304.6,13769.051
002485.SZ,20191126,6.18,6.35,6.16,6.27,6.18,0.09,1.4563,24701.74,15440.159
002485.SZ,20191125,6.23,6.3,6.15,6.18,6.25,-0.07,-1.12,26585.3,16494.757
002485.SZ,20191122,6.38,6.48,6.25,6.25,6.4,-0.15,-2.3438,28432.0,18044.267
002485.SZ,20191121,6.44,6.54,6.39,6.4,6.47,-0.07,-1.0819,31228.7,20126.2
002485.SZ,20191120,6.64,6.66,6.45,6.47,6.56,-0.09,-1.372,50018.02,32681.995
002485.SZ,20191119,6.3,6.64,6.3,6.56,6.41,0.15,2.3401,72841.02,47636.208
002485.SZ,20191118,6.09,6.67,6.09,6.41,6.06,0.35,5.7756,76722.26,49533.105
002485.SZ,20191115,6.36,6.36,6.06,6.06,6.36,-0.3,-4.717,40420.97,25015.104
002485.SZ,20191114,6.29,6.48,6.28,6.36,6.34,0.02,0.3155,52970.02,33969.225
002485.SZ,20191113,6.32,6.48,6.16,6.34,6.3,0.04,0.6349,77766.06,49380.389
002485.SZ,20191112,6.18,6.37,6.12,6.3,6.2,0.1,1.6129,54273.7,34183.133
002485.SZ,20191111,6.16,6.22,6.01,6.2,6.23,-0.03,-0.4815,41179.22,25123.288
002485.SZ,20191108,6.56,6.56,6.22,6.23,6.55,-0.32,-4.8855,99227.61,62673.586
