ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601666.SH,20200110,4.13,4.15,4.09,4.11,4.12,-0.01,-0.2427,115797.07,47670.498
601666.SH,20200109,4.11,4.14,4.08,4.12,4.1,0.02,0.4878,171534.21,70474.289
601666.SH,20200108,4.16,4.21,4.08,4.1,4.16,-0.06,-1.4423,258654.19,106838.872
601666.SH,20200107,4.1,4.24,4.07,4.16,4.09,0.07,1.7115,313438.71,130806.441
601666.SH,20200106,4.02,4.16,4.02,4.09,4.04,0.05,1.2376,311974.27,127558.788
601666.SH,20200103,4.02,4.08,3.99,4.04,4.02,0.02,0.4975,239540.53,96684.444
601666.SH,20200102,4.03,4.05,4.0,4.02,4.02,0.0,0.0,239013.99,96217.555
601666.SH,20191231,3.94,4.04,3.93,4.02,3.97,0.05,1.2594,329190.65,131292.894
601666.SH,20191230,3.87,3.98,3.85,3.97,3.88,0.09,2.3196,299570.43,117688.867
601666.SH,20191227,3.86,3.95,3.85,3.88,3.86,0.02,0.5181,241879.44,94279.34
601666.SH,20191226,3.82,3.86,3.81,3.86,3.82,0.04,1.0471,98956.59,37913.053
601666.SH,20191225,3.85,3.85,3.81,3.82,3.85,-0.03,-0.7792,81914.55,31357.679
601666.SH,20191224,3.82,3.86,3.8,3.85,3.82,0.03,0.7853,106053.56,40625.907
601666.SH,20191223,3.87,3.88,3.81,3.82,3.88,-0.06,-1.5464,117170.39,45075.801
601666.SH,20191220,3.92,3.93,3.87,3.88,3.92,-0.04,-1.0204,127344.79,49644.492
601666.SH,20191219,3.88,3.92,3.87,3.92,3.88,0.04,1.0309,147147.71,57345.675
601666.SH,20191218,3.89,3.91,3.86,3.88,3.89,-0.01,-0.2571,160776.32,62483.188
601666.SH,20191217,3.85,3.92,3.84,3.89,3.85,0.04,1.039,229636.86,89066.29
601666.SH,20191216,3.83,3.86,3.81,3.85,3.82,0.03,0.7853,144516.02,55421.251
601666.SH,20191213,3.8,3.83,3.79,3.82,3.78,0.04,1.0582,93800.92,35704.558
601666.SH,20191212,3.84,3.84,3.78,3.78,3.84,-0.06,-1.5625,119508.28,45518.018
601666.SH,20191211,3.84,3.85,3.82,3.84,3.83,0.01,0.2611,79342.27,30435.639
601666.SH,20191210,3.84,3.85,3.81,3.83,3.86,-0.03,-0.7772,90648.91,34719.951
601666.SH,20191209,3.83,3.87,3.8,3.86,3.82,0.04,1.0471,137495.19,52850.952
601666.SH,20191206,3.82,3.82,3.79,3.82,3.82,0.0,0.0,64934.78,24711.828
601666.SH,20191205,3.8,3.83,3.79,3.82,3.79,0.03,0.7916,82286.82,31356.928
601666.SH,20191204,3.8,3.82,3.78,3.79,3.82,-0.03,-0.7853,62040.75,23557.178
601666.SH,20191203,3.79,3.83,3.77,3.82,3.8,0.02,0.5263,83820.35,31838.149
601666.SH,20191202,3.83,3.83,3.79,3.8,3.83,-0.03,-0.7833,76207.15,29041.246
601666.SH,20191129,3.8,3.83,3.79,3.83,3.8,0.03,0.7895,73841.42,28099.79
601666.SH,20191128,3.83,3.84,3.78,3.8,3.82,-0.02,-0.5236,93571.0,35563.566
601666.SH,20191127,3.85,3.87,3.81,3.82,3.87,-0.05,-1.292,153120.83,58663.703
601666.SH,20191126,3.94,3.94,3.85,3.87,3.96,-0.09,-2.2727,232674.71,90468.234
601666.SH,20191125,3.82,3.97,3.82,3.96,3.81,0.15,3.937,424517.19,166685.494
601666.SH,20191122,3.77,3.82,3.76,3.81,3.77,0.04,1.061,144145.3,54652.111
601666.SH,20191121,3.75,3.77,3.73,3.77,3.77,0.0,0.0,62657.83,23504.966
601666.SH,20191120,3.76,3.82,3.74,3.77,3.76,0.01,0.266,128412.75,48607.717
601666.SH,20191119,3.74,3.77,3.73,3.76,3.74,0.02,0.5348,54517.7,20465.532
601666.SH,20191118,3.71,3.74,3.71,3.74,3.71,0.03,0.8086,49553.08,18457.675
601666.SH,20191115,3.75,3.76,3.7,3.71,3.75,-0.04,-1.0667,53960.25,20165.159
601666.SH,20191114,3.74,3.76,3.73,3.75,3.74,0.01,0.2674,53899.71,20171.778
601666.SH,20191113,3.75,3.76,3.72,3.74,3.74,0.0,0.0,66700.75,24955.545
601666.SH,20191112,3.73,3.75,3.69,3.74,3.73,0.01,0.2681,80036.03,29802.868
601666.SH,20191111,3.81,3.81,3.72,3.73,3.81,-0.08,-2.0997,95178.17,35824.164
601666.SH,20191108,3.84,3.84,3.81,3.81,3.82,-0.01,-0.2618,92476.51,35340.912
601666.SH,20191107,3.82,3.84,3.8,3.82,3.83,-0.01,-0.2611,75595.41,28875.697
601666.SH,20191106,3.82,3.84,3.81,3.83,3.82,0.01,0.2618,96819.62,37055.193
601666.SH,20191105,3.81,3.84,3.79,3.82,3.8,0.02,0.5263,98557.54,37600.454
601666.SH,20191104,3.82,3.83,3.79,3.8,3.81,-0.01,-0.2625,76585.86,29174.499
601666.SH,20191101,3.78,3.82,3.76,3.81,3.79,0.02,0.5277,85892.05,32623.684
601666.SH,20191031,3.79,3.84,3.77,3.79,3.79,0.0,0.0,112331.91,42701.16
601666.SH,20191030,3.82,3.83,3.78,3.79,3.84,-0.05,-1.3021,86811.37,32998.559
601666.SH,20191029,3.87,3.87,3.83,3.84,3.88,-0.04,-1.0309,91672.35,35265.813
601666.SH,20191028,3.86,3.89,3.84,3.88,3.86,0.02,0.5181,109361.97,42277.809
601666.SH,20191025,3.83,3.86,3.8,3.86,3.83,0.03,0.7833,90863.57,34831.449
601666.SH,20191024,3.83,3.84,3.81,3.83,3.83,0.0,0.0,60275.71,23061.571
601666.SH,20191023,3.83,3.85,3.82,3.83,3.83,0.0,0.0,50412.12,19310.391
601666.SH,20191022,3.82,3.84,3.81,3.83,3.82,0.01,0.2618,62336.84,23835.33
601666.SH,20191021,3.82,3.82,3.78,3.82,3.81,0.01,0.2625,69842.31,26538.296
601666.SH,20191018,3.87,3.89,3.8,3.81,3.87,-0.06,-1.5504,92965.36,35671.146
601666.SH,20191017,3.86,3.9,3.85,3.87,3.86,0.01,0.2591,65085.46,25204.126
601666.SH,20191016,3.92,3.94,3.86,3.86,3.92,-0.06,-1.5306,105935.04,41247.268
601666.SH,20191015,3.91,3.93,3.89,3.92,3.93,-0.01,-0.2545,80371.84,31440.392
601666.SH,20191014,3.9,3.94,3.89,3.93,3.88,0.05,1.2887,132384.22,51928.1
601666.SH,20191011,3.86,3.9,3.84,3.88,3.86,0.02,0.5181,87089.54,33714.948
601666.SH,20191010,3.85,3.88,3.83,3.86,3.85,0.01,0.2597,81688.24,31518.414
601666.SH,20191009,3.8,3.85,3.79,3.85,3.82,0.03,0.7853,78116.29,29839.319
601666.SH,20191008,3.81,3.83,3.79,3.82,3.79,0.03,0.7916,62775.98,23937.336
601666.SH,20190930,3.81,3.84,3.78,3.79,3.81,-0.02,-0.5249,90931.91,34605.018
601666.SH,20190927,3.8,3.83,3.77,3.81,3.79,0.02,0.5277,99269.5,37786.343
601666.SH,20190926,3.84,3.85,3.78,3.79,3.83,-0.04,-1.0444,157687.71,60076.319
601666.SH,20190925,3.85,3.89,3.82,3.83,3.86,-0.03,-0.7772,146728.61,56286.208
601666.SH,20190924,3.88,3.9,3.85,3.86,3.87,-0.01,-0.2584,139714.84,54028.118
601666.SH,20190923,3.93,3.94,3.84,3.87,3.94,-0.07,-1.7766,172744.16,66919.723
601666.SH,20190920,3.94,3.95,3.92,3.94,3.93,0.01,0.2545,135286.96,53212.336
601666.SH,20190919,3.96,3.97,3.89,3.93,3.95,-0.02,-0.5063,118389.89,46435.981
601666.SH,20190918,3.97,3.98,3.94,3.95,3.97,-0.02,-0.5038,98721.58,39080.564
601666.SH,20190917,4.06,4.07,3.94,3.97,4.06,-0.09,-2.2167,155500.4,62101.663
601666.SH,20190916,4.09,4.1,4.05,4.06,4.05,0.01,0.2469,171282.17,69852.481
601666.SH,20190912,4.04,4.06,4.02,4.05,4.03,0.02,0.4963,113704.91,45956.146
601666.SH,20190911,4.05,4.07,4.02,4.03,4.03,0.0,0.0,149861.8,60618.18
601666.SH,20190910,4.04,4.04,4.01,4.03,4.04,-0.01,-0.2475,124247.17,50013.104
601666.SH,20190909,4.04,4.05,4.0,4.04,4.0,0.04,1.0,145354.88,58536.197
601666.SH,20190906,4.02,4.03,3.98,4.0,4.01,-0.01,-0.2494,142874.91,57208.046
601666.SH,20190905,4.02,4.07,3.99,4.01,3.99,0.02,0.5013,208962.26,84269.361
