ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000576.SZ,20200110,7.85,7.92,7.67,7.71,7.83,-0.12,-1.5326,55259.71,42779.394
000576.SZ,20200109,7.89,7.95,7.8,7.83,7.8,0.03,0.3846,65782.26,51629.477
000576.SZ,20200108,8.07,8.07,7.73,7.8,8.08,-0.28,-3.4653,116135.11,91410.906
000576.SZ,20200107,8.1,8.19,8.05,8.08,8.12,-0.04,-0.4926,90619.05,73447.938
000576.SZ,20200106,7.9,8.33,7.89,8.12,8.01,0.11,1.3733,142157.49,114718.22
000576.SZ,20200103,7.71,8.23,7.61,8.01,7.79,0.22,2.8241,166537.58,131167.899
000576.SZ,20200102,7.63,8.08,7.57,7.79,7.61,0.18,2.3653,163999.24,127610.429
000576.SZ,20191231,7.56,7.65,7.47,7.61,7.61,0.0,0.0,105086.8,79263.685
000576.SZ,20191230,7.73,7.73,7.44,7.61,7.79,-0.18,-2.3107,167362.3,127225.05
000576.SZ,20191227,7.1,7.79,7.06,7.79,7.08,0.71,10.0282,244185.66,184167.175
000576.SZ,20191226,7.13,7.15,7.02,7.08,7.15,-0.07,-0.979,60149.02,42512.036
000576.SZ,20191225,7.19,7.33,7.09,7.15,7.16,-0.01,-0.1397,61272.0,44202.893
000576.SZ,20191224,7.11,7.21,7.07,7.16,7.09,0.07,0.9873,35504.3,25392.825
000576.SZ,20191223,7.27,7.31,7.07,7.09,7.27,-0.18,-2.4759,45857.32,33010.494
000576.SZ,20191220,7.34,7.43,7.25,7.27,7.33,-0.06,-0.8186,58458.0,42966.193
000576.SZ,20191219,7.34,7.36,7.24,7.33,7.3,0.03,0.411,46539.0,33963.235
000576.SZ,20191218,7.29,7.43,7.26,7.3,7.3,0.0,0.0,59563.0,43728.535
000576.SZ,20191217,7.24,7.32,7.19,7.3,7.23,0.07,0.9682,58047.0,42184.521
000576.SZ,20191216,7.12,7.23,7.08,7.23,7.11,0.12,1.6878,46341.5,33228.544
000576.SZ,20191213,7.02,7.14,7.0,7.11,6.97,0.14,2.0086,46583.84,32968.226
000576.SZ,20191212,7.04,7.06,6.96,6.97,7.04,-0.07,-0.9943,28583.88,19972.71
000576.SZ,20191211,7.02,7.07,6.96,7.04,7.02,0.02,0.2849,35688.0,25043.151
000576.SZ,20191210,7.06,7.07,6.95,7.02,7.06,-0.04,-0.5666,43694.15,30602.094
