ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300711.SZ,20200110,15.63,15.63,15.01,15.28,15.52,-0.24,-1.5464,17331.24,26599.48
300711.SZ,20200109,15.51,15.61,15.38,15.52,15.37,0.15,0.9759,18330.6,28422.746
300711.SZ,20200108,15.5,15.85,15.37,15.37,15.61,-0.24,-1.5375,24683.89,38488.399
300711.SZ,20200107,15.69,15.75,15.39,15.61,15.62,-0.01,-0.064,30797.8,47870.902
300711.SZ,20200106,16.0,16.45,15.47,15.62,15.8,-0.18,-1.1392,63350.03,100478.721
300711.SZ,20200103,14.95,15.81,14.89,15.8,14.92,0.88,5.8981,59636.23,91760.055
300711.SZ,20200102,14.44,14.96,14.4,14.92,14.3,0.62,4.3357,24307.2,35719.663
300711.SZ,20191231,14.42,14.54,14.3,14.3,14.43,-0.13,-0.9009,10185.92,14667.972
300711.SZ,20191230,14.65,14.77,14.28,14.43,14.79,-0.36,-2.4341,15094.4,21743.617
300711.SZ,20191227,14.93,15.01,14.6,14.79,14.91,-0.12,-0.8048,14529.6,21528.281
300711.SZ,20191226,14.89,14.95,14.78,14.91,14.89,0.02,0.1343,14629.31,21766.317
300711.SZ,20191225,15.09,15.16,14.89,14.89,15.03,-0.14,-0.9315,18552.8,27790.144
300711.SZ,20191224,15.09,15.21,14.9,15.03,15.19,-0.16,-1.0533,22126.96,33289.925
300711.SZ,20191223,14.84,15.44,14.64,15.19,14.93,0.26,1.7415,40435.72,60807.824
300711.SZ,20191220,15.16,15.19,14.69,14.93,15.15,-0.22,-1.4521,23258.6,34674.882
300711.SZ,20191219,15.35,15.45,15.0,15.15,15.35,-0.2,-1.3029,29727.03,45082.067
300711.SZ,20191218,15.36,15.55,15.28,15.35,15.49,-0.14,-0.9038,27886.43,42872.527
300711.SZ,20191217,15.06,16.08,15.06,15.49,15.19,0.3,1.975,49749.88,77143.86
300711.SZ,20191216,15.16,15.28,14.94,15.19,15.28,-0.09,-0.589,37618.25,56651.97
300711.SZ,20191213,14.67,15.5,14.49,15.28,14.68,0.6,4.0872,39553.57,59131.254
300711.SZ,20191212,14.89,15.14,14.49,14.68,14.9,-0.22,-1.4765,26045.04,38664.62
300711.SZ,20191211,14.6,15.08,14.55,14.9,14.7,0.2,1.3605,25354.92,37535.062
300711.SZ,20191210,14.88,14.89,14.52,14.7,14.78,-0.08,-0.5413,17442.39,25565.796
300711.SZ,20191209,14.42,15.01,14.31,14.78,14.53,0.25,1.7206,30586.33,45097.954
300711.SZ,20191206,14.17,14.6,13.99,14.53,14.26,0.27,1.8934,35551.17,51059.799
300711.SZ,20191205,13.88,14.5,13.8,14.26,13.94,0.32,2.2956,35176.6,49880.249
300711.SZ,20191204,13.9,14.12,13.65,13.94,14.08,-0.14,-0.9943,18095.8,24955.364
300711.SZ,20191203,13.33,14.31,13.27,14.08,13.42,0.66,4.918,19970.98,27595.336
300711.SZ,20191202,13.8,13.8,13.38,13.42,13.51,-0.09,-0.6662,9185.0,12429.119
300711.SZ,20191129,13.39,13.55,13.36,13.51,13.37,0.14,1.0471,7295.0,9810.03
300711.SZ,20191128,13.27,13.68,13.27,13.37,13.54,-0.17,-1.2555,8545.18,11516.496
300711.SZ,20191127,13.68,13.74,13.43,13.54,13.75,-0.21,-1.5273,12498.6,16967.109
300711.SZ,20191126,13.96,13.96,13.71,13.75,13.82,-0.07,-0.5065,7495.8,10334.947
300711.SZ,20191125,14.04,14.19,13.76,13.82,14.05,-0.23,-1.637,9996.4,13892.178
300711.SZ,20191122,14.46,14.61,13.95,14.05,14.42,-0.37,-2.5659,11370.38,16228.737
300711.SZ,20191121,14.43,14.58,14.25,14.42,14.5,-0.08,-0.5517,10094.18,14561.348
300711.SZ,20191120,14.74,14.78,14.5,14.5,14.61,-0.11,-0.7529,10529.58,15422.251
300711.SZ,20191119,14.28,14.66,14.27,14.61,14.31,0.3,2.0964,14535.4,21179.877
300711.SZ,20191118,13.96,14.38,13.55,14.31,13.96,0.35,2.5072,14724.9,21011.238
300711.SZ,20191115,14.5,14.58,13.96,13.96,14.54,-0.58,-3.989,15722.0,22385.99
300711.SZ,20191114,14.56,14.66,14.41,14.54,14.56,-0.02,-0.1374,9323.8,13568.723
300711.SZ,20191113,14.51,14.73,14.37,14.56,14.54,0.02,0.1376,8340.4,12156.702
300711.SZ,20191112,14.54,14.77,14.22,14.54,14.54,0.0,0.0,10657.8,15377.623
300711.SZ,20191111,15.02,15.19,14.21,14.54,15.16,-0.62,-4.0897,17848.0,26438.247
300711.SZ,20191108,15.44,15.48,15.15,15.16,15.38,-0.22,-1.4304,11646.47,17849.983
300711.SZ,20191107,15.34,15.54,15.32,15.38,15.4,-0.02,-0.1299,11537.8,17785.887
300711.SZ,20191106,15.7,15.75,15.35,15.4,15.79,-0.39,-2.4699,21377.0,33052.905
300711.SZ,20191105,15.44,16.99,15.14,15.79,15.49,0.3,1.9367,34662.72,54750.719
300711.SZ,20191104,15.3,15.67,15.2,15.49,15.29,0.2,1.308,17449.6,27001.983
300711.SZ,20191101,15.46,15.46,14.97,15.29,15.19,0.1,0.6583,10828.0,16474.933
300711.SZ,20191031,15.2,15.32,14.97,15.19,15.08,0.11,0.7294,11697.78,17702.593
