ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600979.SH,20200110,4.26,4.26,4.23,4.24,4.26,-0.02,-0.4695,19300.0,8188.596
600979.SH,20200109,4.23,4.26,4.22,4.26,4.2,0.06,1.4286,29085.31,12347.515
600979.SH,20200108,4.27,4.28,4.2,4.2,4.28,-0.08,-1.8692,29090.1,12337.166
600979.SH,20200107,4.26,4.29,4.25,4.28,4.26,0.02,0.4695,29971.55,12791.987
600979.SH,20200106,4.23,4.29,4.23,4.26,4.26,0.0,0.0,35324.37,15056.093
600979.SH,20200103,4.25,4.28,4.22,4.26,4.24,0.02,0.4717,37062.02,15733.614
600979.SH,20200102,4.22,4.24,4.19,4.24,4.19,0.05,1.1933,25991.0,10982.46
600979.SH,20191231,4.17,4.2,4.15,4.19,4.17,0.02,0.4796,18393.02,7679.504
600979.SH,20191230,4.18,4.18,4.11,4.17,4.17,0.0,0.0,25101.41,10412.176
600979.SH,20191227,4.2,4.21,4.16,4.17,4.18,-0.01,-0.2392,18634.0,7804.988
600979.SH,20191226,4.17,4.19,4.15,4.18,4.16,0.02,0.4808,17691.0,7380.821
600979.SH,20191225,4.17,4.18,4.15,4.16,4.17,-0.01,-0.2398,10315.8,4296.549
600979.SH,20191224,4.18,4.18,4.14,4.17,4.14,0.03,0.7246,11986.02,4992.317
600979.SH,20191223,4.24,4.26,4.14,4.14,4.24,-0.1,-2.3585,22645.0,9475.954
600979.SH,20191220,4.26,4.29,4.24,4.24,4.26,-0.02,-0.4695,21795.0,9298.921
600979.SH,20191219,4.22,4.27,4.22,4.26,4.22,0.04,0.9479,18608.03,7901.144
600979.SH,20191218,4.24,4.27,4.2,4.22,4.25,-0.03,-0.7059,21589.42,9145.891
600979.SH,20191217,4.23,4.26,4.21,4.25,4.23,0.02,0.4728,26466.28,11225.264
600979.SH,20191216,4.19,4.26,4.18,4.23,4.18,0.05,1.1962,35620.43,15049.703
600979.SH,20191213,4.15,4.19,4.14,4.18,4.13,0.05,1.2107,20315.66,8470.332
600979.SH,20191212,4.16,4.17,4.12,4.13,4.15,-0.02,-0.4819,10641.48,4410.954
600979.SH,20191211,4.19,4.19,4.15,4.15,4.19,-0.04,-0.9547,10357.0,4309.168
600979.SH,20191210,4.19,4.19,4.15,4.19,4.18,0.01,0.2392,16983.02,7085.589
600979.SH,20191209,4.17,4.18,4.15,4.18,4.17,0.01,0.2398,15384.02,6406.022
600979.SH,20191206,4.16,4.19,4.13,4.17,4.16,0.01,0.2404,10898.0,4530.173
600979.SH,20191205,4.17,4.2,4.14,4.16,4.19,-0.03,-0.716,16278.73,6776.133
600979.SH,20191204,4.1,4.19,4.07,4.19,4.12,0.07,1.699,17677.64,7331.746
600979.SH,20191203,4.13,4.13,4.08,4.12,4.12,0.0,0.0,9156.86,3754.773
600979.SH,20191202,4.16,4.19,4.1,4.12,4.16,-0.04,-0.9615,18856.0,7815.723
600979.SH,20191129,4.18,4.2,4.14,4.16,4.19,-0.03,-0.716,16711.01,6962.083
600979.SH,20191128,4.17,4.2,4.16,4.19,4.17,0.02,0.4796,18386.0,7687.518
600979.SH,20191127,4.17,4.21,4.16,4.17,4.19,-0.02,-0.4773,21243.73,8886.18
600979.SH,20191126,4.19,4.25,4.16,4.19,4.17,0.02,0.4796,39312.04,16535.634
600979.SH,20191125,4.11,4.3,4.07,4.17,4.1,0.07,1.7073,54125.39,22676.436
600979.SH,20191122,4.06,4.1,4.05,4.1,4.06,0.04,0.9852,16078.73,6548.232
600979.SH,20191121,4.04,4.06,4.04,4.06,4.05,0.01,0.2469,8903.0,3607.684
600979.SH,20191120,4.03,4.06,4.03,4.05,4.05,0.0,0.0,13008.03,5262.731
600979.SH,20191119,4.01,4.05,4.0,4.05,4.01,0.04,0.9975,6622.31,2668.588
600979.SH,20191118,4.0,4.03,4.0,4.01,4.0,0.01,0.25,8213.56,3293.467
600979.SH,20191115,4.03,4.03,4.0,4.0,4.03,-0.03,-0.7444,10270.73,4123.638
600979.SH,20191114,4.02,4.04,4.0,4.03,4.01,0.02,0.4988,10250.0,4113.953
600979.SH,20191113,4.02,4.04,4.0,4.01,4.02,-0.01,-0.2488,11744.02,4711.86
600979.SH,20191112,4.0,4.03,3.99,4.02,4.02,0.0,0.0,14488.2,5803.914
600979.SH,20191111,4.09,4.11,4.02,4.02,4.1,-0.08,-1.9512,25819.0,10450.202
600979.SH,20191108,4.1,4.14,4.09,4.1,4.09,0.01,0.2445,11914.0,4902.725
600979.SH,20191107,4.07,4.12,4.07,4.09,4.09,0.0,0.0,11117.0,4552.934
600979.SH,20191106,4.08,4.11,4.07,4.09,4.1,-0.01,-0.2439,10009.0,4089.661
600979.SH,20191105,4.13,4.15,4.07,4.1,4.12,-0.02,-0.4854,15580.66,6373.079
600979.SH,20191104,4.06,4.17,4.06,4.12,4.07,0.05,1.2285,19494.0,8008.644
600979.SH,20191101,4.04,4.07,4.04,4.07,4.05,0.02,0.4938,16947.01,6874.282
600979.SH,20191031,4.06,4.09,4.05,4.05,4.07,-0.02,-0.4914,16369.04,6649.211
600979.SH,20191030,4.19,4.19,4.06,4.07,4.17,-0.1,-2.3981,28210.43,11579.78
600979.SH,20191029,4.46,4.46,4.15,4.17,4.13,0.04,0.9685,55967.61,23664.335
600979.SH,20191028,4.1,4.15,4.09,4.13,4.11,0.02,0.4866,16666.0,6873.743
600979.SH,20191025,4.17,4.17,4.08,4.11,4.18,-0.07,-1.6746,20477.92,8397.387
600979.SH,20191024,4.09,4.2,4.07,4.18,4.08,0.1,2.451,16957.67,6981.805
600979.SH,20191023,4.07,4.09,4.06,4.08,4.08,0.0,0.0,8982.0,3656.688
600979.SH,20191022,4.05,4.09,4.05,4.08,4.05,0.03,0.7407,11188.58,4552.43
600979.SH,20191021,4.09,4.11,4.04,4.05,4.08,-0.03,-0.7353,12608.0,5115.912
600979.SH,20191018,4.13,4.14,4.07,4.08,4.12,-0.04,-0.9709,10975.8,4497.197
600979.SH,20191017,4.14,4.15,4.1,4.12,4.14,-0.02,-0.4831,8686.0,3584.199
600979.SH,20191016,4.14,4.18,4.13,4.14,4.13,0.01,0.2421,12294.92,5106.509
600979.SH,20191015,4.16,4.16,4.1,4.13,4.15,-0.02,-0.4819,12213.27,5042.068
600979.SH,20191014,4.09,4.17,4.09,4.15,4.07,0.08,1.9656,28119.2,11634.856
600979.SH,20191011,4.07,4.09,4.04,4.07,4.07,0.0,0.0,12415.68,5052.159
600979.SH,20191010,4.04,4.08,4.04,4.07,4.05,0.02,0.4938,8284.27,3358.039
600979.SH,20191009,4.02,4.05,4.0,4.05,4.02,0.03,0.7463,8570.02,3444.921
600979.SH,20191008,4.0,4.04,4.0,4.02,4.0,0.02,0.5,13612.48,5472.728
600979.SH,20190930,4.02,4.06,4.0,4.0,4.05,-0.05,-1.2346,12601.01,5073.335
600979.SH,20190927,4.05,4.06,4.02,4.05,4.03,0.02,0.4963,12949.0,5237.648
600979.SH,20190926,4.06,4.09,4.01,4.03,4.06,-0.03,-0.7389,26974.0,10885.169
600979.SH,20190925,4.08,4.09,4.05,4.06,4.08,-0.02,-0.4902,20009.57,8129.087
600979.SH,20190924,4.08,4.14,4.06,4.08,4.08,0.0,0.0,22284.0,9111.536
600979.SH,20190923,4.11,4.12,4.07,4.08,4.12,-0.04,-0.9709,20962.0,8550.146
600979.SH,20190920,4.13,4.14,4.11,4.12,4.12,0.0,0.0,16422.81,6774.655
600979.SH,20190919,4.15,4.15,4.09,4.12,4.13,-0.01,-0.2421,15301.0,6289.298
600979.SH,20190918,4.13,4.16,4.11,4.13,4.14,-0.01,-0.2415,23974.54,9891.257
600979.SH,20190917,4.28,4.28,4.12,4.14,4.28,-0.14,-3.271,42461.82,17739.549
600979.SH,20190916,4.3,4.32,4.24,4.28,4.28,0.0,0.0,35447.0,15149.012
600979.SH,20190912,4.17,4.31,4.17,4.28,4.18,0.1,2.3923,54483.77,23261.691
600979.SH,20190911,4.19,4.22,4.17,4.18,4.18,0.0,0.0,19119.77,8016.131
600979.SH,20190910,4.18,4.22,4.16,4.18,4.2,-0.02,-0.4762,19413.0,8114.535
600979.SH,20190909,4.18,4.2,4.16,4.2,4.16,0.04,0.9615,21123.01,8840.741
600979.SH,20190906,4.2,4.21,4.13,4.16,4.2,-0.04,-0.9524,19042.0,7930.791
600979.SH,20190905,4.18,4.23,4.16,4.2,4.18,0.02,0.4785,30558.42,12835.926
600979.SH,20190904,4.12,4.18,4.1,4.18,4.1,0.08,1.9512,26365.6,10926.408
600979.SH,20190903,4.11,4.14,4.08,4.1,4.12,-0.02,-0.4854,15171.09,6220.099
600979.SH,20190902,4.07,4.12,4.04,4.12,4.02,0.1,2.4876,16925.0,6927.487
600979.SH,20190830,4.12,4.14,4.01,4.02,4.09,-0.07,-1.7115,17628.0,7168.433
600979.SH,20190829,4.12,4.13,4.09,4.09,4.09,0.0,0.0,18630.61,7657.176
600979.SH,20190828,4.12,4.15,4.08,4.09,4.14,-0.05,-1.2077,18047.0,7416.449
600979.SH,20190827,4.06,4.14,4.06,4.14,4.07,0.07,1.7199,13739.0,5662.731
600979.SH,20190826,4.03,4.08,4.0,4.07,4.09,-0.02,-0.489,12097.23,4902.257
600979.SH,20190823,4.07,4.11,4.07,4.09,4.08,0.01,0.2451,12308.01,5030.476
600979.SH,20190822,4.05,4.1,4.05,4.08,4.06,0.02,0.4926,11791.0,4801.118
600979.SH,20190821,4.05,4.06,4.04,4.06,4.05,0.01,0.2469,10576.0,4283.461
600979.SH,20190820,4.07,4.07,4.04,4.05,4.04,0.01,0.2475,14396.04,5832.27
600979.SH,20190819,3.94,4.06,3.92,4.04,3.94,0.1,2.5381,18459.0,7411.749
600979.SH,20190816,3.9,3.95,3.9,3.94,3.92,0.02,0.5102,11294.0,4438.402
600979.SH,20190815,3.88,3.93,3.83,3.92,3.94,-0.02,-0.5076,9674.0,3758.461
600979.SH,20190814,3.99,3.99,3.93,3.94,3.9,0.04,1.0256,12514.04,4940.551
