ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600831.SH,20200110,10.17,10.32,9.96,10.04,10.25,-0.21,-2.0488,244440.38,245708.907
600831.SH,20200109,10.33,10.44,10.0,10.25,10.16,0.09,0.8858,333831.16,340640.055
600831.SH,20200108,10.34,10.58,10.06,10.16,10.55,-0.39,-3.6967,550566.21,569831.81
600831.SH,20200107,9.71,10.55,9.6,10.55,9.59,0.96,10.0104,767070.2,781267.122
600831.SH,20200106,9.5,9.74,9.4,9.59,9.6,-0.01,-0.1042,219611.11,210438.838
600831.SH,20200103,9.69,9.76,9.49,9.6,9.74,-0.14,-1.4374,267395.48,256556.105
600831.SH,20200102,9.3,9.74,9.27,9.74,9.26,0.48,5.1836,309763.94,295131.989
600831.SH,20191231,9.36,9.36,9.17,9.26,9.28,-0.02,-0.2155,93368.31,86325.709
600831.SH,20191230,9.21,9.35,9.02,9.28,9.2,0.08,0.8696,113215.63,104335.222
600831.SH,20191227,9.49,9.57,9.2,9.2,9.47,-0.27,-2.8511,176694.2,165921.457
600831.SH,20191226,9.3,9.52,9.25,9.47,9.4,0.07,0.7447,166773.6,156440.551
600831.SH,20191225,9.16,9.58,9.05,9.4,9.15,0.25,2.7322,216571.71,203084.428
600831.SH,20191224,9.07,9.2,9.0,9.15,9.09,0.06,0.6601,153733.03,140075.283
600831.SH,20191223,9.53,9.53,9.03,9.09,9.6,-0.51,-5.3125,247294.2,228928.865
600831.SH,20191220,9.81,9.84,9.55,9.6,9.8,-0.2,-2.0408,256262.39,247601.713
600831.SH,20191219,10.13,10.26,9.59,9.8,9.78,0.02,0.2045,486903.35,480401.275
600831.SH,20191218,9.36,9.82,9.35,9.78,9.47,0.31,3.2735,561860.21,541297.255
600831.SH,20191217,8.8,9.6,8.77,9.47,8.76,0.71,8.105,629930.01,584722.173
600831.SH,20191216,8.64,8.76,8.57,8.76,8.61,0.15,1.7422,197847.43,171648.03
600831.SH,20191213,8.6,8.68,8.55,8.61,8.54,0.07,0.8197,113137.19,97444.514
