ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600936.SH,20200110,4.0,4.03,3.92,3.98,4.0,-0.02,-0.5,35772.0,14202.526
600936.SH,20200109,4.0,4.03,3.97,4.0,3.96,0.04,1.0101,46096.0,18433.737
600936.SH,20200108,4.0,4.16,3.93,3.96,4.05,-0.09,-2.2222,214315.85,87008.908
600936.SH,20200107,3.89,4.08,3.89,4.05,3.9,0.15,3.8462,146178.07,58422.346
600936.SH,20200106,3.88,3.94,3.85,3.9,3.91,-0.01,-0.2558,56977.6,22217.655
600936.SH,20200103,3.91,3.92,3.87,3.91,3.92,-0.01,-0.2551,42819.35,16679.613
600936.SH,20200102,3.86,3.92,3.86,3.92,3.84,0.08,2.0833,55690.07,21722.73
600936.SH,20191231,3.84,3.86,3.82,3.84,3.84,0.0,0.0,18654.07,7155.552
600936.SH,20191230,3.8,3.85,3.74,3.84,3.81,0.03,0.7874,31307.61,11931.694
600936.SH,20191227,3.8,3.87,3.79,3.81,3.81,0.0,0.0,41512.18,15940.871
600936.SH,20191226,3.78,3.82,3.76,3.81,3.78,0.03,0.7937,26525.18,10026.534
600936.SH,20191225,3.77,3.83,3.73,3.78,3.77,0.01,0.2653,33825.18,12828.884
600936.SH,20191224,3.72,3.77,3.72,3.77,3.72,0.05,1.3441,23708.25,8876.597
600936.SH,20191223,3.86,3.89,3.71,3.72,3.87,-0.15,-3.876,59751.0,22618.623
600936.SH,20191220,3.94,3.95,3.87,3.87,3.96,-0.09,-2.2727,84479.85,32949.298
600936.SH,20191219,3.98,4.1,3.93,3.96,3.92,0.04,1.0204,168739.65,67726.767
600936.SH,20191218,3.83,3.96,3.79,3.92,3.85,0.07,1.8182,128798.13,49683.022
600936.SH,20191217,3.79,3.9,3.78,3.85,3.79,0.06,1.5831,80774.03,30966.326
600936.SH,20191216,3.69,3.83,3.67,3.79,3.73,0.06,1.6086,60218.48,22683.81
600936.SH,20191213,3.67,3.78,3.67,3.73,3.65,0.08,2.1918,45579.41,16968.406
600936.SH,20191212,3.73,3.73,3.63,3.65,3.74,-0.09,-2.4064,42718.0,15699.826
600936.SH,20191211,3.75,3.79,3.72,3.74,3.82,-0.08,-2.0942,62062.41,23279.492
600936.SH,20191210,3.66,3.94,3.61,3.82,3.66,0.16,4.3716,117973.29,44361.804
600936.SH,20191209,3.59,3.72,3.57,3.66,3.61,0.05,1.385,56293.11,20518.133
600936.SH,20191206,3.56,3.61,3.56,3.61,3.57,0.04,1.1204,28908.37,10361.22
600936.SH,20191205,3.53,3.58,3.53,3.57,3.51,0.06,1.7094,30830.62,10958.384
600936.SH,20191204,3.51,3.54,3.49,3.51,3.53,-0.02,-0.5666,22238.0,7802.809
600936.SH,20191203,3.5,3.53,3.46,3.53,3.51,0.02,0.5698,28300.0,9886.078
600936.SH,20191202,3.52,3.56,3.49,3.51,3.52,-0.01,-0.2841,33021.0,11616.904
600936.SH,20191129,3.5,3.54,3.49,3.52,3.52,0.0,0.0,17386.36,6106.081
600936.SH,20191128,3.51,3.54,3.5,3.52,3.52,0.0,0.0,18091.0,6359.596
600936.SH,20191127,3.56,3.56,3.51,3.52,3.56,-0.04,-1.1236,17329.0,6117.216
600936.SH,20191126,3.54,3.58,3.53,3.56,3.55,0.01,0.2817,22482.08,7988.883
600936.SH,20191125,3.55,3.56,3.49,3.55,3.53,0.02,0.5666,24295.08,8566.706
600936.SH,20191122,3.55,3.6,3.52,3.53,3.56,-0.03,-0.8427,31536.0,11236.747
600936.SH,20191121,3.56,3.58,3.51,3.56,3.54,0.02,0.565,29339.0,10389.937
600936.SH,20191120,3.6,3.61,3.52,3.54,3.58,-0.04,-1.1173,23991.0,8542.391
600936.SH,20191119,3.48,3.63,3.47,3.58,3.48,0.1,2.8736,30214.0,10782.426
