ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300391.SZ,20200110,10.65,10.65,10.51,10.65,9.68,0.97,10.0207,435802.61,464125.687
300391.SZ,20200109,9.68,9.68,9.68,9.68,8.8,0.88,10.0,43761.39,42361.025
300391.SZ,20200108,8.8,8.8,8.8,8.8,8.0,0.8,10.0,30497.25,26837.58
300391.SZ,20200107,8.0,8.0,8.0,8.0,7.27,0.73,10.0413,5512.49,4409.992
300391.SZ,20191227,7.36,7.63,7.17,7.27,7.35,-0.08,-1.0884,123136.42,90936.377
300391.SZ,20191226,7.1,7.35,7.03,7.35,7.16,0.19,2.6536,77515.98,56015.374
300391.SZ,20191225,6.9,7.33,6.88,7.16,7.01,0.15,2.1398,111680.13,79485.299
300391.SZ,20191224,6.64,7.09,6.51,7.01,6.58,0.43,6.535,142384.0,97712.4
300391.SZ,20191223,6.41,6.8,6.32,6.58,6.37,0.21,3.2967,131585.38,87063.102
300391.SZ,20191220,6.33,6.52,6.3,6.37,6.35,0.02,0.315,71019.38,45581.406
300391.SZ,20191219,6.18,6.36,6.17,6.35,6.2,0.15,2.4194,57725.5,36241.644
300391.SZ,20191218,6.2,6.24,6.15,6.2,6.21,-0.01,-0.161,36557.5,22613.372
300391.SZ,20191217,6.07,6.22,6.05,6.21,6.05,0.16,2.6446,54053.0,33273.955
300391.SZ,20191216,5.94,6.06,5.91,6.05,5.92,0.13,2.1959,29709.44,17798.252
300391.SZ,20191213,5.91,5.95,5.87,5.92,5.91,0.01,0.1692,26697.57,15784.943
300391.SZ,20191212,6.1,6.11,5.88,5.91,6.14,-0.23,-3.7459,60779.0,36415.162
300391.SZ,20191211,6.2,6.26,6.11,6.14,6.25,-0.11,-1.76,56266.57,34676.639
300391.SZ,20191210,6.15,6.25,6.09,6.25,6.17,0.08,1.2966,67961.07,41741.666
300391.SZ,20191209,6.08,6.17,6.01,6.17,6.06,0.11,1.8152,33374.5,20298.83
300391.SZ,20191206,6.14,6.14,6.01,6.06,6.17,-0.11,-1.7828,44219.05,26790.951
300391.SZ,20191205,6.18,6.25,6.13,6.17,6.17,0.0,0.0,75901.11,46819.942
300391.SZ,20191204,6.11,6.2,6.06,6.17,6.2,-0.03,-0.4839,41578.5,25472.138
300391.SZ,20191203,6.23,6.27,6.08,6.2,6.3,-0.1,-1.5873,74803.5,46009.472
300391.SZ,20191202,6.16,6.38,6.16,6.3,6.19,0.11,1.7771,81487.5,51212.887
300391.SZ,20191129,6.16,6.24,6.06,6.19,6.2,-0.01,-0.1613,32459.0,19933.873
300391.SZ,20191128,6.08,6.3,5.97,6.2,6.03,0.17,2.8192,48963.75,30043.691
300391.SZ,20191127,6.01,6.13,5.89,6.03,6.08,-0.05,-0.8224,52927.5,31704.774
300391.SZ,20191126,6.15,6.16,5.96,6.08,6.15,-0.07,-1.1382,55815.75,33689.44
300391.SZ,20191125,6.03,6.17,5.97,6.15,6.04,0.11,1.8212,40462.5,24639.79
300391.SZ,20191122,5.96,6.08,5.85,6.04,5.99,0.05,0.8347,38502.0,22955.219
300391.SZ,20191121,5.95,6.06,5.86,5.99,5.98,0.01,0.1672,44753.77,26797.987
300391.SZ,20191120,5.85,5.98,5.73,5.98,5.87,0.11,1.8739,55071.61,32394.104
300391.SZ,20191119,5.8,5.89,5.76,5.87,5.81,0.06,1.0327,19743.5,11546.868
300391.SZ,20191118,5.71,5.86,5.65,5.81,5.71,0.1,1.7513,18558.0,10649.947
300391.SZ,20191115,5.83,5.83,5.65,5.71,5.86,-0.15,-2.5597,40562.88,23239.476
300391.SZ,20191114,5.85,5.97,5.8,5.86,5.88,-0.02,-0.3401,51053.0,30044.756
300391.SZ,20191113,5.76,5.99,5.75,5.88,5.78,0.1,1.7301,77936.37,45815.9
300391.SZ,20191112,5.65,5.93,5.64,5.78,5.68,0.1,1.7606,34982.5,20144.737
