ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600984.SH,20200110,10.9,11.19,10.9,11.05,10.99,0.06,0.546,96151.05,106546.467
600984.SH,20200109,11.01,11.08,10.9,10.99,10.81,0.18,1.6651,85701.1,94263.768
600984.SH,20200108,11.08,11.2,10.75,10.81,11.17,-0.36,-3.2229,129098.64,140810.029
600984.SH,20200107,11.15,11.28,10.91,11.17,11.31,-0.14,-1.2378,122665.09,135926.135
600984.SH,20200106,11.1,11.41,10.92,11.31,11.25,0.06,0.5333,160015.02,179064.594
600984.SH,20200103,11.3,11.3,10.8,11.25,11.04,0.21,1.9022,135810.35,150045.299
600984.SH,20200102,10.44,11.16,10.44,11.04,10.33,0.71,6.8732,276374.55,302596.778
600984.SH,20191231,10.31,10.53,10.15,10.33,10.35,-0.02,-0.1932,126231.39,130484.318
600984.SH,20191230,9.66,10.36,9.62,10.35,9.75,0.6,6.1538,231145.99,235390.893
600984.SH,20191227,10.19,10.23,9.71,9.75,10.12,-0.37,-3.6561,123588.09,123359.78
600984.SH,20191226,10.16,10.23,10.07,10.12,10.15,-0.03,-0.2956,60541.93,61555.984
600984.SH,20191225,10.26,10.29,10.11,10.15,10.24,-0.09,-0.8789,47930.8,48877.073
600984.SH,20191224,10.08,10.25,9.94,10.24,10.02,0.22,2.1956,78597.85,79678.772
600984.SH,20191223,9.87,10.13,9.81,10.02,10.04,-0.02,-0.1992,75176.69,75109.48
600984.SH,20191220,9.99,10.18,9.96,10.04,10.01,0.03,0.2997,56000.47,56499.523
600984.SH,20191219,9.96,10.05,9.92,10.01,9.95,0.06,0.603,57320.17,57222.194
600984.SH,20191218,10.11,10.13,9.93,9.95,10.1,-0.15,-1.4851,78056.4,78109.533
600984.SH,20191217,10.2,10.24,9.99,10.1,10.22,-0.12,-1.1742,97239.86,98457.381
600984.SH,20191216,10.48,10.48,10.08,10.22,10.46,-0.24,-2.2945,161672.16,164617.996
600984.SH,20191213,10.27,10.51,10.22,10.46,10.29,0.17,1.6521,71974.49,74809.891
600984.SH,20191212,10.21,10.4,10.14,10.29,10.22,0.07,0.6849,85895.76,87999.414
600984.SH,20191211,10.16,10.33,10.07,10.22,10.2,0.02,0.1961,69232.3,70605.74
600984.SH,20191210,10.27,10.3,9.97,10.2,10.26,-0.06,-0.5848,117413.4,118886.789
600984.SH,20191209,9.73,10.54,9.68,10.26,9.73,0.53,5.4471,225380.78,229615.405
600984.SH,20191206,9.94,9.95,9.69,9.73,9.84,-0.11,-1.1179,53076.4,51880.374
600984.SH,20191205,9.85,9.9,9.75,9.84,9.75,0.09,0.9231,55138.9,54147.415
600984.SH,20191204,9.71,9.88,9.68,9.75,9.75,0.0,0.0,70340.43,68836.95
600984.SH,20191203,9.71,9.8,9.6,9.75,9.67,0.08,0.8273,68107.2,65896.138
600984.SH,20191202,9.77,9.85,9.65,9.67,9.82,-0.15,-1.5275,55734.14,54236.56
600984.SH,20191129,9.73,9.82,9.56,9.82,9.78,0.04,0.409,66091.28,63984.503
600984.SH,20191128,9.73,9.83,9.61,9.78,9.77,0.01,0.1024,68899.43,66962.549
600984.SH,20191127,9.54,9.9,9.44,9.77,9.42,0.35,3.7155,115968.26,112883.706
600984.SH,20191126,9.58,9.58,9.39,9.42,9.53,-0.11,-1.1542,64837.39,61382.181
600984.SH,20191125,9.51,9.69,9.45,9.53,9.59,-0.06,-0.6257,102877.6,98413.398
600984.SH,20191122,9.75,9.85,9.51,9.59,9.7,-0.11,-1.134,76367.71,73896.97
600984.SH,20191121,9.96,9.98,9.67,9.7,9.87,-0.17,-1.7224,59408.8,58065.21
600984.SH,20191120,9.96,10.07,9.85,9.87,9.97,-0.1,-1.003,48905.43,48540.867
600984.SH,20191119,9.91,10.1,9.91,9.97,9.97,0.0,0.0,64517.87,64370.468
600984.SH,20191118,9.99,9.99,9.63,9.97,9.99,-0.02,-0.2002,67894.85,67057.565
600984.SH,20191115,9.85,10.08,9.8,9.99,9.91,0.08,0.8073,59710.04,59222.505
600984.SH,20191114,9.72,10.02,9.72,9.91,9.65,0.26,2.6943,85139.16,84234.461
600984.SH,20191113,9.77,10.09,9.65,9.65,9.7,-0.05,-0.5155,117861.19,116528.337
600984.SH,20191112,10.11,10.11,9.55,9.7,10.15,-0.45,-4.4335,130097.94,127024.301
600984.SH,20191111,10.14,10.18,10.0,10.15,10.15,0.0,0.0,46871.5,47272.48
600984.SH,20191108,10.16,10.29,10.11,10.15,10.18,-0.03,-0.2947,45799.82,46606.509
600984.SH,20191107,10.28,10.37,10.08,10.18,10.18,0.0,0.0,61960.2,63226.774
600984.SH,20191106,10.3,10.58,10.11,10.18,10.3,-0.12,-1.165,55235.3,57089.029
600984.SH,20191105,10.49,10.51,10.25,10.3,10.45,-0.15,-1.4354,61063.25,63366.621
600984.SH,20191104,10.02,10.52,10.0,10.45,9.98,0.47,4.7094,124843.35,128948.565
600984.SH,20191101,10.1,10.16,9.85,9.98,10.2,-0.22,-2.1569,72822.0,72943.438
600984.SH,20191031,10.56,10.56,10.0,10.2,10.55,-0.35,-3.3175,102940.38,105432.957
600984.SH,20191030,10.32,10.64,10.28,10.55,10.38,0.17,1.6378,119492.3,125714.842
600984.SH,20191029,10.21,10.48,9.99,10.38,10.13,0.25,2.4679,98447.99,101143.515
600984.SH,20191028,10.05,10.22,9.75,10.13,10.15,-0.02,-0.197,105986.07,105695.019
600984.SH,20191025,10.06,10.2,9.84,10.15,10.04,0.11,1.0956,72851.91,72934.099
600984.SH,20191024,10.06,10.26,9.9,10.04,10.06,-0.02,-0.1988,106238.99,106865.148
600984.SH,20191023,10.2,10.56,10.06,10.06,10.2,-0.14,-1.3725,83416.95,85857.181
600984.SH,20191022,10.43,10.43,9.98,10.2,10.28,-0.08,-0.7782,88492.24,89821.602
600984.SH,20191021,10.5,10.61,9.84,10.28,10.62,-0.34,-3.2015,125739.64,127584.994
600984.SH,20191018,10.71,10.99,10.45,10.62,10.68,-0.06,-0.5618,186974.93,199650.579
600984.SH,20191017,9.97,10.95,9.82,10.68,10.07,0.61,6.0576,243170.75,254271.393
600984.SH,20191016,10.46,10.99,9.94,10.07,10.43,-0.36,-3.4516,298168.77,308870.226
600984.SH,20191015,9.9,10.59,9.72,10.43,9.82,0.61,6.2118,216125.02,220200.21
600984.SH,20191014,9.6,9.99,9.6,9.82,9.76,0.06,0.6148,171950.32,169154.252
600984.SH,20191011,9.7,9.85,9.62,9.76,9.7,0.06,0.6186,127373.05,124091.51
600984.SH,20191010,9.61,9.95,9.54,9.7,9.7,0.0,0.0,138608.98,135153.199
600984.SH,20191009,9.1,9.88,9.01,9.7,9.07,0.63,6.946,160988.36,153160.394
600984.SH,20191008,9.02,9.33,8.98,9.07,9.0,0.07,0.7778,83913.96,76592.342
600984.SH,20190930,9.0,9.05,8.8,9.0,8.99,0.01,0.1112,48081.53,43023.814
600984.SH,20190927,8.78,9.05,8.75,8.99,8.76,0.23,2.6256,70340.8,62780.472
600984.SH,20190926,8.88,9.02,8.75,8.76,8.82,-0.06,-0.6803,57008.1,50518.399
600984.SH,20190925,8.81,9.05,8.8,8.82,8.87,-0.05,-0.5637,59311.7,52838.526
600984.SH,20190924,8.97,9.09,8.74,8.87,8.98,-0.11,-1.2249,87217.94,77620.015
600984.SH,20190923,8.66,9.06,8.56,8.98,8.75,0.23,2.6286,118589.41,104869.308
600984.SH,20190920,8.72,8.79,8.59,8.75,8.67,0.08,0.9227,105217.19,91576.179
600984.SH,20190919,8.44,8.73,8.36,8.67,8.43,0.24,2.847,98800.37,85049.39
600984.SH,20190918,8.36,8.48,8.35,8.43,8.38,0.05,0.5967,31811.8,26702.779
600984.SH,20190917,8.59,8.61,8.29,8.38,8.62,-0.24,-2.7842,56192.22,46998.515
600984.SH,20190916,8.71,8.75,8.46,8.62,8.7,-0.08,-0.9195,68444.62,58723.166
