ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300234.SZ,20200110,11.1,11.28,10.93,11.17,11.13,0.04,0.3594,36806.96,40893.165
300234.SZ,20200109,10.87,11.35,10.81,11.13,10.8,0.33,3.0556,53534.48,59516.28
300234.SZ,20200108,11.3,11.3,10.67,10.8,11.28,-0.48,-4.2553,60736.9,66485.13
300234.SZ,20200107,11.32,11.38,11.17,11.28,11.31,-0.03,-0.2653,35181.56,39610.695
300234.SZ,20200106,11.25,11.38,11.06,11.31,11.17,0.14,1.2534,39174.07,44162.707
300234.SZ,20200103,11.18,11.28,11.02,11.17,11.19,-0.02,-0.1787,36108.76,40222.956
300234.SZ,20200102,11.49,11.49,11.05,11.19,11.26,-0.07,-0.6217,39560.0,44407.124
300234.SZ,20191231,11.13,11.37,11.1,11.26,11.25,0.01,0.0889,27623.66,30948.774
300234.SZ,20191230,11.15,11.45,11.0,11.25,11.19,0.06,0.5362,42590.24,47966.371
300234.SZ,20191227,11.57,11.75,11.19,11.19,11.46,-0.27,-2.356,59773.0,68255.128
300234.SZ,20191226,11.58,11.6,11.32,11.46,11.48,-0.02,-0.1742,38746.69,44404.734
300234.SZ,20191225,11.75,11.75,11.14,11.48,11.5,-0.02,-0.1739,49776.97,56745.592
300234.SZ,20191224,11.36,11.59,11.04,11.5,11.53,-0.03,-0.2602,61635.99,70354.922
300234.SZ,20191223,11.4,12.04,11.37,11.53,11.62,-0.09,-0.7745,110054.67,128033.128
300234.SZ,20191220,11.0,11.77,10.58,11.62,11.21,0.41,3.6574,150454.32,171419.324
300234.SZ,20191219,10.55,11.21,10.55,11.21,10.19,1.02,10.0098,121379.14,135351.034
300234.SZ,20191218,10.11,10.2,10.07,10.19,10.11,0.08,0.7913,30100.0,30558.478
300234.SZ,20191217,10.15,10.21,9.98,10.11,10.12,-0.01,-0.0988,52327.87,52745.516
300234.SZ,20191216,10.6,10.6,10.09,10.12,10.36,-0.24,-2.3166,57479.6,58432.161
300234.SZ,20191213,10.24,10.58,10.24,10.36,10.22,0.14,1.3699,56017.18,58569.122
300234.SZ,20191212,10.0,10.26,9.87,10.22,9.87,0.35,3.5461,39229.4,39617.866
300234.SZ,20191211,9.66,9.98,9.64,9.87,9.74,0.13,1.3347,37820.4,37192.434
300234.SZ,20191210,9.5,9.83,9.4,9.74,9.49,0.25,2.6344,33845.77,32726.984
300234.SZ,20191209,9.25,9.54,9.17,9.49,9.21,0.28,3.0402,29883.85,28169.239
300234.SZ,20191206,9.15,9.25,9.11,9.21,9.15,0.06,0.6557,12273.28,11274.471
300234.SZ,20191205,9.11,9.19,9.08,9.15,9.11,0.04,0.4391,11742.0,10723.996
300234.SZ,20191204,9.21,9.25,9.09,9.11,9.21,-0.1,-1.0858,9579.0,8766.954
300234.SZ,20191203,9.2,9.21,9.14,9.21,9.18,0.03,0.3268,7710.0,7085.196
300234.SZ,20191202,9.19,9.31,9.16,9.18,9.18,0.0,0.0,10094.0,9295.63
300234.SZ,20191129,9.07,9.23,9.03,9.18,9.07,0.11,1.2128,14264.0,13077.273
300234.SZ,20191128,9.16,9.16,9.02,9.07,9.03,0.04,0.443,10004.84,9084.454
300234.SZ,20191127,9.09,9.09,8.97,9.03,9.11,-0.08,-0.8782,16484.0,14872.39
300234.SZ,20191126,9.15,9.34,9.0,9.11,9.14,-0.03,-0.3282,18490.0,16873.342
300234.SZ,20191125,9.4,9.4,9.05,9.14,9.37,-0.23,-2.4546,20028.96,18285.822
300234.SZ,20191122,9.35,9.49,9.22,9.37,9.35,0.02,0.2139,17541.0,16409.709
300234.SZ,20191121,9.4,9.5,9.28,9.35,9.34,0.01,0.1071,14076.69,13182.156
300234.SZ,20191120,9.53,9.58,9.31,9.34,9.5,-0.16,-1.6842,11875.0,11188.516
300234.SZ,20191119,9.16,9.53,9.16,9.5,9.17,0.33,3.5987,17624.0,16551.556
300234.SZ,20191118,9.25,9.26,9.03,9.17,9.16,0.01,0.1092,13442.0,12290.352
300234.SZ,20191115,9.3,9.46,9.1,9.16,9.39,-0.23,-2.4494,14580.0,13522.379
300234.SZ,20191114,9.35,9.52,9.35,9.39,9.43,-0.04,-0.4242,14245.0,13414.003
300234.SZ,20191113,9.58,9.62,9.42,9.43,9.53,-0.1,-1.0493,10799.0,10264.11
300234.SZ,20191112,9.68,9.68,9.46,9.53,9.61,-0.08,-0.8325,20378.0,19488.863
300234.SZ,20191111,10.12,10.12,9.52,9.61,10.12,-0.51,-5.0395,37724.78,36889.397
300234.SZ,20191108,10.33,10.38,10.12,10.12,10.22,-0.1,-0.9785,16167.0,16484.139
300234.SZ,20191107,10.21,10.38,10.16,10.22,10.21,0.01,0.0979,13470.0,13814.754
300234.SZ,20191106,10.48,10.53,10.15,10.21,10.46,-0.25,-2.3901,24920.0,25534.086
300234.SZ,20191105,10.62,10.74,10.43,10.46,10.65,-0.19,-1.784,18859.46,19869.375
300234.SZ,20191104,10.47,10.73,10.47,10.65,10.46,0.19,1.8164,20912.0,22246.208
300234.SZ,20191101,10.18,10.52,10.18,10.46,10.18,0.28,2.7505,12491.0,12999.818
300234.SZ,20191031,10.32,10.47,10.17,10.18,10.38,-0.2,-1.9268,18806.17,19262.172
300234.SZ,20191030,10.49,10.56,10.3,10.38,10.5,-0.12,-1.1429,20371.6,21156.935
300234.SZ,20191029,10.62,10.94,10.45,10.5,10.71,-0.21,-1.9608,29725.96,31842.931
300234.SZ,20191028,10.75,10.75,10.44,10.71,10.4,0.31,2.9808,28926.0,30868.812
300234.SZ,20191025,10.29,10.42,10.16,10.4,10.29,0.11,1.069,15678.77,16143.19
300234.SZ,20191024,10.32,10.38,10.15,10.29,10.26,0.03,0.2924,17455.23,17925.337
300234.SZ,20191023,10.62,10.75,10.23,10.26,10.62,-0.36,-3.3898,28157.0,29319.702
300234.SZ,20191022,10.45,10.87,10.45,10.62,10.55,0.07,0.6635,34029.0,36465.886
300234.SZ,20191021,10.9,10.9,10.3,10.55,10.69,-0.14,-1.3096,26518.92,27838.677
