ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603598.SH,20200110,22.49,22.7,20.75,20.76,23.06,-2.3,-9.974,351613.98,747661.398
603598.SH,20200109,22.12,23.6,21.13,23.06,22.1,0.96,4.3439,410178.35,920292.874
603598.SH,20200108,21.37,22.98,21.35,22.1,21.9,0.2,0.9132,350955.85,777628.423
603598.SH,20200107,22.78,24.68,21.11,21.9,22.62,-0.72,-3.183,458421.93,1044239.701
603598.SH,20200106,20.24,22.62,20.0,22.62,20.56,2.06,10.0195,419127.06,908260.648
603598.SH,20200103,20.56,20.56,19.75,20.56,18.69,1.87,10.0054,372824.81,762419.434
603598.SH,20200102,18.69,18.69,18.65,18.69,16.99,1.7,10.0059,108645.62,203057.45
603598.SH,20191231,14.12,16.99,14.12,16.99,15.69,1.3,8.2855,428274.61,659428.972
603598.SH,20191230,15.48,15.69,14.52,15.69,14.26,1.43,10.0281,468944.82,725200.455
603598.SH,20191227,14.26,14.26,14.26,14.26,12.96,1.3,10.0309,20304.0,28953.504
603598.SH,20191226,12.96,12.96,12.96,12.96,11.78,1.18,10.017,83549.13,108279.672
603598.SH,20191225,11.78,11.78,11.78,11.78,10.71,1.07,9.9907,27811.94,32762.465
603598.SH,20191224,9.64,10.71,9.25,10.71,9.74,0.97,9.9589,182024.43,180030.236
603598.SH,20191223,10.3,10.48,9.6,9.74,10.14,-0.4,-3.9448,210097.0,210175.714
603598.SH,20191220,9.66,10.14,9.53,10.14,9.22,0.92,9.9783,135239.6,135800.224
603598.SH,20191219,8.48,9.22,8.35,9.22,8.38,0.84,10.0239,124185.91,110458.909
603598.SH,20191218,8.26,8.55,8.18,8.38,8.24,0.14,1.699,46733.0,39237.408
603598.SH,20191217,8.16,8.32,8.12,8.24,8.15,0.09,1.1043,31428.6,25897.636
603598.SH,20191216,8.07,8.17,8.02,8.15,8.06,0.09,1.1166,22884.0,18592.594
603598.SH,20191213,8.04,8.13,8.0,8.06,8.03,0.03,0.3736,18450.0,14842.017
603598.SH,20191212,8.17,8.18,8.0,8.03,8.17,-0.14,-1.7136,31488.6,25430.566
