ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300740.SZ,20200110,11.0,11.3,10.45,10.46,10.78,-0.32,-2.9685,294325.2,319002.94
300740.SZ,20200109,9.98,10.78,9.94,10.78,9.8,0.98,10.0,139186.2,147308.872
300740.SZ,20200108,9.89,10.14,9.76,9.8,10.25,-0.45,-4.3902,140817.82,139692.051
300740.SZ,20200107,10.2,10.68,10.05,10.25,10.28,-0.03,-0.2918,288157.32,298270.136
300740.SZ,20200106,9.53,10.3,9.12,10.28,9.9,0.38,3.8384,342442.54,333322.822
300740.SZ,20200103,10.16,10.18,9.55,9.9,10.17,-0.27,-2.6549,319562.42,316046.399
300740.SZ,20200102,9.5,10.44,9.5,10.17,9.49,0.68,7.1654,425328.94,430251.682
300740.SZ,20191231,9.25,9.79,9.1,9.49,9.55,-0.06,-0.6283,147402.59,138684.851
300740.SZ,20191230,9.84,10.45,9.5,9.55,9.75,-0.2,-2.0513,291756.4,291790.835
300740.SZ,20191227,8.92,9.75,8.8,9.75,8.86,0.89,10.0451,79767.86,75689.328
300740.SZ,20191226,8.63,8.88,8.55,8.86,8.6,0.26,3.0233,75368.87,65489.993
300740.SZ,20191225,8.77,8.85,8.5,8.6,8.77,-0.17,-1.9384,53988.65,46677.679
300740.SZ,20191224,8.88,8.88,8.67,8.77,8.82,-0.05,-0.5669,40476.75,35430.422
300740.SZ,20191223,9.21,9.28,8.8,8.82,9.09,-0.27,-2.9703,53699.66,48339.553
300740.SZ,20191220,9.26,9.59,9.05,9.09,9.28,-0.19,-2.0474,112825.25,106144.228
300740.SZ,20191219,8.7,9.45,8.7,9.28,8.72,0.56,6.422,92369.29,84288.91
300740.SZ,20191218,8.5,8.87,8.48,8.72,8.53,0.19,2.2274,43591.48,37904.241
300740.SZ,20191217,8.49,8.65,8.44,8.53,8.48,0.05,0.5896,32995.85,28189.152
300740.SZ,20191216,8.34,8.54,8.26,8.48,8.35,0.13,1.5569,31894.1,26922.299
300740.SZ,20191213,8.25,8.38,8.25,8.35,8.22,0.13,1.5815,23480.32,19531.723
300740.SZ,20191212,8.29,8.36,8.18,8.22,8.22,0.0,0.0,26744.95,22135.24
300740.SZ,20191211,8.32,8.36,8.2,8.22,8.36,-0.14,-1.6746,25893.0,21359.441
300740.SZ,20191210,8.25,8.43,8.21,8.36,8.24,0.12,1.4563,40983.65,34080.164
300740.SZ,20191209,8.27,8.35,8.2,8.24,8.27,-0.03,-0.3628,28780.35,23795.646
300740.SZ,20191206,8.12,8.38,8.08,8.27,8.14,0.13,1.5971,48411.57,40045.401
300740.SZ,20191205,7.95,8.25,7.95,8.14,7.98,0.16,2.005,50492.6,40995.053
300740.SZ,20191204,7.84,7.99,7.83,7.98,7.91,0.07,0.885,30794.15,24412.312
300740.SZ,20191203,7.84,7.92,7.69,7.91,7.82,0.09,1.1509,21810.5,17059.025
300740.SZ,20191202,7.86,7.89,7.78,7.82,7.78,0.04,0.5141,21382.55,16725.243
300740.SZ,20191129,7.73,7.82,7.63,7.78,7.68,0.1,1.3021,28753.65,22245.298
300740.SZ,20191128,7.81,7.92,7.68,7.68,7.82,-0.14,-1.7903,27505.5,21378.326
300740.SZ,20191127,7.73,7.95,7.73,7.82,7.88,-0.06,-0.7614,34904.17,27365.911
300740.SZ,20191126,8.05,8.08,7.81,7.88,8.02,-0.14,-1.7456,45156.45,35584.765
300740.SZ,20191125,7.98,8.15,7.92,8.02,7.99,0.03,0.3755,36002.15,28981.02
300740.SZ,20191122,8.25,8.33,7.98,7.99,8.27,-0.28,-3.3857,60301.99,49029.77
300740.SZ,20191121,8.2,8.33,8.16,8.27,8.28,-0.01,-0.1208,31527.15,25955.934
300740.SZ,20191120,8.24,8.39,8.23,8.28,8.4,-0.12,-1.4286,47661.43,39475.443
300740.SZ,20191119,8.39,8.44,8.29,8.4,8.28,0.12,1.4493,47507.08,39790.04
300740.SZ,20191118,8.3,8.44,8.23,8.28,8.35,-0.07,-0.8383,43635.5,36254.829
300740.SZ,20191115,8.26,8.54,8.26,8.35,8.29,0.06,0.7238,43989.52,37011.653
300740.SZ,20191114,8.31,8.53,8.22,8.29,8.24,0.05,0.6068,56525.9,47324.25
300740.SZ,20191113,8.5,8.5,8.15,8.24,8.54,-0.3,-3.5129,65828.04,54733.692
300740.SZ,20191112,8.88,8.93,8.22,8.54,8.84,-0.3,-3.3937,80756.65,68444.935
300740.SZ,20191111,9.3,9.3,8.83,8.84,9.38,-0.54,-5.7569,67670.47,61223.492
300740.SZ,20191108,9.31,9.44,9.17,9.38,9.2,0.18,1.9565,77333.64,71955.069
300740.SZ,20191107,9.31,9.31,9.07,9.2,9.37,-0.17,-1.8143,69412.54,63604.085
300740.SZ,20191106,9.25,9.69,9.14,9.37,9.32,0.05,0.5365,94995.0,89126.866
300740.SZ,20191105,9.46,9.51,9.25,9.32,9.43,-0.11,-1.1665,59257.49,55325.952
300740.SZ,20191104,9.19,9.58,9.18,9.43,9.13,0.3,3.2859,115317.09,108321.807
300740.SZ,20191101,9.12,9.28,9.06,9.13,9.3,-0.17,-1.828,88058.6,80723.577
300740.SZ,20191031,9.6,10.15,9.23,9.3,9.69,-0.39,-4.0248,133784.19,128523.211
300740.SZ,20191030,10.06,10.3,9.38,9.69,10.22,-0.53,-5.1859,127429.65,125325.943
300740.SZ,20191029,10.48,10.81,10.19,10.22,10.49,-0.27,-2.5739,149671.25,156067.573
300740.SZ,20191028,10.0,10.73,9.72,10.49,10.07,0.42,4.1708,236935.17,244103.785
300740.SZ,20191025,10.36,10.48,9.86,10.07,10.95,-0.88,-8.0365,262577.67,264389.052
300740.SZ,20191024,10.49,11.43,10.49,10.95,10.74,0.21,1.9553,295903.85,327943.489
300740.SZ,20191023,11.6,11.8,10.69,10.74,11.24,-0.5,-4.4484,386696.14,438722.409
300740.SZ,20191022,10.41,11.24,10.12,11.24,10.22,1.02,9.9804,347353.62,376138.901
300740.SZ,20191021,9.25,10.22,9.11,10.22,9.29,0.93,10.0108,189780.31,188576.725
300740.SZ,20191018,9.12,9.29,9.08,9.29,9.12,0.17,1.864,41885.11,38462.155
