ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002177.SZ,20200110,5.94,6.18,5.82,6.02,5.88,0.14,2.381,557464.95,333159.446
002177.SZ,20200109,5.84,5.99,5.84,5.88,5.78,0.1,1.7301,366893.82,217056.206
002177.SZ,20200108,6.02,6.05,5.77,5.78,6.01,-0.23,-3.827,466916.17,274625.902
002177.SZ,20200107,5.86,6.07,5.83,6.01,5.86,0.15,2.5597,552483.35,329202.78
002177.SZ,20200106,5.82,5.93,5.77,5.86,5.91,-0.05,-0.846,484569.47,283456.463
002177.SZ,20200103,5.66,5.96,5.61,5.91,5.63,0.28,4.9734,625687.92,362262.627
002177.SZ,20200102,5.56,5.68,5.51,5.63,5.51,0.12,2.1779,295763.63,165846.687
002177.SZ,20191231,5.51,5.58,5.48,5.51,5.53,-0.02,-0.3617,137611.68,76032.518
002177.SZ,20191230,5.45,5.54,5.35,5.53,5.47,0.06,1.0969,151341.38,82378.578
002177.SZ,20191227,5.58,5.63,5.46,5.47,5.58,-0.11,-1.9713,153145.03,84915.411
002177.SZ,20191226,5.53,5.58,5.45,5.58,5.55,0.03,0.5405,153826.07,84836.824
002177.SZ,20191225,5.38,5.67,5.36,5.55,5.41,0.14,2.5878,248518.23,137761.801
002177.SZ,20191224,5.38,5.42,5.33,5.41,5.34,0.07,1.3109,121018.0,65118.229
002177.SZ,20191223,5.57,5.57,5.33,5.34,5.55,-0.21,-3.7838,187541.0,102152.284
002177.SZ,20191220,5.72,5.74,5.55,5.55,5.73,-0.18,-3.1414,213974.32,120779.659
002177.SZ,20191219,5.7,5.78,5.64,5.73,5.67,0.06,1.0582,248355.05,141606.313
002177.SZ,20191218,5.69,5.74,5.66,5.67,5.71,-0.04,-0.7005,249385.01,142075.451
002177.SZ,20191217,5.65,5.76,5.61,5.71,5.64,0.07,1.2411,351820.25,199939.874
002177.SZ,20191216,5.59,5.64,5.55,5.64,5.6,0.04,0.7143,287505.86,161036.054
002177.SZ,20191213,5.53,5.64,5.48,5.6,5.48,0.12,2.1898,277213.04,154414.616
002177.SZ,20191212,5.56,5.57,5.45,5.48,5.52,-0.04,-0.7246,153477.53,84249.972
002177.SZ,20191211,5.49,5.62,5.47,5.52,5.51,0.01,0.1815,200560.06,111211.05
002177.SZ,20191210,5.51,5.53,5.42,5.51,5.56,-0.05,-0.8993,189178.34,103800.49
002177.SZ,20191209,5.46,5.61,5.41,5.56,5.43,0.13,2.3941,245184.05,135413.862
002177.SZ,20191206,5.4,5.46,5.38,5.43,5.42,0.01,0.1845,131160.0,71056.258
002177.SZ,20191205,5.36,5.43,5.36,5.42,5.34,0.08,1.4981,165290.46,89247.995
