ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603701.SH,20200110,13.88,14.06,13.5,13.68,14.02,-0.34,-2.4251,73196.09,100800.17
603701.SH,20200109,13.9,14.2,13.65,14.02,13.81,0.21,1.5206,103046.35,143804.127
603701.SH,20200108,13.6,14.08,13.59,13.81,13.64,0.17,1.2463,136209.14,189518.622
603701.SH,20200107,13.56,13.84,13.46,13.64,13.69,-0.05,-0.3652,83092.59,113189.851
603701.SH,20200106,13.0,13.8,12.88,13.69,13.13,0.56,4.265,103804.35,139348.301
603701.SH,20200103,13.2,13.4,13.02,13.13,13.05,0.08,0.613,61138.22,80681.747
603701.SH,20200102,12.98,13.16,12.8,13.05,12.8,0.25,1.9531,48622.52,63189.743
603701.SH,20191231,12.76,12.94,12.67,12.8,12.82,-0.02,-0.156,41352.16,52950.99
603701.SH,20191230,13.1,13.15,12.5,12.82,13.29,-0.47,-3.5365,76373.82,97427.729
603701.SH,20191227,13.38,13.77,13.27,13.29,13.37,-0.08,-0.5984,87209.03,117630.169
603701.SH,20191226,13.12,13.43,13.12,13.37,13.26,0.11,0.8296,51606.61,68547.067
603701.SH,20191225,13.3,13.68,13.22,13.26,13.38,-0.12,-0.8969,68811.22,92230.101
603701.SH,20191224,13.05,13.4,12.9,13.38,12.94,0.44,3.4003,74194.77,98181.739
603701.SH,20191223,13.3,13.35,12.83,12.94,13.39,-0.45,-3.3607,71016.12,92962.349
603701.SH,20191220,14.06,14.27,13.32,13.39,14.07,-0.68,-4.833,112918.59,155033.307
603701.SH,20191219,14.35,14.49,14.05,14.07,14.54,-0.47,-3.2325,136621.9,195081.651
603701.SH,20191218,14.06,14.7,13.76,14.54,14.13,0.41,2.9016,208528.38,295996.304
603701.SH,20191217,13.94,14.25,13.76,14.13,14.02,0.11,0.7846,165761.49,232300.89
603701.SH,20191216,13.64,14.02,13.5,14.02,13.71,0.31,2.2611,163675.29,225837.99
603701.SH,20191213,13.26,14.0,13.25,13.71,13.66,0.05,0.366,155827.43,213446.194
603701.SH,20191212,13.7,14.13,13.58,13.66,13.57,0.09,0.6632,154847.84,214033.85
603701.SH,20191211,13.87,13.95,13.57,13.57,14.18,-0.61,-4.3018,170399.66,233813.864
603701.SH,20191210,13.3,14.5,13.17,14.18,13.48,0.7,5.1929,290485.72,404395.207
603701.SH,20191209,12.97,13.67,12.89,13.48,13.05,0.43,3.295,223397.03,297481.672
603701.SH,20191206,13.73,13.79,12.91,13.05,13.79,-0.74,-5.3662,235755.11,312959.452
603701.SH,20191205,13.26,14.59,13.15,13.79,13.55,0.24,1.7712,331941.43,449463.673
603701.SH,20191204,12.94,13.55,12.68,13.55,12.32,1.23,9.9838,289550.07,380633.726
603701.SH,20191203,11.2,12.32,11.2,12.32,11.2,1.12,10.0,71978.48,86231.733
603701.SH,20191202,11.43,11.43,11.12,11.2,11.37,-0.17,-1.4952,40432.52,45442.15
603701.SH,20191129,11.69,11.72,11.15,11.37,11.81,-0.44,-3.7257,69315.01,78799.285
603701.SH,20191128,11.7,11.97,11.56,11.81,11.6,0.21,1.8103,70745.31,83517.207
603701.SH,20191127,11.91,11.98,11.52,11.6,11.91,-0.31,-2.6029,66762.33,77831.207
603701.SH,20191126,11.9,12.19,11.81,11.91,11.94,-0.03,-0.2513,56670.5,67916.751
603701.SH,20191125,12.32,12.43,11.8,11.94,12.32,-0.38,-3.0844,85671.97,103110.085
603701.SH,20191122,12.86,13.12,12.3,12.32,12.85,-0.53,-4.1245,125403.33,158045.1
603701.SH,20191121,13.12,13.44,12.68,12.85,13.49,-0.64,-4.7443,146045.31,189791.793
603701.SH,20191120,12.58,14.0,12.58,13.49,12.83,0.66,5.1442,212287.33,281254.656
603701.SH,20191119,12.46,12.83,12.22,12.83,12.5,0.33,2.64,151678.46,189871.357
603701.SH,20191118,12.27,13.0,12.08,12.5,11.89,0.61,5.1304,212553.78,265405.25
603701.SH,20191115,10.85,11.89,10.85,11.89,10.81,1.08,9.9907,64438.28,74889.785
603701.SH,20191114,10.76,10.93,10.65,10.81,10.72,0.09,0.8396,26990.64,29173.982
603701.SH,20191113,10.84,10.84,10.57,10.72,10.84,-0.12,-1.107,28576.46,30523.073
603701.SH,20191112,11.06,11.06,10.58,10.84,11.16,-0.32,-2.8674,47115.14,50950.954
603701.SH,20191111,11.2,11.6,11.09,11.16,11.26,-0.1,-0.8881,63835.51,72302.287
603701.SH,20191108,11.19,11.39,11.05,11.26,11.18,0.08,0.7156,45867.29,51434.14
603701.SH,20191107,11.08,11.2,10.9,11.18,11.08,0.1,0.9025,32008.12,35355.876
603701.SH,20191106,11.15,11.46,11.04,11.08,11.12,-0.04,-0.3597,43332.0,48461.266
603701.SH,20191105,11.26,11.3,10.9,11.12,11.2,-0.08,-0.7143,29235.48,32479.141
603701.SH,20191104,11.2,11.38,11.03,11.2,11.19,0.01,0.0894,35862.48,40230.342
