ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603801.SH,20200110,24.5,25.67,24.18,24.95,24.37,0.58,2.38,27726.13,69248.216
603801.SH,20200109,24.05,24.5,23.7,24.37,23.86,0.51,2.1375,19697.4,47714.078
603801.SH,20200108,24.2,24.45,23.5,23.86,24.27,-0.41,-1.6893,28506.85,68362.891
603801.SH,20200107,23.5,24.66,23.44,24.27,23.62,0.65,2.7519,26629.54,64309.955
603801.SH,20200106,23.78,24.39,23.36,23.62,24.07,-0.45,-1.8695,30029.52,71366.616
603801.SH,20200103,23.8,24.77,23.32,24.07,23.85,0.22,0.9224,38799.25,93374.62
603801.SH,20200102,22.99,23.98,22.73,23.85,23.29,0.56,2.4045,59867.45,139492.726
603801.SH,20191231,22.68,23.58,22.15,23.29,22.68,0.61,2.6896,42282.5,95871.502
603801.SH,20191230,21.71,22.8,21.7,22.68,22.09,0.59,2.6709,41861.16,93387.36
603801.SH,20191227,21.55,22.64,21.44,22.09,21.45,0.64,2.9837,48562.98,107132.903
603801.SH,20191226,21.22,21.81,21.19,21.45,21.37,0.08,0.3744,23140.16,49836.56
603801.SH,20191225,21.9,22.12,21.25,21.37,21.77,-0.4,-1.8374,18776.31,40529.517
603801.SH,20191224,21.32,21.88,20.9,21.77,21.52,0.25,1.1617,20718.12,44821.666
603801.SH,20191223,21.2,21.92,21.16,21.52,21.25,0.27,1.2706,36176.67,78055.074
603801.SH,20191220,21.68,21.68,21.16,21.25,21.3,-0.05,-0.2347,31664.36,67816.295
603801.SH,20191219,21.13,21.48,21.01,21.3,20.96,0.34,1.6221,30601.11,65158.979
603801.SH,20191218,20.78,21.45,20.67,20.96,20.76,0.2,0.9634,48672.69,102610.46
603801.SH,20191217,19.97,20.86,19.81,20.76,20.06,0.7,3.4895,41082.57,83826.328
603801.SH,20191216,19.61,20.09,19.43,20.06,19.59,0.47,2.3992,26997.28,53398.202
603801.SH,20191213,19.52,19.8,19.4,19.59,19.19,0.4,2.0844,19083.96,37410.127
603801.SH,20191212,19.4,19.5,19.13,19.19,19.37,-0.18,-0.9293,13180.58,25487.597
603801.SH,20191211,19.38,19.6,19.26,19.37,19.41,-0.04,-0.2061,11043.76,21463.371
603801.SH,20191210,19.51,19.54,19.28,19.41,19.44,-0.03,-0.1543,10625.79,20609.499
603801.SH,20191209,19.12,19.66,19.04,19.44,19.03,0.41,2.1545,18437.15,35681.765
603801.SH,20191206,18.95,19.11,18.76,19.03,18.8,0.23,1.2234,13490.8,25507.751
603801.SH,20191205,18.9,18.91,18.66,18.8,18.65,0.15,0.8043,13181.2,24782.981
603801.SH,20191204,18.79,18.95,18.63,18.65,18.9,-0.25,-1.3228,7635.07,14310.769
603801.SH,20191203,18.7,18.96,18.55,18.9,18.85,0.05,0.2653,10482.93,19666.544
603801.SH,20191202,18.52,18.94,18.48,18.85,18.48,0.37,2.0022,15145.6,28428.172
603801.SH,20191129,18.39,18.72,18.22,18.48,18.65,-0.17,-0.9115,16993.41,31375.268
603801.SH,20191128,19.15,19.15,18.6,18.65,19.14,-0.49,-2.5601,19710.77,37054.871
603801.SH,20191127,19.35,19.45,19.11,19.14,19.33,-0.19,-0.9829,13228.91,25415.786
603801.SH,20191126,19.42,19.51,19.13,19.33,19.25,0.08,0.4156,11242.56,21721.036
603801.SH,20191125,19.64,19.64,19.0,19.25,19.6,-0.35,-1.7857,14167.14,27295.309
603801.SH,20191122,19.81,20.07,19.38,19.6,19.81,-0.21,-1.0601,17959.49,35305.826
603801.SH,20191121,19.78,19.81,19.46,19.81,19.78,0.03,0.1517,10705.63,21071.073
603801.SH,20191120,20.23,20.46,19.66,19.78,20.32,-0.54,-2.6575,26124.93,52192.325
603801.SH,20191119,19.9,20.48,19.82,20.32,19.93,0.39,1.9568,22770.76,46109.108
603801.SH,20191118,19.58,19.98,19.2,19.93,19.5,0.43,2.2051,26634.94,52574.37
603801.SH,20191115,20.08,20.15,19.45,19.5,20.08,-0.58,-2.8884,30315.11,59777.397
603801.SH,20191114,20.3,20.35,20.02,20.08,20.15,-0.07,-0.3474,28562.85,57527.682
603801.SH,20191113,20.25,20.67,20.0,20.15,20.41,-0.26,-1.2739,28767.6,58390.656
603801.SH,20191112,20.71,20.99,20.3,20.41,20.99,-0.58,-2.7632,47394.72,97290.494
603801.SH,20191111,21.81,21.81,20.53,20.99,22.13,-1.14,-5.1514,55635.41,117550.913
603801.SH,20191108,21.5,22.29,21.5,22.13,21.73,0.4,1.8408,63209.94,138661.222
603801.SH,20191107,21.44,22.4,21.32,21.73,21.7,0.03,0.1382,69122.74,150672.004
