ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002947.SZ,20200110,62.06,62.9,61.5,61.75,62.06,-0.31,-0.4995,10393.42,64498.723
002947.SZ,20200109,61.79,62.82,61.65,62.06,61.0,1.06,1.7377,11762.08,72994.174
002947.SZ,20200108,62.5,63.5,60.79,61.0,63.3,-2.3,-3.6335,16253.41,100747.505
002947.SZ,20200107,62.99,63.89,62.53,63.3,63.02,0.28,0.4443,14258.0,90056.338
002947.SZ,20200106,62.9,64.0,62.35,63.02,63.79,-0.77,-1.2071,16674.0,105016.998
002947.SZ,20200103,66.2,66.2,63.21,63.79,65.95,-2.16,-3.2752,19365.91,124544.762
002947.SZ,20200102,64.76,66.58,64.04,65.95,64.76,1.19,1.8376,21796.82,142738.399
002947.SZ,20191231,63.98,65.88,63.31,64.76,63.6,1.16,1.8239,19751.02,128081.211
002947.SZ,20191230,64.4,64.46,59.51,63.6,64.95,-1.35,-2.0785,28889.73,182150.14
002947.SZ,20191227,66.89,66.9,64.88,64.95,66.36,-1.41,-2.1248,21151.95,138956.555
002947.SZ,20191226,63.41,67.0,63.39,66.36,63.4,2.96,4.6688,30484.11,200213.59
002947.SZ,20191225,61.0,65.2,60.51,63.4,61.44,1.96,3.1901,23216.37,146304.51
002947.SZ,20191224,58.87,61.5,58.87,61.44,58.88,2.56,4.3478,20646.12,125503.48
002947.SZ,20191223,57.55,60.39,56.05,58.88,57.5,1.38,2.4,25228.39,149004.495
002947.SZ,20191220,60.28,60.28,57.5,57.5,59.9,-2.4,-4.0067,21315.58,124930.528
002947.SZ,20191219,61.38,61.38,59.05,59.9,61.46,-1.56,-2.5382,17513.32,105034.941
002947.SZ,20191218,61.29,61.51,60.0,61.46,60.78,0.68,1.1188,18042.52,109949.508
002947.SZ,20191217,61.42,62.49,60.54,60.78,61.56,-0.78,-1.2671,25726.1,157667.289
002947.SZ,20191216,59.0,62.0,58.01,61.56,58.33,3.23,5.5375,30819.23,185545.814
002947.SZ,20191213,58.43,59.89,58.08,58.33,58.05,0.28,0.4823,27349.27,161050.587
002947.SZ,20191212,58.48,59.48,57.27,58.05,58.3,-0.25,-0.4288,23314.21,136793.12
002947.SZ,20191211,58.1,60.86,58.0,58.3,57.8,0.5,0.8651,38818.23,230125.366
002947.SZ,20191210,54.4,58.77,54.0,57.8,54.8,3.0,5.4745,30925.36,173770.161
002947.SZ,20191209,55.6,56.04,54.3,54.8,55.18,-0.38,-0.6887,17633.63,96816.646
002947.SZ,20191206,54.69,55.55,53.88,55.18,54.77,0.41,0.7486,22971.08,126174.008
002947.SZ,20191205,53.25,55.44,52.25,54.77,53.12,1.65,3.1062,32490.65,175215.936
002947.SZ,20191204,53.24,54.47,53.11,53.12,53.66,-0.54,-1.0063,16744.55,89915.44
002947.SZ,20191203,53.36,53.88,53.29,53.66,53.83,-0.17,-0.3158,10419.46,55802.56
002947.SZ,20191202,53.7,54.27,53.23,53.83,53.71,0.12,0.2234,14802.2,79519.828
