ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300314.SZ,20200110,9.65,9.67,9.5,9.52,9.58,-0.06,-0.6263,23214.9,22209.519
300314.SZ,20200109,9.47,9.68,9.47,9.58,9.47,0.11,1.1616,31494.04,30065.499
300314.SZ,20200108,9.62,9.73,9.45,9.47,9.73,-0.26,-2.6721,29099.8,27853.843
300314.SZ,20200107,9.4,9.83,9.36,9.73,9.44,0.29,3.072,43222.54,41610.689
300314.SZ,20200106,9.4,9.53,9.32,9.44,9.5,-0.06,-0.6316,33439.24,31501.352
300314.SZ,20200103,9.49,9.6,9.37,9.5,9.47,0.03,0.3168,31565.14,29923.297
300314.SZ,20200102,9.37,9.57,9.31,9.47,9.35,0.12,1.2834,45078.89,42777.676
300314.SZ,20191231,9.25,9.45,9.2,9.35,9.27,0.08,0.863,34365.26,32081.082
300314.SZ,20191230,9.22,9.28,9.03,9.27,9.28,-0.01,-0.1078,26620.21,24406.193
300314.SZ,20191227,9.27,9.45,9.14,9.28,9.27,0.01,0.1079,33090.45,30651.338
300314.SZ,20191226,9.32,9.4,9.12,9.27,9.33,-0.06,-0.6431,36079.37,33264.113
300314.SZ,20191225,9.52,9.52,9.2,9.33,9.44,-0.11,-1.1653,41035.42,38193.481
300314.SZ,20191224,8.91,9.48,8.91,9.44,8.98,0.46,5.1225,70585.96,65471.145
300314.SZ,20191223,8.87,9.24,8.87,8.98,8.93,0.05,0.5599,45685.51,41475.19
300314.SZ,20191220,9.19,9.35,8.9,8.93,9.19,-0.26,-2.8292,38688.57,35389.486
300314.SZ,20191219,9.02,9.23,8.93,9.19,8.98,0.21,2.3385,37865.74,34574.539
300314.SZ,20191218,8.96,9.05,8.89,8.98,8.96,0.02,0.2232,31234.25,28058.683
300314.SZ,20191217,8.8,9.0,8.8,8.96,8.86,0.1,1.1287,38325.06,34174.846
300314.SZ,20191216,8.85,8.86,8.72,8.86,8.82,0.04,0.4535,31739.89,27866.335
300314.SZ,20191213,8.8,8.88,8.7,8.82,8.74,0.08,0.9153,24243.21,21296.257
300314.SZ,20191212,8.8,8.85,8.73,8.74,8.89,-0.15,-1.6873,27201.28,23861.209
300314.SZ,20191211,8.71,9.04,8.56,8.89,8.79,0.1,1.1377,77873.62,68468.702
300314.SZ,20191210,8.7,9.09,8.58,8.79,8.67,0.12,1.3841,42260.04,37319.473
300314.SZ,20191209,8.6,8.73,8.53,8.67,8.6,0.07,0.814,17034.01,14772.069
300314.SZ,20191206,8.55,8.61,8.51,8.6,8.56,0.04,0.4673,15968.46,13679.555
300314.SZ,20191205,8.45,8.58,8.45,8.56,8.47,0.09,1.0626,15841.9,13492.124
300314.SZ,20191204,8.45,8.54,8.42,8.47,8.4,0.07,0.8333,18120.13,15352.287
300314.SZ,20191203,8.37,8.44,8.23,8.4,8.38,0.02,0.2387,14947.84,12418.434
300314.SZ,20191202,8.46,8.48,8.35,8.38,8.45,-0.07,-0.8284,16249.53,13652.87
300314.SZ,20191129,8.36,8.48,8.36,8.45,8.38,0.07,0.8353,10436.5,8776.617
300314.SZ,20191128,8.4,8.46,8.31,8.38,8.38,0.0,0.0,12973.0,10898.143
300314.SZ,20191127,8.38,8.54,8.36,8.38,8.43,-0.05,-0.5931,14338.0,12093.146
300314.SZ,20191126,8.52,8.52,8.4,8.43,8.58,-0.15,-1.7483,15471.0,13067.218
300314.SZ,20191125,8.49,8.61,8.36,8.58,8.49,0.09,1.0601,21467.88,18138.391
300314.SZ,20191122,8.72,8.72,8.48,8.49,8.68,-0.19,-2.1889,25693.61,22042.651
300314.SZ,20191121,8.68,8.7,8.55,8.68,8.68,0.0,0.0,17639.8,15211.612
300314.SZ,20191120,8.65,8.86,8.61,8.68,8.61,0.07,0.813,39387.0,34406.231
300314.SZ,20191119,8.43,8.61,8.43,8.61,8.47,0.14,1.6529,32044.3,27403.706
300314.SZ,20191118,8.66,8.66,8.32,8.47,8.7,-0.23,-2.6437,32523.99,27526.631
300314.SZ,20191115,8.61,8.7,8.44,8.7,8.54,0.16,1.8735,24448.81,20880.465
300314.SZ,20191114,8.59,8.63,8.39,8.54,8.54,0.0,0.0,36983.59,31418.938
300314.SZ,20191113,8.6,8.63,8.47,8.54,8.58,-0.04,-0.4662,18382.0,15710.968
300314.SZ,20191112,8.59,8.69,8.52,8.58,8.69,-0.11,-1.2658,23819.82,20434.189
300314.SZ,20191111,8.86,8.86,8.55,8.69,8.81,-0.12,-1.3621,24470.82,21258.01
300314.SZ,20191108,9.0,9.09,8.74,8.81,8.98,-0.17,-1.8931,37557.92,33266.276
300314.SZ,20191107,8.73,9.04,8.73,8.98,8.78,0.2,2.2779,42256.51,37768.742
300314.SZ,20191106,9.16,9.28,8.73,8.78,9.48,-0.7,-7.384,88384.09,78512.881
300314.SZ,20191105,9.25,9.51,9.15,9.48,9.2,0.28,3.0435,47732.95,44594.228
