ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603630.SH,20200110,14.99,15.17,14.44,14.55,15.08,-0.53,-3.5146,77097.91,113153.602
603630.SH,20200109,14.92,15.17,14.74,15.08,14.76,0.32,2.168,67174.63,100671.679
603630.SH,20200108,15.17,15.3,14.74,14.76,15.55,-0.79,-5.0804,109823.25,164624.67
603630.SH,20200107,15.35,15.87,15.07,15.55,15.62,-0.07,-0.4481,143238.14,221250.069
603630.SH,20200106,15.17,15.97,14.97,15.62,16.34,-0.72,-4.4064,189261.6,292802.818
603630.SH,20200103,15.3,16.34,15.06,16.34,14.85,1.49,10.0337,234747.13,371424.336
603630.SH,20200102,13.8,14.85,13.72,14.85,13.5,1.35,10.0,94189.35,135158.29
603630.SH,20191231,13.19,13.5,13.05,13.5,13.19,0.31,2.3503,28256.8,37690.697
603630.SH,20191230,12.9,13.28,12.86,13.19,12.99,0.2,1.5396,20299.6,26646.034
603630.SH,20191227,13.1,13.5,12.98,12.99,13.08,-0.09,-0.6881,27716.9,36697.406
603630.SH,20191226,12.73,13.26,12.7,13.08,12.78,0.3,2.3474,20578.78,26757.756
603630.SH,20191225,12.83,12.94,12.68,12.78,12.87,-0.09,-0.6993,8040.7,10286.926
603630.SH,20191224,12.79,12.88,12.71,12.87,12.71,0.16,1.2589,9954.51,12757.562
603630.SH,20191223,12.9,12.91,12.61,12.71,12.9,-0.19,-1.4729,9507.1,12136.605
603630.SH,20191220,13.05,13.09,12.9,12.9,13.04,-0.14,-1.0736,9771.7,12652.906
603630.SH,20191219,12.82,13.08,12.82,13.04,12.84,0.2,1.5576,11330.3,14658.052
603630.SH,20191218,12.91,12.95,12.8,12.84,12.92,-0.08,-0.6192,11196.61,14398.869
603630.SH,20191217,12.76,12.92,12.76,12.92,12.75,0.17,1.3333,11907.71,15327.858
603630.SH,20191216,12.54,12.79,12.53,12.75,12.52,0.23,1.8371,12320.41,15600.777
603630.SH,20191213,12.39,12.54,12.38,12.52,12.35,0.17,1.3765,8009.1,9994.951
603630.SH,20191212,12.52,12.52,12.34,12.35,12.52,-0.17,-1.3578,9573.0,11888.168
603630.SH,20191211,12.48,12.59,12.48,12.52,12.53,-0.01,-0.0798,6751.3,8457.922
603630.SH,20191210,12.48,12.55,12.42,12.53,12.52,0.01,0.0799,6813.02,8507.235
603630.SH,20191209,12.51,12.65,12.46,12.52,12.51,0.01,0.0799,6176.74,7745.091
603630.SH,20191206,12.44,12.54,12.36,12.51,12.45,0.06,0.4819,7383.2,9214.697
603630.SH,20191205,12.38,12.49,12.35,12.45,12.37,0.08,0.6467,6811.9,8469.532
603630.SH,20191204,12.3,12.4,12.25,12.37,12.34,0.03,0.2431,3975.32,4911.488
603630.SH,20191203,12.32,12.34,12.2,12.34,12.32,0.02,0.1623,6254.11,7668.201
603630.SH,20191202,12.48,12.48,12.29,12.32,12.37,-0.05,-0.4042,5362.82,6619.935
603630.SH,20191129,12.47,12.52,12.29,12.37,12.47,-0.1,-0.8019,7047.62,8723.18
603630.SH,20191128,12.6,12.6,12.46,12.47,12.52,-0.05,-0.3994,5151.61,6442.348
603630.SH,20191127,12.52,12.61,12.45,12.52,12.54,-0.02,-0.1595,5245.4,6581.866
603630.SH,20191126,12.52,12.6,12.51,12.54,12.53,0.01,0.0798,4055.11,5086.64
603630.SH,20191125,12.43,12.54,12.22,12.53,12.43,0.1,0.8045,7724.8,9554.333
603630.SH,20191122,12.6,12.69,12.41,12.43,12.6,-0.17,-1.3492,8181.2,10252.665
603630.SH,20191121,12.55,12.69,12.55,12.6,12.61,-0.01,-0.0793,5730.01,7221.772
603630.SH,20191120,12.55,12.71,12.54,12.61,12.55,0.06,0.4781,8908.9,11250.758
603630.SH,20191119,12.44,12.57,12.4,12.55,12.39,0.16,1.2914,6453.93,8075.182
603630.SH,20191118,12.39,12.47,12.33,12.39,12.41,-0.02,-0.1612,7695.22,9541.379
603630.SH,20191115,12.56,12.58,12.4,12.41,12.56,-0.15,-1.1943,5295.4,6601.142
603630.SH,20191114,12.57,12.61,12.49,12.56,12.57,-0.01,-0.0796,6233.6,7824.591
603630.SH,20191113,12.51,12.63,12.48,12.57,12.53,0.04,0.3192,8059.21,10120.038
603630.SH,20191112,12.67,12.72,12.35,12.53,12.67,-0.14,-1.105,11700.41,14608.072
603630.SH,20191111,13.23,13.23,12.5,12.67,13.22,-0.55,-4.1604,19633.72,25288.71
603630.SH,20191108,13.42,13.48,13.2,13.22,13.39,-0.17,-1.2696,10661.13,14194.084
603630.SH,20191107,13.15,13.44,13.13,13.39,13.2,0.19,1.4394,9768.0,13005.624
603630.SH,20191106,13.3,13.38,13.16,13.2,13.34,-0.14,-1.0495,10334.78,13702.219
603630.SH,20191105,13.3,13.42,13.19,13.34,13.24,0.1,0.7553,12403.6,16516.039
603630.SH,20191104,13.3,13.48,13.2,13.24,13.26,-0.02,-0.1508,16856.3,22524.615
603630.SH,20191101,13.07,13.35,13.06,13.26,13.12,0.14,1.0671,14569.73,19217.396
603630.SH,20191031,13.46,13.54,13.08,13.12,13.45,-0.33,-2.4535,23218.94,30867.039
603630.SH,20191030,13.88,14.1,13.35,13.45,14.1,-0.65,-4.6099,37100.9,50678.847
603630.SH,20191029,14.28,14.36,14.02,14.1,14.38,-0.28,-1.9471,30806.01,43582.029
603630.SH,20191028,14.32,14.58,14.08,14.38,14.63,-0.25,-1.7088,44594.21,63964.011
603630.SH,20191025,14.29,14.83,14.03,14.63,14.48,0.15,1.0359,59026.75,85161.4
603630.SH,20191024,13.75,14.55,13.75,14.48,14.0,0.48,3.4286,60619.4,86193.288
603630.SH,20191023,14.56,14.99,14.0,14.0,14.06,-0.06,-0.4267,63141.83,90886.876
603630.SH,20191022,13.45,14.71,13.3,14.06,13.37,0.69,5.1608,53262.74,74800.48
603630.SH,20191021,13.6,13.67,13.24,13.37,13.74,-0.37,-2.6929,18810.34,25158.003
603630.SH,20191018,13.46,14.0,13.44,13.74,13.46,0.28,2.0802,27767.98,38232.335
603630.SH,20191017,13.62,13.62,13.4,13.46,13.55,-0.09,-0.6642,8994.7,12133.036
603630.SH,20191016,13.77,13.95,13.49,13.55,13.77,-0.22,-1.5977,11015.33,15058.476
603630.SH,20191015,13.75,13.84,13.69,13.77,13.78,-0.01,-0.0726,9642.23,13264.343
603630.SH,20191014,13.7,13.88,13.7,13.78,13.71,0.07,0.5106,12866.1,17766.141
603630.SH,20191011,13.72,13.77,13.53,13.71,13.72,-0.01,-0.0729,10912.3,14903.118
603630.SH,20191010,13.37,13.76,13.37,13.72,13.37,0.35,2.6178,15422.9,20937.307
603630.SH,20191009,13.35,13.43,13.17,13.37,13.35,0.02,0.1498,7378.1,9815.49
603630.SH,20191008,13.41,13.59,13.24,13.35,13.45,-0.1,-0.7435,8939.8,11991.284
603630.SH,20190930,13.35,13.57,13.34,13.45,13.35,0.1,0.7491,14213.7,19126.901
603630.SH,20190927,13.22,13.37,13.16,13.35,13.15,0.2,1.5209,10434.52,13819.808
