ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300803.SZ,20200110,45.68,45.68,42.96,43.51,45.71,-2.2,-4.813,130480.2,572053.526
300803.SZ,20200109,46.39,47.56,44.7,45.71,44.9,0.81,1.804,157303.78,726057.68
300803.SZ,20200108,45.88,46.74,44.2,44.9,47.18,-2.28,-4.8326,193331.53,877533.269
300803.SZ,20200107,43.52,47.18,43.52,47.18,42.89,4.29,10.0023,251619.56,1165875.444
300803.SZ,20200106,41.0,43.2,40.19,42.89,41.91,0.98,2.3383,184349.2,769328.413
300803.SZ,20200103,39.8,43.0,39.78,41.91,39.39,2.52,6.3976,216564.9,899803.262
300803.SZ,20200102,39.0,41.18,38.8,39.39,37.88,1.51,3.9863,171065.88,681249.828
300803.SZ,20191231,38.47,39.2,37.61,37.88,38.54,-0.66,-1.7125,126268.57,483494.282
300803.SZ,20191230,39.1,40.19,36.38,38.54,40.26,-1.72,-4.2722,170720.06,656460.015
300803.SZ,20191227,41.74,44.38,40.26,40.26,42.1,-1.84,-4.3705,238161.61,1002989.462
300803.SZ,20191226,40.99,42.39,39.9,42.1,41.37,0.73,1.7646,184792.9,760238.56
300803.SZ,20191225,40.5,41.45,39.4,41.37,41.0,0.37,0.9024,177773.48,718947.787
300803.SZ,20191224,42.27,43.0,39.1,41.0,43.1,-2.1,-4.8724,238420.66,961442.499
300803.SZ,20191223,38.78,43.1,38.78,43.1,39.18,3.92,10.0051,247021.27,1040458.477
300803.SZ,20191220,42.0,42.79,39.0,39.18,41.5,-2.32,-5.5904,206897.12,851984.146
300803.SZ,20191219,43.49,43.82,41.2,41.5,44.8,-3.3,-7.3661,224449.81,955127.456
300803.SZ,20191218,43.95,45.46,43.4,44.8,42.83,1.97,4.5996,286623.49,1271921.681
300803.SZ,20191217,41.1,45.6,40.76,42.83,41.45,1.38,3.3293,331318.06,1423550.203
300803.SZ,20191216,39.47,41.66,38.51,41.45,41.46,-0.01,-0.0241,263963.56,1055605.923
300803.SZ,20191213,42.7,44.2,40.7,41.46,40.58,0.88,2.1686,348890.61,1484103.364
300803.SZ,20191212,39.81,41.88,39.11,40.58,40.3,0.28,0.6948,279525.81,1133938.848
300803.SZ,20191211,38.85,43.8,38.85,40.3,39.9,0.4,1.0025,355763.92,1462269.099
300803.SZ,20191210,38.71,41.39,36.51,39.9,37.63,2.27,6.0324,441749.76,1709736.143
300803.SZ,20191209,36.97,37.63,36.04,37.63,34.21,3.42,9.9971,318547.67,1181112.614
300803.SZ,20191206,34.21,34.21,34.21,34.21,31.1,3.11,10.0,27425.92,93824.072
300803.SZ,20191205,31.1,31.1,31.1,31.1,28.27,2.83,10.0106,33910.61,105461.997
300803.SZ,20191204,28.27,28.27,28.27,28.27,25.7,2.57,10.0,5266.67,14888.876
300803.SZ,20191203,25.7,25.7,25.7,25.7,23.36,2.34,10.0171,3049.03,7836.007
300803.SZ,20191202,23.36,23.36,23.36,23.36,21.24,2.12,9.9812,2649.47,6189.161
300803.SZ,20191129,21.24,21.24,21.24,21.24,19.31,1.93,9.9948,6133.05,13026.598
300803.SZ,20191128,19.31,19.31,19.31,19.31,17.55,1.76,10.0285,3004.06,5800.839
300803.SZ,20191127,17.55,17.55,17.55,17.55,15.95,1.6,10.0313,1985.78,3485.043
300803.SZ,20191126,15.95,15.95,15.95,15.95,14.5,1.45,10.0,2421.2,3861.814
300803.SZ,20191125,14.5,14.5,14.5,14.5,13.18,1.32,10.0152,1176.89,1706.49
300803.SZ,20191122,13.18,13.18,13.18,13.18,11.98,1.2,10.0167,1566.72,2064.936
300803.SZ,20191121,11.98,11.98,11.98,11.98,10.89,1.09,10.0092,692.86,830.046
300803.SZ,20191120,10.89,10.89,10.89,10.89,9.9,0.99,10.0,424.75,462.552
300803.SZ,20191119,9.9,9.9,9.9,9.9,9.0,0.9,10.0,248.64,246.153
300803.SZ,20191118,7.5,9.0,7.5,9.0,6.25,2.75,44.0,1600.44,1437.021
300803.SZ,20191118,7.5,9.0,7.5,9.0,6.25,2.75,44.0,1600.44,1437.021
