ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002503.SZ,20200110,2.58,2.62,2.5,2.52,2.52,0.0,0.0,608228.96,154416.135
002503.SZ,20200109,2.5,2.58,2.49,2.52,2.47,0.05,2.0243,717713.11,181144.894
002503.SZ,20200108,2.54,2.56,2.46,2.47,2.59,-0.12,-4.6332,1003021.58,252367.221
002503.SZ,20200107,2.52,2.68,2.52,2.59,2.54,0.05,1.9685,1532403.79,396965.653
002503.SZ,20200106,2.5,2.59,2.46,2.54,2.57,-0.03,-1.1673,1305887.09,329458.343
002503.SZ,20200103,2.63,2.72,2.54,2.57,2.63,-0.06,-2.2814,2609822.82,681980.283
002503.SZ,20200102,2.43,2.63,2.4,2.63,2.39,0.24,10.0418,3035896.55,788438.244
002503.SZ,20191231,2.37,2.46,2.36,2.39,2.43,-0.04,-1.6461,765262.24,183292.099
002503.SZ,20191230,2.34,2.5,2.31,2.43,2.36,0.07,2.9661,1196180.31,284948.537
002503.SZ,20191227,2.48,2.52,2.34,2.36,2.44,-0.08,-3.2787,1420346.03,345814.106
002503.SZ,20191226,2.21,2.44,2.21,2.44,2.22,0.22,9.9099,781444.0,182505.708
002503.SZ,20191225,2.25,2.25,2.2,2.22,2.25,-0.03,-1.3333,244197.78,54353.922
002503.SZ,20191224,2.2,2.33,2.19,2.25,2.19,0.06,2.7397,322886.0,72673.476
002503.SZ,20191223,2.26,2.26,2.19,2.19,2.26,-0.07,-3.0973,274495.46,61012.099
002503.SZ,20191220,2.28,2.34,2.25,2.26,2.28,-0.02,-0.8772,337456.94,77289.996
002503.SZ,20191219,2.25,2.28,2.23,2.28,2.24,0.04,1.7857,239781.34,54175.498
002503.SZ,20191218,2.26,2.28,2.22,2.24,2.26,-0.02,-0.885,379153.0,85190.64
002503.SZ,20191217,2.21,2.28,2.19,2.26,2.2,0.06,2.7273,408364.68,91091.158
002503.SZ,20191216,2.17,2.21,2.15,2.2,2.16,0.04,1.8519,367850.76,80238.461
002503.SZ,20191213,2.14,2.16,2.13,2.16,2.13,0.03,1.4085,146666.6,31546.389
002503.SZ,20191212,2.15,2.15,2.13,2.13,2.15,-0.02,-0.9302,132255.63,28279.044
002503.SZ,20191211,2.17,2.17,2.14,2.15,2.17,-0.02,-0.9217,177944.86,38280.031
002503.SZ,20191210,2.17,2.17,2.15,2.17,2.17,0.0,0.0,179204.48,38721.413
002503.SZ,20191209,2.17,2.18,2.16,2.17,2.16,0.01,0.463,153722.96,33332.11
002503.SZ,20191206,2.16,2.17,2.15,2.16,2.16,0.0,0.0,143339.97,30940.367
002503.SZ,20191205,2.15,2.18,2.14,2.16,2.15,0.01,0.4651,223278.74,48227.585
002503.SZ,20191204,2.14,2.16,2.13,2.15,2.15,0.0,0.0,122477.86,26243.96
002503.SZ,20191203,2.14,2.16,2.13,2.15,2.15,0.0,0.0,177979.27,38153.002
002503.SZ,20191202,2.15,2.16,2.13,2.15,2.15,0.0,0.0,156649.31,33651.036
002503.SZ,20191129,2.15,2.16,2.13,2.15,2.14,0.01,0.4673,133909.38,28749.732
002503.SZ,20191128,2.15,2.16,2.14,2.14,2.14,0.0,0.0,83185.64,17870.184
002503.SZ,20191127,2.15,2.16,2.13,2.14,2.16,-0.02,-0.9259,128209.17,27533.972
002503.SZ,20191126,2.18,2.2,2.15,2.16,2.18,-0.02,-0.9174,192374.77,41751.739
002503.SZ,20191125,2.16,2.18,2.14,2.18,2.17,0.01,0.4608,214233.64,46312.698
002503.SZ,20191122,2.18,2.2,2.15,2.17,2.17,0.0,0.0,199408.17,43420.777
002503.SZ,20191121,2.15,2.19,2.13,2.17,2.15,0.02,0.9302,172291.11,37334.716
002503.SZ,20191120,2.17,2.17,2.14,2.15,2.17,-0.02,-0.9217,133632.69,28784.427
002503.SZ,20191119,2.12,2.18,2.11,2.17,2.13,0.04,1.8779,162335.35,34950.436
002503.SZ,20191118,2.13,2.14,2.1,2.13,2.13,0.0,0.0,138861.56,29463.124
002503.SZ,20191115,2.17,2.17,2.12,2.13,2.16,-0.03,-1.3889,157733.45,33704.069
002503.SZ,20191114,2.15,2.17,2.15,2.16,2.17,-0.01,-0.4608,86701.33,18737.132
002503.SZ,20191113,2.18,2.18,2.15,2.17,2.19,-0.02,-0.9132,95377.64,20653.113
002503.SZ,20191112,2.17,2.19,2.15,2.19,2.17,0.02,0.9217,154251.0,33543.539
002503.SZ,20191111,2.25,2.25,2.16,2.17,2.25,-0.08,-3.5556,210189.52,46109.856
002503.SZ,20191108,2.26,2.27,2.25,2.25,2.26,-0.01,-0.4425,145745.51,32924.692
002503.SZ,20191107,2.23,2.27,2.23,2.26,2.24,0.02,0.8929,126827.87,28549.295
002503.SZ,20191106,2.27,2.27,2.23,2.24,2.26,-0.02,-0.885,154820.0,34813.736
002503.SZ,20191105,2.27,2.28,2.25,2.26,2.28,-0.02,-0.8772,170055.68,38525.119
002503.SZ,20191104,2.28,2.29,2.27,2.28,2.28,0.0,0.0,112058.33,25559.522
002503.SZ,20191101,2.27,2.29,2.25,2.28,2.27,0.01,0.4405,146606.06,33301.093
002503.SZ,20191031,2.27,2.3,2.26,2.27,2.28,-0.01,-0.4386,152929.82,34764.958
002503.SZ,20191030,2.29,2.3,2.26,2.28,2.3,-0.02,-0.8696,191011.86,43562.315
002503.SZ,20191029,2.35,2.35,2.3,2.3,2.36,-0.06,-2.5424,268801.6,62402.091
002503.SZ,20191028,2.31,2.38,2.31,2.36,2.35,0.01,0.4255,411741.64,96513.152
002503.SZ,20191025,2.36,2.41,2.32,2.35,2.28,0.07,3.0702,516690.38,121739.477
002503.SZ,20191024,2.26,2.28,2.25,2.28,2.26,0.02,0.885,143499.0,32538.497
002503.SZ,20191023,2.29,2.3,2.25,2.26,2.3,-0.04,-1.7391,160050.0,36396.677
002503.SZ,20191022,2.27,2.31,2.25,2.3,2.26,0.04,1.7699,199944.77,45547.773
002503.SZ,20191021,2.27,2.28,2.24,2.26,2.28,-0.02,-0.8772,146015.33,32927.234
002503.SZ,20191018,2.32,2.33,2.27,2.28,2.33,-0.05,-2.1459,213370.4,49118.749
002503.SZ,20191017,2.32,2.33,2.3,2.33,2.31,0.02,0.8658,195764.2,45261.583
002503.SZ,20191016,2.34,2.36,2.3,2.31,2.33,-0.02,-0.8584,213171.6,49800.24
002503.SZ,20191015,2.36,2.36,2.32,2.33,2.36,-0.03,-1.2712,194956.12,45417.561
002503.SZ,20191014,2.34,2.37,2.33,2.36,2.33,0.03,1.2876,265571.61,62605.416
002503.SZ,20191011,2.33,2.34,2.29,2.33,2.34,-0.01,-0.4274,211846.1,49111.796
002503.SZ,20191010,2.3,2.34,2.29,2.34,2.3,0.04,1.7391,243619.67,56333.857
002503.SZ,20191009,2.28,2.31,2.23,2.3,2.28,0.02,0.8772,254128.65,57712.556
002503.SZ,20191008,2.31,2.33,2.28,2.28,2.31,-0.03,-1.2987,208917.0,48127.212
002503.SZ,20190930,2.35,2.36,2.31,2.31,2.35,-0.04,-1.7021,214493.17,49892.704
