ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603881.SH,20200110,41.33,41.85,40.81,41.17,41.45,-0.28,-0.6755,39966.79,164709.026
603881.SH,20200109,40.67,42.4,40.67,41.45,40.48,0.97,2.3962,54414.96,225142.941
603881.SH,20200108,41.03,41.54,40.0,40.48,41.21,-0.73,-1.7714,49945.05,202926.445
603881.SH,20200107,39.82,41.74,39.55,41.21,39.97,1.24,3.1023,71422.96,292185.035
603881.SH,20200106,39.14,40.4,38.81,39.97,39.34,0.63,1.6014,53548.97,213684.215
603881.SH,20200103,39.89,39.99,39.02,39.34,39.13,0.21,0.5367,48103.04,189819.155
603881.SH,20200102,38.1,39.15,38.0,39.13,37.95,1.18,3.1094,39531.9,153525.678
603881.SH,20191231,37.9,38.51,37.7,37.95,37.9,0.05,0.1319,21531.31,82087.072
603881.SH,20191230,37.12,38.19,36.5,37.9,37.6,0.3,0.7979,25925.04,97328.766
603881.SH,20191227,37.94,38.49,37.56,37.6,37.95,-0.35,-0.9223,30924.64,117883.814
603881.SH,20191226,37.25,38.09,37.15,37.95,37.62,0.33,0.8772,28086.38,105726.821
603881.SH,20191225,37.2,37.98,37.02,37.62,37.28,0.34,0.912,24356.01,91564.958
603881.SH,20191224,36.9,37.37,36.68,37.28,36.82,0.46,1.2493,20006.77,74138.994
603881.SH,20191223,37.7,37.94,36.81,36.82,37.96,-1.14,-3.0032,34706.27,129211.886
603881.SH,20191220,38.95,39.32,37.9,37.96,39.0,-1.04,-2.6667,40545.21,156206.44
603881.SH,20191219,39.7,39.9,38.93,39.0,39.87,-0.87,-2.1821,49000.3,192161.882
603881.SH,20191218,39.36,40.39,38.8,39.87,39.33,0.54,1.373,67776.75,268184.182
603881.SH,20191217,38.95,39.88,38.61,39.33,38.95,0.38,0.9756,64731.64,253580.027
603881.SH,20191216,37.7,38.98,37.34,38.95,37.52,1.43,3.8113,78819.09,303507.316
603881.SH,20191213,37.9,37.98,37.11,37.52,37.43,0.09,0.2404,39116.78,146596.036
603881.SH,20191212,37.09,37.87,36.6,37.43,37.49,-0.06,-0.16,47161.84,175446.018
603881.SH,20191211,38.32,38.35,37.21,37.49,38.38,-0.89,-2.3189,49566.73,187055.387
603881.SH,20191210,38.3,38.45,37.7,38.38,38.71,-0.33,-0.8525,53410.28,203213.349
603881.SH,20191209,38.6,39.05,38.08,38.71,38.37,0.34,0.8861,61500.09,237955.66
603881.SH,20191206,38.67,38.97,37.85,38.37,39.04,-0.67,-1.7162,63766.15,244264.573
603881.SH,20191205,37.54,39.65,37.51,39.04,38.49,0.55,1.4289,97298.14,377439.514
603881.SH,20191204,40.1,41.9,38.28,38.49,39.36,-0.87,-2.2104,161193.4,645098.058
603881.SH,20191203,39.36,39.36,39.36,39.36,35.78,3.58,10.0056,17685.35,69609.538
603881.SH,20191202,36.29,36.47,35.61,35.78,36.5,-0.72,-1.9726,20868.98,75061.64
603881.SH,20191129,35.9,36.5,35.2,36.5,36.15,0.35,0.9682,19683.38,70885.075
603881.SH,20191128,36.26,36.55,35.88,36.15,36.0,0.15,0.4167,15550.4,56273.184
603881.SH,20191127,36.03,36.51,35.76,36.0,35.89,0.11,0.3065,18922.62,68399.957
603881.SH,20191126,36.11,36.78,35.6,35.89,36.21,-0.32,-0.8837,19295.56,69452.918
603881.SH,20191125,36.88,37.19,35.48,36.21,36.78,-0.57,-1.5498,24627.2,88843.074
603881.SH,20191122,37.8,38.0,36.51,36.78,37.56,-0.78,-2.0767,26844.57,99703.633
603881.SH,20191121,37.53,38.19,37.23,37.56,37.88,-0.32,-0.8448,22267.09,83723.334
