ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002775.SZ,20200110,5.98,5.98,5.91,5.94,5.95,-0.01,-0.1681,16033.77,9522.495
002775.SZ,20200109,5.87,5.95,5.86,5.95,5.83,0.12,2.0583,29165.28,17242.951
002775.SZ,20200108,5.94,5.96,5.83,5.83,5.96,-0.13,-2.1812,34839.87,20533.938
002775.SZ,20200107,5.89,5.96,5.89,5.96,5.9,0.06,1.0169,29765.06,17677.662
002775.SZ,20200106,5.88,5.95,5.87,5.9,5.92,-0.02,-0.3378,31672.96,18706.646
002775.SZ,20200103,5.89,5.96,5.86,5.92,5.89,0.03,0.5093,25693.66,15160.525
002775.SZ,20200102,5.89,5.92,5.85,5.89,5.85,0.04,0.6838,37328.31,22005.357
002775.SZ,20191231,5.76,5.87,5.73,5.85,5.76,0.09,1.5625,34651.56,20129.485
002775.SZ,20191230,5.7,5.77,5.66,5.76,5.73,0.03,0.5236,21992.87,12588.76
002775.SZ,20191227,5.75,5.79,5.72,5.73,5.76,-0.03,-0.5208,22023.56,12678.17
002775.SZ,20191226,5.63,5.76,5.63,5.76,5.64,0.12,2.1277,24804.0,14135.816
002775.SZ,20191225,5.66,5.69,5.63,5.64,5.68,-0.04,-0.7042,15993.28,9039.26
002775.SZ,20191224,5.65,5.68,5.6,5.68,5.63,0.05,0.8881,15156.39,8541.612
002775.SZ,20191223,5.72,5.74,5.63,5.63,5.72,-0.09,-1.5734,18117.68,10284.302
002775.SZ,20191220,5.79,5.83,5.7,5.72,5.78,-0.06,-1.0381,22529.65,12992.566
002775.SZ,20191219,5.72,5.78,5.72,5.78,5.73,0.05,0.8726,22687.86,13053.903
002775.SZ,20191218,5.73,5.76,5.71,5.73,5.74,-0.01,-0.1742,26282.92,15084.654
002775.SZ,20191217,5.67,5.77,5.67,5.74,5.7,0.04,0.7018,34773.74,19908.351
002775.SZ,20191216,5.7,5.75,5.63,5.7,5.59,0.11,1.9678,48311.38,27462.598
002775.SZ,20191213,5.54,5.59,5.54,5.59,5.53,0.06,1.085,22875.35,12727.169
002775.SZ,20191212,5.51,5.54,5.5,5.53,5.53,0.0,0.0,14173.76,7818.752
002775.SZ,20191211,5.57,5.57,5.52,5.53,5.57,-0.04,-0.7181,17468.08,9670.922
002775.SZ,20191210,5.56,5.57,5.53,5.57,5.57,0.0,0.0,12380.07,6873.875
002775.SZ,20191209,5.55,5.58,5.53,5.57,5.54,0.03,0.5415,20441.41,11346.955
002775.SZ,20191206,5.53,5.54,5.5,5.54,5.52,0.02,0.3623,16888.59,9325.674
002775.SZ,20191205,5.47,5.53,5.47,5.52,5.48,0.04,0.7299,23105.56,12720.922
002775.SZ,20191204,5.49,5.49,5.46,5.48,5.5,-0.02,-0.3636,15241.76,8340.807
002775.SZ,20191203,5.47,5.51,5.44,5.5,5.48,0.02,0.365,7678.64,4201.365
002775.SZ,20191202,5.48,5.51,5.44,5.48,5.47,0.01,0.1828,9794.2,5368.652
002775.SZ,20191129,5.48,5.51,5.44,5.47,5.49,-0.02,-0.3643,10754.72,5872.911
002775.SZ,20191128,5.55,5.56,5.46,5.49,5.52,-0.03,-0.5435,12551.6,6912.713
002775.SZ,20191127,5.57,5.57,5.5,5.52,5.55,-0.03,-0.5405,8866.8,4901.315
002775.SZ,20191126,5.57,5.59,5.55,5.55,5.57,-0.02,-0.3591,8142.18,4528.151
002775.SZ,20191125,5.5,5.58,5.5,5.57,5.51,0.06,1.0889,10492.84,5815.232
002775.SZ,20191122,5.5,5.58,5.48,5.51,5.52,-0.01,-0.1812,12308.64,6803.154
002775.SZ,20191121,5.5,5.53,5.48,5.52,5.51,0.01,0.1815,10420.76,5744.788
002775.SZ,20191120,5.58,5.59,5.5,5.51,5.58,-0.07,-1.2545,11700.72,6482.805
002775.SZ,20191119,5.54,5.59,5.5,5.58,5.51,0.07,1.2704,12324.36,6853.559
002775.SZ,20191118,5.49,5.53,5.47,5.51,5.48,0.03,0.5474,7014.96,3856.975
002775.SZ,20191115,5.55,5.55,5.46,5.48,5.55,-0.07,-1.2613,10633.52,5844.52
002775.SZ,20191114,5.53,5.58,5.53,5.55,5.54,0.01,0.1805,10401.4,5765.999
002775.SZ,20191113,5.6,5.6,5.53,5.54,5.58,-0.04,-0.7168,6428.72,3570.163
002775.SZ,20191112,5.55,5.62,5.52,5.58,5.57,0.01,0.1795,11607.24,6449.449
002775.SZ,20191111,5.69,5.69,5.56,5.57,5.7,-0.13,-2.2807,13936.96,7845.99
002775.SZ,20191108,5.75,5.78,5.69,5.7,5.73,-0.03,-0.5236,14086.12,8095.23
002775.SZ,20191107,5.7,5.75,5.66,5.73,5.72,0.01,0.1748,8975.6,5133.614
002775.SZ,20191106,5.74,5.76,5.69,5.72,5.74,-0.02,-0.3484,12687.53,7245.852
002775.SZ,20191105,5.78,5.78,5.71,5.74,5.75,-0.01,-0.1739,14226.88,8180.418
002775.SZ,20191104,5.74,5.79,5.72,5.75,5.74,0.01,0.1742,16193.26,9308.38
002775.SZ,20191101,5.71,5.76,5.67,5.74,5.71,0.03,0.5254,17092.28,9782.035
002775.SZ,20191031,5.77,5.81,5.71,5.71,5.75,-0.04,-0.6957,20899.56,12032.266
002775.SZ,20191030,5.86,5.87,5.7,5.75,5.87,-0.12,-2.0443,25039.34,14453.241
002775.SZ,20191029,5.95,5.96,5.84,5.87,5.97,-0.1,-1.675,29320.35,17260.781
002775.SZ,20191028,5.9,5.97,5.81,5.97,5.88,0.09,1.5306,29778.55,17622.519
002775.SZ,20191025,5.9,5.92,5.78,5.88,5.9,-0.02,-0.339,29471.41,17228.052
002775.SZ,20191024,5.8,5.95,5.76,5.9,5.92,-0.02,-0.3378,38241.96,22420.407
002775.SZ,20191023,5.88,6.09,5.81,5.92,5.76,0.16,2.7778,98966.1,59256.789
002775.SZ,20191022,5.68,5.89,5.68,5.76,5.7,0.06,1.0526,33355.0,19279.69
