ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600318.SH,20200110,7.07,7.09,6.91,6.95,7.04,-0.09,-1.2784,50214.46,35085.622
600318.SH,20200109,7.02,7.12,6.99,7.04,6.97,0.07,1.0043,65798.44,46423.2
600318.SH,20200108,7.14,7.14,6.96,6.97,7.2,-0.23,-3.1944,80946.61,57117.771
600318.SH,20200107,7.07,7.24,7.0,7.2,7.07,0.13,1.8388,100312.56,71547.095
600318.SH,20200106,6.98,7.12,6.95,7.07,7.06,0.01,0.1416,74756.27,52505.298
600318.SH,20200103,7.1,7.12,7.01,7.06,7.09,-0.03,-0.4231,82836.25,58522.5
600318.SH,20200102,7.05,7.29,7.05,7.09,7.0,0.09,1.2857,120764.17,86686.701
600318.SH,20191231,6.99,7.07,6.94,7.0,7.04,-0.04,-0.5682,41611.69,29100.219
600318.SH,20191230,6.82,7.07,6.66,7.04,6.85,0.19,2.7737,94431.44,65396.446
600318.SH,20191227,6.91,7.18,6.85,6.85,6.93,-0.08,-1.1544,97130.15,68362.551
600318.SH,20191226,6.84,6.93,6.81,6.93,6.85,0.08,1.1679,43988.51,30203.04
600318.SH,20191225,6.79,6.95,6.73,6.85,6.82,0.03,0.4399,43873.14,29973.258
600318.SH,20191224,6.75,6.84,6.72,6.82,6.74,0.08,1.1869,41581.06,28175.15
600318.SH,20191223,6.99,7.01,6.69,6.74,7.01,-0.27,-3.8516,63445.13,43453.658
600318.SH,20191220,7.04,7.15,7.01,7.01,7.05,-0.04,-0.5674,71583.36,50633.151
600318.SH,20191219,7.0,7.1,6.98,7.05,7.01,0.04,0.5706,59939.94,42137.364
600318.SH,20191218,7.06,7.15,6.99,7.01,7.13,-0.12,-1.683,117720.32,83113.481
600318.SH,20191217,6.86,7.3,6.83,7.13,6.89,0.24,3.4833,163543.84,115731.892
600318.SH,20191216,6.75,6.91,6.75,6.89,6.86,0.03,0.4373,100399.07,68499.752
600318.SH,20191213,6.58,7.19,6.58,6.86,6.54,0.32,4.893,142041.6,97692.508
600318.SH,20191212,6.57,6.69,6.54,6.54,6.61,-0.07,-1.059,31901.95,21083.901
600318.SH,20191211,6.6,6.75,6.54,6.61,6.58,0.03,0.4559,43587.37,28837.759
600318.SH,20191210,6.58,6.61,6.55,6.58,6.61,-0.03,-0.4539,25880.98,17006.356
600318.SH,20191209,6.53,6.62,6.53,6.61,6.57,0.04,0.6088,31464.44,20693.225
600318.SH,20191206,6.63,6.65,6.52,6.57,6.64,-0.07,-1.0542,39644.29,26017.755
600318.SH,20191205,6.68,6.69,6.6,6.64,6.63,0.01,0.1508,28491.53,18947.545
600318.SH,20191204,6.58,6.66,6.58,6.63,6.64,-0.01,-0.1506,21369.83,14136.308
600318.SH,20191203,6.5,6.64,6.45,6.64,6.6,0.04,0.6061,32418.29,21256.432
600318.SH,20191202,6.58,6.8,6.47,6.6,6.58,0.02,0.304,54220.99,35820.198
600318.SH,20191129,6.42,6.86,6.34,6.58,6.36,0.22,3.4591,57520.56,37693.444
600318.SH,20191128,6.45,6.48,6.36,6.36,6.45,-0.09,-1.3953,22128.07,14182.961
600318.SH,20191127,6.45,6.5,6.36,6.45,6.44,0.01,0.1553,20305.02,13079.651
