ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600596.SH,20200110,10.08,10.16,9.97,10.08,10.06,0.02,0.1988,117370.05,118103.035
600596.SH,20200109,10.05,10.21,9.99,10.06,9.93,0.13,1.3092,184772.58,186279.086
600596.SH,20200108,10.18,10.2,9.85,9.93,10.25,-0.32,-3.122,264350.8,265148.667
600596.SH,20200107,10.3,10.35,10.16,10.25,10.5,-0.25,-2.381,368294.11,377017.273
600596.SH,20200106,10.83,10.92,10.44,10.5,10.45,0.05,0.4785,509669.57,542439.329
600596.SH,20200103,10.06,10.54,9.99,10.45,9.99,0.46,4.6046,483704.72,497201.995
600596.SH,20200102,9.94,10.01,9.75,9.99,9.84,0.15,1.5244,196629.6,194873.162
600596.SH,20191231,9.7,10.07,9.67,9.84,9.6,0.24,2.5,315523.18,312529.061
600596.SH,20191230,9.39,9.61,9.37,9.6,9.42,0.18,1.9108,141416.46,134771.531
600596.SH,20191227,9.52,9.55,9.4,9.42,9.52,-0.1,-1.0504,105966.56,100404.395
600596.SH,20191226,9.29,9.52,9.26,9.52,9.29,0.23,2.4758,105037.5,98986.471
600596.SH,20191225,9.26,9.41,9.2,9.29,9.25,0.04,0.4324,72147.08,67083.207
600596.SH,20191224,9.16,9.27,9.15,9.25,9.16,0.09,0.9825,52282.16,48150.985
600596.SH,20191223,9.33,9.38,9.12,9.16,9.33,-0.17,-1.8221,78332.45,72460.476
600596.SH,20191220,9.48,9.56,9.32,9.33,9.47,-0.14,-1.4784,83641.49,78882.353
600596.SH,20191219,9.44,9.51,9.4,9.47,9.42,0.05,0.5308,63902.79,60375.956
600596.SH,20191218,9.5,9.54,9.41,9.42,9.48,-0.06,-0.6329,77389.14,73233.816
600596.SH,20191217,9.38,9.6,9.38,9.48,9.37,0.11,1.174,130440.25,124012.881
600596.SH,20191216,9.29,9.38,9.25,9.37,9.29,0.08,0.8611,91012.14,84731.313
600596.SH,20191213,9.29,9.34,9.22,9.29,9.22,0.07,0.7592,57476.78,53296.049
600596.SH,20191212,9.19,9.35,9.18,9.22,9.2,0.02,0.2174,69877.32,64728.172
600596.SH,20191211,9.25,9.28,9.2,9.2,9.25,-0.05,-0.5405,62070.5,57334.919
600596.SH,20191210,9.17,9.29,9.15,9.25,9.19,0.06,0.6529,82651.06,76253.373
