ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300248.SZ,20200110,10.2,10.61,9.83,10.37,10.19,0.18,1.7664,336672.01,343881.955
300248.SZ,20200109,10.13,10.46,10.04,10.19,9.95,0.24,2.4121,248682.67,253444.587
300248.SZ,20200108,10.07,10.31,9.9,9.95,10.32,-0.37,-3.5853,284800.83,288252.196
300248.SZ,20200107,9.85,10.77,9.69,10.32,10.03,0.29,2.8913,485135.73,488825.863
300248.SZ,20200106,9.7,10.36,9.46,10.03,9.42,0.61,6.4756,734587.1,730440.892
300248.SZ,20200103,9.42,9.42,9.35,9.42,8.56,0.86,10.0467,148354.82,139742.849
300248.SZ,20200102,8.27,8.65,8.23,8.56,8.21,0.35,4.2631,144966.5,123016.46
300248.SZ,20191231,8.11,8.23,8.09,8.21,8.15,0.06,0.7362,60404.59,49334.325
300248.SZ,20191230,8.02,8.19,7.86,8.15,8.05,0.1,1.2422,68804.46,55509.463
300248.SZ,20191227,8.2,8.33,8.03,8.05,8.22,-0.17,-2.0681,85194.61,69607.737
300248.SZ,20191226,8.45,8.45,8.14,8.22,8.28,-0.06,-0.7246,123535.54,101573.269
300248.SZ,20191225,8.01,8.28,7.97,8.28,8.01,0.27,3.3708,112773.86,91792.193
300248.SZ,20191224,7.74,8.03,7.7,8.01,7.74,0.27,3.4884,62438.25,49346.792
300248.SZ,20191223,7.9,7.96,7.71,7.74,7.9,-0.16,-2.0253,56897.91,44634.362
300248.SZ,20191220,8.12,8.12,7.87,7.9,8.06,-0.16,-1.9851,60271.43,48113.559
300248.SZ,20191219,7.96,8.11,7.94,8.06,7.96,0.1,1.2563,60815.3,48829.691
300248.SZ,20191218,7.96,8.1,7.91,7.96,7.96,0.0,0.0,70344.37,56347.83
300248.SZ,20191217,7.9,8.02,7.84,7.96,7.89,0.07,0.8872,88798.21,70488.082
300248.SZ,20191216,7.71,7.9,7.71,7.89,7.7,0.19,2.4675,79042.86,61875.793
300248.SZ,20191213,7.63,7.71,7.59,7.7,7.61,0.09,1.1827,62050.85,47565.208
300248.SZ,20191212,7.66,7.7,7.59,7.61,7.71,-0.1,-1.297,55675.3,42543.837
300248.SZ,20191211,7.57,7.74,7.56,7.71,7.64,0.07,0.9162,58439.11,44768.297
300248.SZ,20191210,7.66,7.67,7.51,7.64,7.57,0.07,0.9247,61109.11,46403.889
300248.SZ,20191209,7.53,7.61,7.48,7.57,7.5,0.07,0.9333,47916.84,36221.24
300248.SZ,20191206,7.45,7.53,7.41,7.5,7.46,0.04,0.5362,42019.39,31404.611
300248.SZ,20191205,7.36,7.48,7.33,7.46,7.32,0.14,1.9126,58985.69,43766.233
300248.SZ,20191204,7.35,7.38,7.29,7.32,7.38,-0.06,-0.813,28176.06,20644.791
300248.SZ,20191203,7.32,7.41,7.24,7.38,7.34,0.04,0.545,37634.04,27639.138
300248.SZ,20191202,7.41,7.46,7.3,7.34,7.36,-0.02,-0.2717,47136.16,34808.023
300248.SZ,20191129,7.4,7.42,7.25,7.36,7.4,-0.04,-0.5405,40603.32,29772.895
300248.SZ,20191128,7.36,7.49,7.33,7.4,7.44,-0.04,-0.5376,39424.79,29121.0
300248.SZ,20191127,7.41,7.54,7.36,7.44,7.43,0.01,0.1346,48490.99,36210.548
300248.SZ,20191126,7.49,7.49,7.33,7.43,7.46,-0.03,-0.4021,45533.46,33785.35
300248.SZ,20191125,7.77,7.84,7.36,7.46,7.92,-0.46,-5.8081,111751.46,83753.251
300248.SZ,20191122,7.87,8.25,7.78,7.92,7.74,0.18,2.3256,142421.33,113940.935
300248.SZ,20191121,7.8,7.87,7.71,7.74,7.82,-0.08,-1.023,55330.58,43038.904
300248.SZ,20191120,7.97,7.98,7.78,7.82,7.98,-0.16,-2.005,67195.03,52878.992
300248.SZ,20191119,7.85,7.99,7.81,7.98,7.87,0.11,1.3977,67062.89,53257.265
300248.SZ,20191118,7.78,7.9,7.73,7.87,7.75,0.12,1.5484,51715.1,40541.318
300248.SZ,20191115,7.84,7.94,7.73,7.75,7.83,-0.08,-1.0217,67742.8,53098.29
