ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603889.SH,20200110,5.93,6.08,5.93,6.06,5.93,0.13,2.1922,35332.25,21187.524
603889.SH,20200109,5.97,5.99,5.9,5.93,5.93,0.0,0.0,25067.44,14894.804
603889.SH,20200108,5.91,6.06,5.88,5.93,5.92,0.01,0.1689,50502.87,30174.301
603889.SH,20200107,5.85,5.92,5.85,5.92,5.86,0.06,1.0239,23127.73,13635.316
603889.SH,20200106,5.78,5.94,5.78,5.86,5.84,0.02,0.3425,32176.4,18847.191
603889.SH,20200103,5.79,5.86,5.71,5.84,5.79,0.05,0.8636,26005.35,15033.236
603889.SH,20200102,5.74,5.8,5.7,5.79,5.71,0.08,1.4011,26840.75,15443.384
603889.SH,20191231,5.69,5.71,5.66,5.71,5.7,0.01,0.1754,11452.12,6513.416
603889.SH,20191230,5.64,5.73,5.62,5.7,5.67,0.03,0.5291,15010.2,8529.271
603889.SH,20191227,5.68,5.76,5.63,5.67,5.66,0.01,0.1767,12534.37,7140.968
603889.SH,20191226,5.64,5.66,5.57,5.66,5.63,0.03,0.5329,13386.2,7530.786
603889.SH,20191225,5.64,5.68,5.59,5.63,5.63,0.0,0.0,11798.5,6649.377
603889.SH,20191224,5.62,5.67,5.57,5.63,5.62,0.01,0.1779,15539.25,8722.289
603889.SH,20191223,5.8,5.8,5.62,5.62,5.76,-0.14,-2.4306,17396.6,9909.511
603889.SH,20191220,5.85,5.85,5.73,5.76,5.84,-0.08,-1.3699,19560.0,11312.087
603889.SH,20191219,5.8,5.85,5.79,5.84,5.82,0.02,0.3436,17896.3,10415.384
603889.SH,20191218,5.78,5.83,5.76,5.82,5.78,0.04,0.692,26169.42,15177.424
603889.SH,20191217,5.75,5.81,5.7,5.78,5.74,0.04,0.6969,30672.0,17676.083
603889.SH,20191216,5.74,5.77,5.68,5.74,5.7,0.04,0.7018,13696.35,7838.511
603889.SH,20191213,5.69,5.73,5.66,5.7,5.67,0.03,0.5291,13562.1,7714.964
603889.SH,20191212,5.71,5.79,5.65,5.67,5.72,-0.05,-0.8741,11597.0,6599.911
603889.SH,20191211,5.75,5.75,5.69,5.72,5.74,-0.02,-0.3484,9546.8,5447.155
603889.SH,20191210,5.73,5.75,5.67,5.74,5.73,0.01,0.1745,16470.3,9399.839
603889.SH,20191209,5.67,5.75,5.66,5.73,5.71,0.02,0.3503,15373.17,8771.699
603889.SH,20191206,5.7,5.71,5.63,5.71,5.71,0.0,0.0,13218.9,7500.041
603889.SH,20191205,5.64,5.73,5.61,5.71,5.64,0.07,1.2411,16835.5,9540.823
603889.SH,20191204,5.75,5.75,5.62,5.64,5.76,-0.12,-2.0833,17669.9,10013.897
603889.SH,20191203,5.69,5.77,5.65,5.76,5.69,0.07,1.2302,16162.6,9247.586
603889.SH,20191202,5.66,5.74,5.65,5.69,5.66,0.03,0.53,4917.16,2798.649
603889.SH,20191129,5.69,5.73,5.63,5.66,5.67,-0.01,-0.1764,5924.8,3352.315
603889.SH,20191128,5.64,5.68,5.63,5.67,5.65,0.02,0.354,5365.2,3036.36
603889.SH,20191127,5.67,5.68,5.63,5.65,5.65,0.0,0.0,5312.3,3003.22
603889.SH,20191126,5.69,5.75,5.63,5.65,5.71,-0.06,-1.0508,7661.7,4342.576
603889.SH,20191125,5.71,5.77,5.66,5.71,5.71,0.0,0.0,14156.9,8088.919
603889.SH,20191122,5.68,5.73,5.63,5.71,5.67,0.04,0.7055,15442.1,8762.417
603889.SH,20191121,5.58,5.68,5.58,5.67,5.62,0.05,0.8897,18768.57,10616.095
603889.SH,20191120,5.58,5.62,5.54,5.62,5.59,0.03,0.5367,13135.22,7332.138
603889.SH,20191119,5.57,5.61,5.52,5.59,5.55,0.04,0.7207,14681.6,8178.678
603889.SH,20191118,5.53,5.58,5.51,5.55,5.55,0.0,0.0,16020.6,8883.195
603889.SH,20191115,5.6,5.6,5.45,5.55,5.68,-0.13,-2.2887,30152.34,16601.056
603889.SH,20191114,5.59,5.8,5.55,5.68,5.56,0.12,2.1583,52123.23,29655.829
603889.SH,20191113,5.57,5.61,5.53,5.56,5.57,-0.01,-0.1795,7269.2,4034.489
603889.SH,20191112,5.49,5.6,5.46,5.57,5.5,0.07,1.2727,12627.58,6947.01
603889.SH,20191111,5.57,5.59,5.46,5.5,5.59,-0.09,-1.61,15035.2,8287.314
603889.SH,20191108,5.56,5.64,5.55,5.59,5.54,0.05,0.9025,17255.69,9674.326
603889.SH,20191107,5.52,5.56,5.5,5.54,5.52,0.02,0.3623,12704.7,7020.727
603889.SH,20191106,5.57,5.57,5.51,5.52,5.57,-0.05,-0.8977,7551.6,4179.764
603889.SH,20191105,5.56,5.58,5.51,5.57,5.57,0.0,0.0,11933.39,6617.127
603889.SH,20191104,5.59,5.61,5.56,5.57,5.59,-0.02,-0.3578,9080.0,5068.897
603889.SH,20191101,5.57,5.64,5.54,5.59,5.58,0.01,0.1792,15108.4,8435.408
603889.SH,20191031,5.55,5.62,5.55,5.58,5.57,0.01,0.1795,8310.2,4636.72
603889.SH,20191030,5.65,5.65,5.55,5.57,5.64,-0.07,-1.2411,14000.39,7805.784
603889.SH,20191029,5.71,5.71,5.61,5.64,5.7,-0.06,-1.0526,26757.35,15082.958
603889.SH,20191028,5.71,5.72,5.64,5.7,5.7,0.0,0.0,37197.4,21133.93
603889.SH,20191025,5.77,5.77,5.68,5.7,5.74,-0.04,-0.6969,19609.0,11185.822
603889.SH,20191024,5.73,5.79,5.72,5.74,5.77,-0.03,-0.5199,7088.5,4078.503
603889.SH,20191023,5.8,5.81,5.72,5.77,5.81,-0.04,-0.6885,8235.8,4740.862
603889.SH,20191022,5.81,5.81,5.75,5.81,5.79,0.02,0.3454,10738.4,6209.612
603889.SH,20191021,5.81,5.82,5.74,5.79,5.84,-0.05,-0.8562,10284.8,5944.863
603889.SH,20191018,5.91,5.96,5.82,5.84,5.92,-0.08,-1.3514,12948.7,7609.888
603889.SH,20191017,5.9,5.96,5.89,5.92,5.94,-0.02,-0.3367,7236.2,4286.291
603889.SH,20191016,5.96,5.97,5.92,5.94,5.93,0.01,0.1686,10958.5,6520.397
603889.SH,20191015,5.97,5.97,5.92,5.93,5.94,-0.01,-0.1684,11487.71,6821.737
603889.SH,20191014,5.96,6.02,5.91,5.94,5.95,-0.01,-0.1681,29190.37,17432.794
603889.SH,20191011,5.88,5.96,5.88,5.95,5.9,0.05,0.8475,12474.3,7401.239
603889.SH,20191010,5.8,5.9,5.79,5.9,5.8,0.1,1.7241,13716.19,8032.688
603889.SH,20191009,5.8,5.82,5.74,5.8,5.78,0.02,0.346,11981.5,6944.306
603889.SH,20191008,5.74,5.81,5.73,5.78,5.76,0.02,0.3472,7783.31,4502.558
603889.SH,20190930,5.79,5.83,5.74,5.76,5.82,-0.06,-1.0309,7039.55,4067.24
603889.SH,20190927,5.73,5.86,5.73,5.82,5.73,0.09,1.5707,16471.1,9550.52
603889.SH,20190926,5.86,5.87,5.73,5.73,5.83,-0.1,-1.7153,12295.31,7105.157
603889.SH,20190925,6.0,6.0,5.81,5.83,6.01,-0.18,-2.995,23025.7,13547.716
603889.SH,20190924,6.04,6.05,5.99,6.01,6.02,-0.01,-0.1661,13205.2,7942.098
603889.SH,20190923,6.05,6.08,5.99,6.02,6.04,-0.02,-0.3311,12528.09,7550.021
603889.SH,20190920,6.04,6.08,6.01,6.04,6.05,-0.01,-0.1653,9176.19,5546.405
603889.SH,20190919,6.04,6.05,5.97,6.05,6.03,0.02,0.3317,11566.1,6945.95
603889.SH,20190918,6.03,6.07,5.98,6.03,6.02,0.01,0.1661,14365.4,8651.762
603889.SH,20190917,6.25,6.25,6.02,6.02,6.23,-0.21,-3.3708,24119.0,14709.387
603889.SH,20190916,6.25,6.28,6.22,6.23,6.21,0.02,0.3221,20544.56,12820.932
603889.SH,20190912,6.2,6.23,6.15,6.21,6.2,0.01,0.1613,19248.63,11915.283
603889.SH,20190911,6.25,6.28,6.18,6.2,6.18,0.02,0.3236,27863.83,17344.539
603889.SH,20190910,6.22,6.26,6.14,6.18,6.22,-0.04,-0.6431,27235.61,16852.872
603889.SH,20190909,6.39,6.6,6.16,6.22,6.08,0.14,2.3026,56923.2,35563.778
603889.SH,20190906,6.18,6.19,6.06,6.08,6.16,-0.08,-1.2987,23387.16,14284.937
603889.SH,20190905,6.17,6.29,6.15,6.16,6.15,0.01,0.1626,32005.16,19818.317
603889.SH,20190904,6.1,6.21,6.07,6.15,6.11,0.04,0.6547,24302.1,14916.118
603889.SH,20190903,6.12,6.12,6.04,6.11,6.09,0.02,0.3284,17651.36,10768.991
603889.SH,20190902,6.03,6.12,6.0,6.09,6.04,0.05,0.8278,24222.4,14736.226
603889.SH,20190830,6.18,6.25,6.03,6.04,6.19,-0.15,-2.4233,45180.2,27770.438
603889.SH,20190829,6.21,6.36,6.18,6.19,6.21,-0.02,-0.3221,31237.95,19501.486
603889.SH,20190828,6.3,6.32,6.2,6.21,6.33,-0.12,-1.8957,35117.3,21952.173
603889.SH,20190827,6.33,6.47,6.21,6.33,6.38,-0.05,-0.7837,65924.0,41763.676
603889.SH,20190826,5.95,6.65,5.88,6.38,6.05,0.33,5.4545,120935.35,74178.595
603889.SH,20190823,5.94,6.15,5.81,6.05,5.88,0.17,2.8912,68013.55,40634.013
603889.SH,20190822,5.94,6.04,5.85,5.88,5.94,-0.06,-1.0101,28655.4,16915.411
