ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002087.SZ,20200110,3.68,3.68,3.62,3.65,3.66,-0.01,-0.2732,116473.57,42485.099
002087.SZ,20200109,3.62,3.66,3.61,3.66,3.6,0.06,1.6667,134941.51,49156.759
002087.SZ,20200108,3.65,3.66,3.56,3.6,3.67,-0.07,-1.9074,210804.31,76268.41
002087.SZ,20200107,3.6,3.69,3.59,3.67,3.6,0.07,1.9444,219742.1,80193.39
002087.SZ,20200106,3.58,3.63,3.57,3.6,3.6,0.0,0.0,133496.9,48030.518
002087.SZ,20200103,3.6,3.62,3.58,3.6,3.59,0.01,0.2786,113955.83,40987.845
002087.SZ,20200102,3.6,3.63,3.58,3.59,3.57,0.02,0.5602,179774.92,64800.589
002087.SZ,20191231,3.55,3.59,3.53,3.57,3.56,0.01,0.2809,138313.39,49175.523
002087.SZ,20191230,3.48,3.56,3.45,3.56,3.49,0.07,2.0057,159444.02,56138.529
002087.SZ,20191227,3.51,3.54,3.49,3.49,3.51,-0.02,-0.5698,125117.6,44034.915
002087.SZ,20191226,3.48,3.51,3.47,3.51,3.49,0.02,0.5731,77394.3,27031.77
002087.SZ,20191225,3.47,3.5,3.46,3.49,3.48,0.01,0.2874,93293.3,32489.163
002087.SZ,20191224,3.45,3.49,3.45,3.48,3.46,0.02,0.578,73352.93,25442.328
002087.SZ,20191223,3.53,3.54,3.45,3.46,3.53,-0.07,-1.983,129851.0,45429.701
002087.SZ,20191220,3.57,3.58,3.52,3.53,3.57,-0.04,-1.1204,150724.21,53523.66
002087.SZ,20191219,3.53,3.59,3.52,3.57,3.53,0.04,1.1331,156915.52,55855.37
002087.SZ,20191218,3.54,3.56,3.52,3.53,3.54,-0.01,-0.2825,131230.9,46442.624
002087.SZ,20191217,3.51,3.56,3.5,3.54,3.51,0.03,0.8547,202378.51,71363.167
002087.SZ,20191216,3.48,3.52,3.47,3.51,3.48,0.03,0.8621,137235.46,47932.178
002087.SZ,20191213,3.45,3.48,3.44,3.48,3.43,0.05,1.4577,106049.59,36764.432
002087.SZ,20191212,3.43,3.46,3.42,3.43,3.43,0.0,0.0,67810.2,23331.694
002087.SZ,20191211,3.45,3.45,3.42,3.43,3.45,-0.02,-0.5797,71394.5,24528.473
002087.SZ,20191210,3.47,3.47,3.43,3.45,3.47,-0.02,-0.5764,87663.2,30193.762
002087.SZ,20191209,3.47,3.5,3.46,3.47,3.47,0.0,0.0,81116.9,28213.951
002087.SZ,20191206,3.47,3.48,3.45,3.47,3.47,0.0,0.0,62904.7,21792.88
002087.SZ,20191205,3.44,3.47,3.44,3.47,3.44,0.03,0.8721,87183.93,30131.86
002087.SZ,20191204,3.42,3.46,3.42,3.44,3.45,-0.01,-0.2899,60010.14,20627.299
002087.SZ,20191203,3.4,3.45,3.39,3.45,3.42,0.03,0.8772,52864.73,18099.702
002087.SZ,20191202,3.42,3.44,3.41,3.42,3.42,0.0,0.0,51487.2,17618.835
002087.SZ,20191129,3.42,3.44,3.4,3.42,3.44,-0.02,-0.5814,79907.91,27277.584
002087.SZ,20191128,3.43,3.45,3.42,3.44,3.44,0.0,0.0,80903.2,27737.08
002087.SZ,20191127,3.47,3.48,3.43,3.44,3.47,-0.03,-0.8646,85537.51,29599.031
002087.SZ,20191126,3.5,3.5,3.45,3.47,3.5,-0.03,-0.8571,93385.0,32414.48
002087.SZ,20191125,3.45,3.51,3.43,3.5,3.45,0.05,1.4493,147479.71,51343.411
002087.SZ,20191122,3.43,3.49,3.43,3.45,3.44,0.01,0.2907,139178.0,48091.936
002087.SZ,20191121,3.43,3.46,3.4,3.44,3.44,0.0,0.0,98737.58,33876.267
002087.SZ,20191120,3.51,3.52,3.42,3.44,3.51,-0.07,-1.9943,222743.0,77393.148
002087.SZ,20191119,3.5,3.53,3.48,3.51,3.52,-0.01,-0.2841,301208.44,105622.235
002087.SZ,20191118,3.52,3.63,3.46,3.52,3.52,0.0,0.0,326776.17,115261.945
002087.SZ,20191115,3.63,3.64,3.52,3.52,3.65,-0.13,-3.5616,157174.0,56206.612
002087.SZ,20191114,3.64,3.67,3.55,3.65,3.64,0.01,0.2747,198902.9,72116.034
002087.SZ,20191113,3.71,3.71,3.62,3.64,3.72,-0.08,-2.1505,274042.9,99813.609
002087.SZ,20191112,3.73,3.77,3.67,3.72,3.73,-0.01,-0.2681,387084.91,143985.803
002087.SZ,20191111,3.99,4.09,3.73,3.73,4.03,-0.3,-7.4442,410457.35,160577.192
002087.SZ,20191108,4.09,4.11,4.01,4.03,4.11,-0.08,-1.9465,255782.28,103305.33
