ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600516.SH,20200110,12.46,12.47,12.2,12.21,12.43,-0.22,-1.7699,579340.55,712772.545
600516.SH,20200109,12.46,12.58,12.27,12.43,12.31,0.12,0.9748,825710.28,1025777.669
600516.SH,20200108,12.32,12.66,12.22,12.31,12.38,-0.07,-0.5654,1169104.12,1452721.518
600516.SH,20200107,12.13,12.55,11.94,12.38,12.1,0.28,2.314,1203464.11,1469790.935
600516.SH,20200106,12.0,12.29,11.88,12.1,12.18,-0.08,-0.6568,824093.42,998015.179
600516.SH,20200103,12.2,12.33,12.06,12.18,12.22,-0.04,-0.3273,646757.3,787654.379
600516.SH,20200102,12.26,12.36,12.17,12.22,12.16,0.06,0.4934,711075.24,871633.384
600516.SH,20191231,12.36,12.36,12.1,12.16,12.4,-0.24,-1.9355,696841.45,849961.208
600516.SH,20191230,12.27,12.46,12.02,12.4,12.3,0.1,0.813,804583.58,986012.407
600516.SH,20191227,12.16,12.74,12.06,12.3,12.2,0.1,0.8197,1279580.82,1584045.023
600516.SH,20191226,12.05,12.45,11.96,12.2,12.04,0.16,1.3289,985305.43,1207868.056
600516.SH,20191225,11.9,12.09,11.81,12.04,12.01,0.03,0.2498,700207.03,835855.156
600516.SH,20191224,11.6,12.1,11.6,12.01,11.41,0.6,5.2585,1034994.49,1234857.672
600516.SH,20191223,11.77,11.87,11.36,11.41,11.75,-0.34,-2.8936,556480.48,646444.002
600516.SH,20191220,11.92,12.05,11.74,11.75,11.94,-0.19,-1.5913,522278.86,621482.572
600516.SH,20191219,11.96,12.08,11.81,11.94,11.93,0.01,0.0838,559037.43,666168.091
600516.SH,20191218,12.05,12.24,11.89,11.93,12.12,-0.19,-1.5677,942529.68,1135938.982
600516.SH,20191217,11.4,12.48,11.35,12.12,11.4,0.72,6.3158,1476518.87,1768416.788
600516.SH,20191216,11.25,11.43,11.18,11.4,11.22,0.18,1.6043,471442.59,534286.955
600516.SH,20191213,11.2,11.32,11.14,11.22,11.1,0.12,1.0811,376686.35,422679.799
600516.SH,20191212,11.16,11.33,11.1,11.1,11.25,-0.15,-1.3333,359040.13,401454.497
600516.SH,20191211,11.49,11.58,11.21,11.25,11.44,-0.19,-1.6608,508056.2,574544.591
600516.SH,20191210,11.08,11.51,11.03,11.44,11.13,0.31,2.7853,768555.22,871508.854
600516.SH,20191209,11.05,11.25,10.94,11.13,11.0,0.13,1.1818,455402.63,506575.146
600516.SH,20191206,10.95,11.07,10.9,11.0,10.97,0.03,0.2735,259062.69,284237.988
600516.SH,20191205,10.88,11.07,10.86,10.97,10.84,0.13,1.1993,340598.55,373936.234
600516.SH,20191204,10.75,10.87,10.7,10.84,10.82,0.02,0.1848,162743.96,175666.515
