ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601901.SH,20200110,8.59,8.65,8.38,8.42,8.4,0.02,0.2381,629088.68,534572.339
601901.SH,20200109,8.45,8.54,8.35,8.4,8.24,0.16,1.9417,605102.18,510890.803
601901.SH,20200108,8.5,8.55,8.23,8.24,8.63,-0.39,-4.5191,854051.38,717344.115
601901.SH,20200107,8.49,8.65,8.41,8.63,8.49,0.14,1.649,903604.53,769393.368
601901.SH,20200106,8.41,8.7,8.35,8.49,8.59,-0.1,-1.1641,986532.66,839826.84
601901.SH,20200103,8.44,8.75,8.43,8.59,8.54,0.05,0.5855,1056618.97,907630.556
601901.SH,20200102,8.93,8.99,8.53,8.54,8.67,-0.13,-1.4994,1771967.42,1552483.058
601901.SH,20191231,8.9,9.03,8.58,8.67,8.57,0.1,1.1669,2554817.75,2256796.111
601901.SH,20191230,7.69,8.57,7.65,8.57,7.79,0.78,10.0128,1623895.77,1347083.869
601901.SH,20191227,8.11,8.32,7.77,7.79,8.23,-0.44,-5.3463,1313427.57,1059286.458
601901.SH,20191226,7.83,8.31,7.72,8.23,7.85,0.38,4.8408,1274820.98,1014769.208
601901.SH,20191225,7.78,8.06,7.71,7.85,7.93,-0.08,-1.0088,1147786.7,900958.058
601901.SH,20191224,8.19,8.2,7.61,7.93,8.1,-0.17,-2.0988,1538146.62,1203953.31
601901.SH,20191223,7.86,8.59,7.83,8.1,7.81,0.29,3.7132,2722248.32,2248228.662
601901.SH,20191220,7.12,7.81,7.09,7.81,7.1,0.71,10.0,919167.64,699381.244
601901.SH,20191219,7.09,7.14,7.05,7.1,7.12,-0.02,-0.2809,232932.37,165299.097
601901.SH,20191218,7.09,7.2,7.05,7.12,7.12,0.0,0.0,436109.6,310957.428
601901.SH,20191217,6.93,7.32,6.9,7.12,6.94,0.18,2.5937,657904.71,468690.17
601901.SH,20191216,6.85,6.97,6.75,6.94,6.86,0.08,1.1662,446984.02,307725.376
601901.SH,20191213,6.7,6.94,6.7,6.86,6.65,0.21,3.1579,564421.17,384010.831
