ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002953.SZ,20200110,20.36,20.63,20.23,20.51,20.29,0.22,1.0843,22976.91,46943.65
002953.SZ,20200109,20.2,20.32,20.16,20.29,20.02,0.27,1.3487,15320.95,31009.533
002953.SZ,20200108,20.54,20.54,20.0,20.02,20.63,-0.61,-2.9569,26604.35,53810.156
002953.SZ,20200107,20.54,20.71,20.45,20.63,20.54,0.09,0.4382,23283.45,47889.802
002953.SZ,20200106,20.52,20.68,20.33,20.54,20.76,-0.22,-1.0597,35983.74,73790.525
002953.SZ,20200103,20.26,20.85,20.0,20.76,20.18,0.58,2.8741,38975.21,79558.63
002953.SZ,20200102,20.1,20.36,20.04,20.18,20.02,0.16,0.7992,25781.45,52126.99
002953.SZ,20191231,20.15,20.23,19.9,20.02,20.21,-0.19,-0.9401,19577.27,39204.023
002953.SZ,20191230,19.73,20.25,19.6,20.21,19.77,0.44,2.2256,25162.49,50463.75
002953.SZ,20191227,20.16,20.25,19.7,19.77,20.16,-0.39,-1.9345,20945.0,41901.999
002953.SZ,20191226,19.94,20.18,19.94,20.16,20.04,0.12,0.5988,19354.77,38867.315
002953.SZ,20191225,19.79,20.35,19.7,20.04,19.69,0.35,1.7776,28418.11,57163.792
002953.SZ,20191224,19.43,19.78,19.31,19.69,19.24,0.45,2.3389,16145.71,31611.177
002953.SZ,20191223,19.72,19.82,19.18,19.24,19.86,-0.62,-3.1219,20907.72,40793.471
002953.SZ,20191220,20.06,20.24,19.86,19.86,20.05,-0.19,-0.9476,17387.54,34907.219
002953.SZ,20191219,20.05,20.27,19.9,20.05,20.23,-0.18,-0.8898,22313.99,44769.774
002953.SZ,20191218,19.84,20.45,19.76,20.23,19.94,0.29,1.4544,35729.82,71967.712
002953.SZ,20191217,19.75,20.18,19.52,19.94,19.66,0.28,1.4242,38004.61,75374.138
002953.SZ,20191216,19.34,19.75,19.33,19.66,19.33,0.33,1.7072,26830.9,52552.9
002953.SZ,20191213,19.21,19.56,19.21,19.33,19.21,0.12,0.6247,17224.45,33334.23
002953.SZ,20191212,19.32,19.5,19.19,19.21,19.21,0.0,0.0,22152.34,42807.65
