ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002520.SZ,20200110,7.6,7.64,7.44,7.62,7.59,0.03,0.3953,33635.48,25358.173
002520.SZ,20200109,7.48,7.65,7.43,7.59,7.49,0.1,1.3351,56999.53,43011.341
002520.SZ,20200108,7.39,7.84,7.33,7.49,7.39,0.1,1.3532,103911.48,78771.068
002520.SZ,20200107,7.08,7.51,7.05,7.39,7.07,0.32,4.5262,107849.41,78761.573
002520.SZ,20200106,6.76,7.12,6.74,7.07,6.81,0.26,3.8179,68340.51,47859.398
002520.SZ,20200103,6.96,6.96,6.78,6.81,6.82,-0.01,-0.1466,29100.17,19862.356
002520.SZ,20200102,6.73,6.82,6.7,6.82,6.71,0.11,1.6393,27158.65,18403.219
002520.SZ,20191231,6.76,6.77,6.61,6.71,6.72,-0.01,-0.1488,17510.42,11765.673
002520.SZ,20191230,6.58,6.8,6.55,6.72,6.62,0.1,1.5106,30079.56,20176.513
002520.SZ,20191227,6.8,6.84,6.62,6.62,6.8,-0.18,-2.6471,37319.22,25091.902
002520.SZ,20191226,6.79,6.83,6.73,6.8,6.79,0.01,0.1473,25839.22,17502.327
002520.SZ,20191225,6.81,6.85,6.72,6.79,6.91,-0.12,-1.7366,37030.85,25105.696
002520.SZ,20191224,6.96,6.96,6.7,6.91,7.14,-0.23,-3.2213,72082.06,49414.396
002520.SZ,20191223,6.76,7.24,6.71,7.14,6.85,0.29,4.2336,161186.4,114214.797
002520.SZ,20191220,6.61,6.85,6.54,6.85,6.61,0.24,3.6309,31513.45,20965.872
002520.SZ,20191219,6.61,6.66,6.57,6.61,6.61,0.0,0.0,11624.69,7678.652
002520.SZ,20191218,6.61,6.74,6.57,6.61,6.61,0.0,0.0,28866.29,19159.931
002520.SZ,20191217,6.54,6.64,6.54,6.61,6.59,0.02,0.3035,37274.11,24582.667
002520.SZ,20191216,6.45,6.62,6.4,6.59,6.46,0.13,2.0124,31368.55,20469.91
002520.SZ,20191213,6.36,6.48,6.35,6.46,6.35,0.11,1.7323,20149.8,12960.742
002520.SZ,20191212,6.25,6.35,6.25,6.35,6.27,0.08,1.2759,13928.47,8805.471
002520.SZ,20191211,6.33,6.33,6.25,6.27,6.33,-0.06,-0.9479,9281.25,5825.068
002520.SZ,20191210,6.31,6.35,6.25,6.33,6.34,-0.01,-0.1577,12227.51,7688.955
002520.SZ,20191209,6.35,6.4,6.33,6.34,6.31,0.03,0.4754,14109.5,8969.286
002520.SZ,20191206,6.29,6.33,6.26,6.31,6.3,0.01,0.1587,12553.39,7905.015
002520.SZ,20191205,6.26,6.31,6.22,6.3,6.24,0.06,0.9615,15801.0,9894.659
002520.SZ,20191204,6.25,6.27,6.14,6.24,6.25,-0.01,-0.16,11067.5,6897.827
002520.SZ,20191203,6.21,6.28,6.19,6.25,6.24,0.01,0.1603,10520.89,6549.898
002520.SZ,20191202,6.25,6.29,6.22,6.24,6.27,-0.03,-0.4785,7830.5,4898.004
002520.SZ,20191129,6.25,6.37,6.19,6.27,6.25,0.02,0.32,10217.0,6385.713
002520.SZ,20191128,6.35,6.39,6.24,6.25,6.35,-0.1,-1.5748,13447.78,8478.056
002520.SZ,20191127,6.44,6.44,6.33,6.35,6.44,-0.09,-1.3975,12088.08,7712.629
002520.SZ,20191126,6.48,6.49,6.41,6.44,6.46,-0.02,-0.3096,10355.5,6670.454
002520.SZ,20191125,6.43,6.53,6.42,6.46,6.44,0.02,0.3106,10539.41,6813.758
002520.SZ,20191122,6.59,6.62,6.43,6.44,6.55,-0.11,-1.6794,16442.5,10698.421
002520.SZ,20191121,6.67,6.67,6.52,6.55,6.67,-0.12,-1.7991,12973.75,8547.82
002520.SZ,20191120,6.59,6.9,6.58,6.67,6.59,0.08,1.214,20548.5,13681.168
002520.SZ,20191119,6.52,6.6,6.51,6.59,6.52,0.07,1.0736,8424.5,5526.307
002520.SZ,20191118,6.53,6.59,6.51,6.52,6.53,-0.01,-0.1531,8413.25,5497.798
002520.SZ,20191115,6.62,6.63,6.53,6.53,6.62,-0.09,-1.3595,5835.0,3836.948
