ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002313.SZ,20200110,20.91,20.95,20.29,20.52,20.84,-0.32,-1.5355,58992.19,121544.223
002313.SZ,20200109,20.75,20.99,20.6,20.84,20.67,0.17,0.8224,60861.98,126494.698
002313.SZ,20200108,20.7,21.05,20.48,20.67,20.8,-0.13,-0.625,62753.48,130075.561
002313.SZ,20200107,20.43,20.98,20.26,20.8,20.48,0.32,1.5625,55305.1,114379.21
002313.SZ,20200106,20.38,20.6,20.2,20.48,20.38,0.1,0.4907,56126.21,114518.524
002313.SZ,20200103,20.47,20.83,20.29,20.38,20.29,0.09,0.4436,52514.65,107845.824
002313.SZ,20200102,19.92,20.41,19.82,20.29,19.8,0.49,2.4747,47143.01,94988.632
002313.SZ,20191231,19.74,20.19,19.62,19.8,19.78,0.02,0.1011,38334.88,75988.065
002313.SZ,20191230,19.8,19.87,19.38,19.78,19.84,-0.06,-0.3024,29372.91,57638.444
002313.SZ,20191227,20.25,20.53,19.76,19.84,20.3,-0.46,-2.266,47733.39,95887.432
002313.SZ,20191226,20.39,20.99,20.12,20.3,20.08,0.22,1.0956,56193.91,115080.588
002313.SZ,20191225,20.13,20.26,19.93,20.08,20.12,-0.04,-0.1988,32396.0,65048.835
002313.SZ,20191224,19.98,20.3,19.8,20.12,19.97,0.15,0.7511,34317.93,68756.143
002313.SZ,20191223,20.6,20.77,19.81,19.97,20.43,-0.46,-2.2516,48547.49,98438.923
002313.SZ,20191220,20.98,20.98,20.42,20.43,20.86,-0.43,-2.0614,42742.5,88187.1
002313.SZ,20191219,20.88,21.22,20.62,20.86,20.96,-0.1,-0.4771,48463.17,101221.751
002313.SZ,20191218,20.35,21.11,20.27,20.96,20.38,0.58,2.8459,90467.59,188111.265
002313.SZ,20191217,20.28,20.8,20.28,20.38,20.4,-0.02,-0.098,83146.19,170332.733
002313.SZ,20191216,19.77,20.57,19.77,20.4,19.71,0.69,3.5008,88305.69,179037.597
002313.SZ,20191213,18.96,19.74,18.88,19.71,18.86,0.85,4.5069,74472.88,144148.088
002313.SZ,20191212,18.93,19.1,18.73,18.86,18.94,-0.08,-0.4224,36375.4,68801.259
002313.SZ,20191211,19.43,19.45,18.88,18.94,19.32,-0.38,-1.9669,32772.03,62430.457
002313.SZ,20191210,19.35,19.47,19.12,19.32,19.37,-0.05,-0.2581,39768.0,76702.261
002313.SZ,20191209,19.45,19.62,19.2,19.37,19.33,0.04,0.2069,31471.93,60905.098
002313.SZ,20191206,19.19,19.34,19.02,19.33,19.25,0.08,0.4156,31306.43,60211.472
002313.SZ,20191205,18.93,19.35,18.91,19.25,18.81,0.44,2.3392,42416.58,81365.694
002313.SZ,20191204,18.79,19.07,18.7,18.81,18.96,-0.15,-0.7911,20012.83,37734.402
002313.SZ,20191203,18.88,18.97,18.65,18.96,18.9,0.06,0.3175,22189.25,41717.777
002313.SZ,20191202,18.95,19.1,18.68,18.9,18.92,-0.02,-0.1057,25152.48,47439.555
002313.SZ,20191129,18.25,18.92,18.19,18.92,18.25,0.67,3.6712,38802.16,72376.196
002313.SZ,20191128,18.45,18.65,18.19,18.25,18.56,-0.31,-1.6703,27787.72,51098.157
002313.SZ,20191127,18.66,18.84,18.47,18.56,18.78,-0.22,-1.1715,28258.45,52702.686
