ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603755.SH,20200110,47.57,47.79,46.85,47.15,47.4,-0.25,-0.5274,6677.21,31575.762
603755.SH,20200109,46.4,47.5,46.39,47.4,46.33,1.07,2.3095,10164.0,47833.127
603755.SH,20200108,47.33,47.34,46.33,46.33,47.69,-1.36,-2.8518,9429.81,44008.023
603755.SH,20200107,47.99,48.07,47.32,47.69,48.09,-0.4,-0.8318,9104.37,43225.303
603755.SH,20200106,49.2,49.2,47.15,48.09,49.2,-1.11,-2.2561,16412.34,78499.38
603755.SH,20200103,49.26,49.56,48.32,49.2,49.27,-0.07,-0.1421,6681.85,32636.744
603755.SH,20200102,48.75,49.65,48.23,49.27,48.61,0.66,1.3577,9260.48,45459.313
603755.SH,20191231,49.09,49.3,47.73,48.61,49.16,-0.55,-1.1188,12811.66,61892.29
603755.SH,20191230,50.5,51.3,49.03,49.16,50.02,-0.86,-1.7193,11942.38,59631.686
603755.SH,20191227,47.16,51.51,47.16,50.02,47.16,2.86,6.0645,16983.36,83675.599
603755.SH,20191226,46.22,47.2,46.2,47.16,46.31,0.85,1.8355,5723.8,26798.862
603755.SH,20191225,47.2,47.7,46.18,46.31,47.54,-1.23,-2.5873,8238.44,38332.666
603755.SH,20191224,47.29,48.2,47.22,47.54,47.75,-0.21,-0.4398,8617.01,41177.034
603755.SH,20191223,46.59,48.25,46.03,47.75,47.3,0.45,0.9514,8565.79,40298.943
603755.SH,20191220,47.8,48.48,47.08,47.3,47.8,-0.5,-1.046,6495.37,31041.618
603755.SH,20191219,48.0,48.0,46.96,47.8,47.99,-0.19,-0.3959,5969.98,28279.108
603755.SH,20191218,48.16,48.41,47.68,47.99,48.1,-0.11,-0.2287,6375.14,30591.192
603755.SH,20191217,47.75,48.88,47.4,48.1,47.91,0.19,0.3966,9616.09,46293.398
603755.SH,20191216,46.47,47.99,46.12,47.91,46.38,1.53,3.2988,8532.2,40352.295
603755.SH,20191213,45.78,46.5,45.66,46.38,45.54,0.84,1.8445,7164.48,33046.27
603755.SH,20191212,46.49,46.49,45.3,45.54,46.54,-1.0,-2.1487,8178.0,37301.489
603755.SH,20191211,46.34,46.75,45.81,46.54,46.32,0.22,0.475,5107.2,23676.165
603755.SH,20191210,46.25,46.65,45.91,46.32,46.38,-0.06,-0.1294,4766.94,22085.787
603755.SH,20191209,47.78,47.78,46.25,46.38,47.53,-1.15,-2.4195,6819.74,31825.728
603755.SH,20191206,48.0,48.44,47.18,47.53,48.19,-0.66,-1.3696,6343.09,30205.94
603755.SH,20191205,47.3,48.54,46.78,48.19,46.84,1.35,2.8822,10081.2,48076.809
603755.SH,20191204,46.3,48.18,46.3,46.84,46.76,0.08,0.1711,9364.29,44396.634
