ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300503.SZ,20200110,12.18,12.5,12.0,12.38,12.25,0.13,1.0612,115979.75,142983.848
300503.SZ,20200109,12.0,12.3,11.87,12.25,11.97,0.28,2.3392,139650.31,169032.22
300503.SZ,20200108,11.55,12.03,11.46,11.97,11.55,0.42,3.6364,118988.1,141407.346
300503.SZ,20200107,11.39,11.6,11.35,11.55,11.36,0.19,1.6725,33611.35,38577.911
300503.SZ,20200106,11.4,11.44,11.31,11.36,11.36,0.0,0.0,16685.5,18975.961
300503.SZ,20200103,11.44,11.51,11.22,11.36,11.49,-0.13,-1.1314,25585.0,28966.948
300503.SZ,20200102,11.71,11.98,11.36,11.49,11.77,-0.28,-2.3789,98596.5,114782.386
300503.SZ,20191231,11.47,11.89,11.36,11.77,11.41,0.36,3.1551,82027.41,95758.525
300503.SZ,20191230,10.99,11.5,10.98,11.41,11.1,0.31,2.7928,45756.5,52079.902
300503.SZ,20191227,11.19,11.28,11.0,11.1,11.22,-0.12,-1.0695,34311.0,38223.003
300503.SZ,20191226,11.3,11.49,11.2,11.22,11.25,-0.03,-0.2667,59862.79,67550.679
300503.SZ,20191225,11.15,11.26,11.02,11.25,11.19,0.06,0.5362,35796.1,39854.057
300503.SZ,20191224,11.22,11.35,11.07,11.19,11.26,-0.07,-0.6217,25362.29,28433.15
300503.SZ,20191223,11.14,11.35,11.14,11.26,11.11,0.15,1.3501,43746.0,49202.07
300503.SZ,20191220,11.28,11.28,11.08,11.11,11.29,-0.18,-1.5943,41351.0,46246.266
300503.SZ,20191219,11.37,11.78,11.19,11.29,11.38,-0.09,-0.7909,84671.75,96602.877
300503.SZ,20191218,11.16,11.53,11.15,11.38,11.18,0.2,1.7889,88987.79,101128.059
300503.SZ,20191217,11.04,11.33,11.02,11.18,11.04,0.14,1.2681,92853.29,103467.624
300503.SZ,20191216,10.93,11.2,10.82,11.04,10.92,0.12,1.0989,59390.5,65264.848
300503.SZ,20191213,11.04,11.15,10.85,10.92,11.0,-0.08,-0.7273,60447.5,66671.31
300503.SZ,20191212,10.95,11.22,10.92,11.0,11.0,0.0,0.0,91045.0,100771.008
300503.SZ,20191211,10.89,11.05,10.75,11.0,10.83,0.17,1.5697,104194.5,113428.652
300503.SZ,20191210,10.8,10.87,10.61,10.83,10.77,0.06,0.5571,71753.5,76920.059
300503.SZ,20191209,10.36,10.83,10.28,10.77,10.31,0.46,4.4617,64990.0,69078.407
300503.SZ,20191206,10.25,10.34,10.1,10.31,10.25,0.06,0.5854,22223.5,22725.071
300503.SZ,20191205,10.27,10.39,10.22,10.25,10.26,-0.01,-0.0975,15804.0,16252.201
300503.SZ,20191204,10.24,10.27,10.18,10.26,10.23,0.03,0.2933,15836.25,16211.464
300503.SZ,20191203,10.21,10.24,10.08,10.23,10.21,0.02,0.1959,21602.5,21944.273
