ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601677.SH,20200110,11.57,11.74,11.28,11.4,11.56,-0.16,-1.3841,92272.72,105920.447
601677.SH,20200109,11.38,11.65,11.37,11.56,11.31,0.25,2.2104,100500.84,115835.537
601677.SH,20200108,11.51,11.54,11.3,11.31,11.54,-0.23,-1.9931,44872.86,51203.924
601677.SH,20200107,11.55,11.63,11.44,11.54,11.53,0.01,0.0867,50450.7,58140.99
601677.SH,20200106,11.4,11.6,11.35,11.53,11.44,0.09,0.7867,59140.97,68071.719
601677.SH,20200103,11.47,11.53,11.37,11.44,11.49,-0.05,-0.4352,57813.44,66170.588
601677.SH,20200102,11.63,11.64,11.46,11.49,11.53,-0.04,-0.3469,71582.8,82501.159
601677.SH,20191231,11.43,11.61,11.33,11.53,11.44,0.09,0.7867,76400.56,87725.446
601677.SH,20191230,11.06,11.5,11.06,11.44,11.16,0.28,2.509,81366.62,92160.379
601677.SH,20191227,11.28,11.34,11.13,11.16,11.18,-0.02,-0.1789,57403.55,64470.904
601677.SH,20191226,11.14,11.22,10.98,11.18,11.12,0.06,0.5396,56239.72,62624.969
601677.SH,20191225,10.98,11.2,10.88,11.12,10.95,0.17,1.5525,60657.04,66664.403
601677.SH,20191224,10.93,11.01,10.85,10.95,10.92,0.03,0.2747,65367.53,71442.504
601677.SH,20191223,11.05,11.08,10.9,10.92,11.04,-0.12,-1.087,29099.58,32012.127
601677.SH,20191220,11.12,11.23,11.03,11.04,11.09,-0.05,-0.4509,37650.84,41870.358
601677.SH,20191219,11.09,11.13,10.98,11.09,11.08,0.01,0.0903,43181.84,47684.718
601677.SH,20191218,10.93,11.2,10.93,11.08,10.89,0.19,1.7447,81014.6,89766.164
601677.SH,20191217,10.82,11.0,10.8,10.89,10.84,0.05,0.4613,103064.31,112187.501
601677.SH,20191216,10.82,10.84,10.75,10.84,10.81,0.03,0.2775,36878.85,39810.617
601677.SH,20191213,10.75,10.81,10.65,10.81,10.69,0.12,1.1225,23561.25,25344.866
601677.SH,20191212,10.73,10.77,10.65,10.69,10.75,-0.06,-0.5581,22923.0,24537.619
601677.SH,20191211,10.82,10.85,10.73,10.75,10.81,-0.06,-0.555,16480.15,17767.005
601677.SH,20191210,10.8,10.87,10.74,10.81,10.8,0.01,0.0926,21646.15,23418.445
601677.SH,20191209,10.7,10.84,10.68,10.8,10.67,0.13,1.2184,36003.2,38747.496
601677.SH,20191206,10.79,10.79,10.6,10.67,10.73,-0.06,-0.5592,27732.65,29532.485
601677.SH,20191205,10.6,10.8,10.58,10.73,10.58,0.15,1.4178,36511.53,39179.919
601677.SH,20191204,10.6,10.68,10.52,10.58,10.56,0.02,0.1894,26920.01,28529.522
601677.SH,20191203,10.72,10.72,10.53,10.56,10.74,-0.18,-1.676,36745.0,38872.241
601677.SH,20191202,10.76,10.83,10.64,10.74,10.75,-0.01,-0.093,19294.48,20681.744
601677.SH,20191129,10.74,10.84,10.66,10.75,10.67,0.08,0.7498,23010.34,24727.174
601677.SH,20191128,10.77,10.87,10.65,10.67,10.9,-0.23,-2.1101,25116.55,27000.72
601677.SH,20191127,10.83,10.93,10.74,10.9,10.8,0.1,0.9259,34870.85,37842.954
601677.SH,20191126,11.09,11.16,10.8,10.8,11.16,-0.36,-3.2258,42979.24,46953.463
601677.SH,20191125,10.81,11.16,10.74,11.16,10.74,0.42,3.9106,51960.24,57040.357
601677.SH,20191122,10.83,11.01,10.72,10.74,10.82,-0.08,-0.7394,27410.91,29802.26
601677.SH,20191121,10.97,10.97,10.74,10.82,10.89,-0.07,-0.6428,24098.81,26141.333
601677.SH,20191120,10.86,10.99,10.78,10.89,10.86,0.03,0.2762,30177.65,32957.187
601677.SH,20191119,10.8,10.89,10.65,10.86,10.78,0.08,0.7421,26321.0,28479.682
601677.SH,20191118,10.3,10.86,10.3,10.78,10.35,0.43,4.1546,44598.28,47681.752
601677.SH,20191115,10.63,10.67,10.35,10.35,10.64,-0.29,-2.7256,30391.76,31697.306
601677.SH,20191114,10.63,10.72,10.53,10.64,10.6,0.04,0.3774,16598.02,17671.158
601677.SH,20191113,10.8,10.8,10.5,10.6,10.78,-0.18,-1.6698,27434.91,29069.764
601677.SH,20191112,10.7,10.82,10.64,10.78,10.65,0.13,1.2207,27800.62,29773.565
601677.SH,20191111,10.71,10.82,10.61,10.65,10.8,-0.15,-1.3889,35759.76,38271.81
601677.SH,20191108,11.0,11.07,10.74,10.8,10.95,-0.15,-1.3699,43531.14,47342.376
601677.SH,20191107,11.09,11.09,10.85,10.95,11.03,-0.08,-0.7253,43352.13,47489.887
601677.SH,20191106,11.1,11.23,10.95,11.03,11.12,-0.09,-0.8094,36193.85,40185.215
601677.SH,20191105,11.3,11.38,10.94,11.12,11.27,-0.15,-1.331,57269.64,63531.045
601677.SH,20191104,11.23,11.43,11.19,11.27,11.23,0.04,0.3562,49189.71,55472.054
601677.SH,20191101,11.27,11.38,11.12,11.23,11.25,-0.02,-0.1778,50110.43,56381.264
601677.SH,20191031,11.6,11.6,11.16,11.25,11.55,-0.3,-2.5974,52312.67,59078.204
601677.SH,20191030,11.55,11.64,11.31,11.55,11.56,-0.01,-0.0865,50815.84,58288.542
601677.SH,20191029,11.73,11.74,11.5,11.56,11.73,-0.17,-1.4493,40102.9,46465.096
601677.SH,20191028,11.41,11.76,11.38,11.73,11.54,0.19,1.6464,69773.6,81147.973
601677.SH,20191025,11.14,11.56,11.12,11.54,11.12,0.42,3.777,77146.43,88111.124
601677.SH,20191024,11.2,11.29,11.0,11.12,11.2,-0.08,-0.7143,43475.61,48199.19
601677.SH,20191023,11.35,11.48,11.14,11.2,11.35,-0.15,-1.3216,52818.16,59698.103
601677.SH,20191022,10.86,11.44,10.78,11.35,10.75,0.6,5.5814,83518.12,93715.136
601677.SH,20191021,11.16,11.19,10.61,10.75,11.17,-0.42,-3.7601,57340.73,62135.159
601677.SH,20191018,11.42,11.52,11.05,11.17,11.46,-0.29,-2.5305,53602.01,60549.695
601677.SH,20191017,10.88,11.65,10.88,11.46,10.9,0.56,5.1376,77829.53,88403.726
601677.SH,20191016,11.01,11.09,10.9,10.9,11.04,-0.14,-1.2681,28476.29,31281.52
601677.SH,20191015,11.38,11.45,10.93,11.04,11.2,-0.16,-1.4286,59120.45,65434.772
601677.SH,20191014,11.03,11.2,10.93,11.2,10.97,0.23,2.0966,30870.18,34123.35
601677.SH,20191011,10.84,11.06,10.75,10.97,10.78,0.19,1.7625,27457.91,30035.816
601677.SH,20191010,10.85,10.89,10.65,10.78,10.81,-0.03,-0.2775,25896.96,27939.165
601677.SH,20191009,10.6,10.84,10.49,10.81,10.58,0.23,2.1739,29552.84,31704.939
601677.SH,20191008,10.69,10.75,10.24,10.58,10.67,-0.09,-0.8435,27221.99,28764.299
601677.SH,20190930,10.68,10.86,10.62,10.67,10.74,-0.07,-0.6518,14699.39,15750.827
601677.SH,20190927,10.6,10.8,10.56,10.74,10.6,0.14,1.3208,19105.68,20449.565
601677.SH,20190926,10.79,10.79,10.55,10.6,10.71,-0.11,-1.0271,24600.62,26173.9
