ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300648.SZ,20200110,17.45,17.85,17.18,17.21,17.75,-0.54,-3.0423,56560.0,98247.09
300648.SZ,20200109,18.44,18.75,17.6,17.75,18.06,-0.31,-1.7165,132551.11,240762.824
300648.SZ,20200108,16.25,18.06,16.21,18.06,16.42,1.64,9.9878,42661.72,75597.458
300648.SZ,20200107,16.26,16.49,16.1,16.42,16.24,0.18,1.1084,25851.04,42165.156
300648.SZ,20200106,16.06,16.5,15.83,16.24,16.0,0.24,1.5,33841.09,54912.417
300648.SZ,20200103,16.06,16.07,15.77,16.0,16.03,-0.03,-0.1871,22899.28,36487.446
300648.SZ,20200102,15.98,16.16,15.91,16.03,15.9,0.13,0.8176,23321.0,37435.62
300648.SZ,20191231,15.95,16.08,15.8,15.9,15.87,0.03,0.189,16211.0,25825.172
300648.SZ,20191230,15.87,16.0,15.5,15.87,16.07,-0.2,-1.2446,27516.0,43321.79
300648.SZ,20191227,16.17,16.59,15.88,16.07,16.1,-0.03,-0.1863,43607.82,70636.166
300648.SZ,20191226,15.78,16.39,15.76,16.1,15.73,0.37,2.3522,35123.78,56515.314
300648.SZ,20191225,15.84,15.89,15.62,15.73,15.9,-0.17,-1.0692,20821.01,32757.41
300648.SZ,20191224,15.3,16.07,15.15,15.9,15.13,0.77,5.0892,31684.41,49640.953
300648.SZ,20191223,15.63,15.69,14.89,15.13,15.64,-0.51,-3.2609,15563.0,23923.694
300648.SZ,20191220,15.98,16.0,15.6,15.64,15.94,-0.3,-1.8821,15223.36,23977.206
300648.SZ,20191219,15.82,15.95,15.7,15.94,15.87,0.07,0.4411,14512.0,22961.507
300648.SZ,20191218,15.78,15.99,15.71,15.87,15.78,0.09,0.5703,17224.0,27285.205
300648.SZ,20191217,15.6,16.08,15.6,15.78,15.63,0.15,0.9597,24823.0,39366.157
300648.SZ,20191216,15.61,15.68,15.47,15.63,15.51,0.12,0.7737,14221.95,22166.876
300648.SZ,20191213,15.37,15.66,15.31,15.51,15.24,0.27,1.7717,13930.28,21517.862
300648.SZ,20191212,15.3,15.43,15.22,15.24,15.29,-0.05,-0.327,9932.0,15222.938
300648.SZ,20191211,15.46,15.53,15.27,15.29,15.42,-0.13,-0.8431,10210.0,15715.133
300648.SZ,20191210,15.28,15.54,15.25,15.42,15.35,0.07,0.456,14122.0,21752.344
300648.SZ,20191209,15.2,15.58,15.2,15.35,15.28,0.07,0.4581,12173.0,18752.028
300648.SZ,20191206,15.29,15.38,15.12,15.28,15.21,0.07,0.4602,12072.0,18422.297
300648.SZ,20191205,14.94,15.28,14.94,15.21,14.98,0.23,1.5354,15006.0,22754.518
300648.SZ,20191204,14.75,15.15,14.75,14.98,14.88,0.1,0.672,11282.0,16870.113
300648.SZ,20191203,14.75,14.9,14.61,14.88,14.77,0.11,0.7448,9855.5,14533.745
300648.SZ,20191202,14.7,14.8,14.61,14.77,14.7,0.07,0.4762,7738.5,11387.4
300648.SZ,20191129,14.74,14.84,14.55,14.7,14.79,-0.09,-0.6085,6621.5,9744.453
300648.SZ,20191128,14.8,14.9,14.7,14.79,14.78,0.01,0.0677,8120.5,11991.353
300648.SZ,20191127,15.0,15.08,14.7,14.78,15.1,-0.32,-2.1192,12181.0,18110.604
300648.SZ,20191126,14.7,15.4,14.7,15.1,14.81,0.29,1.9581,16336.0,24630.584
300648.SZ,20191125,15.19,15.2,14.7,14.81,15.25,-0.44,-2.8852,17431.0,25877.745
300648.SZ,20191122,14.97,15.58,14.91,15.25,14.97,0.28,1.8704,23007.0,35281.359
300648.SZ,20191121,15.0,15.2,14.85,14.97,15.04,-0.07,-0.4654,7338.0,11026.4
300648.SZ,20191120,15.2,15.39,14.98,15.04,15.25,-0.21,-1.377,9961.0,15106.931
300648.SZ,20191119,15.03,15.27,15.0,15.25,15.02,0.23,1.5313,11145.0,16911.017
300648.SZ,20191118,15.01,15.21,14.96,15.02,15.01,0.01,0.0666,7257.0,10916.362
300648.SZ,20191115,15.21,15.29,14.99,15.01,15.33,-0.32,-2.0874,11126.0,16821.902
300648.SZ,20191114,15.0,15.48,14.7,15.33,15.09,0.24,1.5905,19440.0,29352.55
300648.SZ,20191113,15.49,15.49,15.05,15.09,15.2,-0.11,-0.7237,7726.0,11742.896
300648.SZ,20191112,15.16,15.34,15.02,15.2,15.09,0.11,0.729,10997.0,16707.469
300648.SZ,20191111,15.54,15.66,15.03,15.09,15.68,-0.59,-3.7628,15651.0,23802.979
300648.SZ,20191108,15.77,15.92,15.61,15.68,15.73,-0.05,-0.3179,10354.0,16312.788
300648.SZ,20191107,15.78,15.97,15.57,15.73,15.98,-0.25,-1.5645,15641.82,24598.777
300648.SZ,20191106,15.98,16.46,15.87,15.98,16.07,-0.09,-0.56,24660.82,39868.292
300648.SZ,20191105,15.6,16.16,15.52,16.07,15.57,0.5,3.2113,22594.82,35877.582
300648.SZ,20191104,15.75,15.96,15.51,15.57,15.7,-0.13,-0.828,9529.0,14981.316
300648.SZ,20191101,15.69,15.86,15.45,15.7,15.83,-0.13,-0.8212,11279.0,17654.841
300648.SZ,20191031,15.87,16.07,15.8,15.83,15.87,-0.04,-0.252,12042.0,19176.172
300648.SZ,20191030,16.34,16.34,15.81,15.87,16.29,-0.42,-2.5783,15384.26,24545.699
300648.SZ,20191029,16.48,16.68,16.29,16.29,16.56,-0.27,-1.6304,15719.26,25746.302
300648.SZ,20191028,16.38,16.58,16.3,16.56,16.4,0.16,0.9756,16593.64,27324.556
300648.SZ,20191025,16.21,16.47,16.21,16.4,16.41,-0.01,-0.0609,15126.0,24717.693
300648.SZ,20191024,16.58,16.84,16.21,16.41,17.08,-0.67,-3.9227,43815.0,72326.336
300648.SZ,20191023,16.5,18.25,16.34,17.08,16.62,0.46,2.7677,61216.0,106094.343
300648.SZ,20191022,15.96,16.64,15.96,16.62,16.09,0.53,3.294,23575.0,38562.879
300648.SZ,20191021,16.1,16.17,15.85,16.09,15.88,0.21,1.3224,11103.0,17807.353
300648.SZ,20191018,16.4,16.44,15.81,15.88,16.33,-0.45,-2.7557,17844.26,28701.436
300648.SZ,20191017,16.5,16.59,16.25,16.33,16.39,-0.06,-0.3661,13103.0,21504.421
300648.SZ,20191016,16.85,16.95,16.39,16.39,16.85,-0.46,-2.73,23983.0,39714.52
300648.SZ,20191015,17.05,17.05,16.6,16.85,17.06,-0.21,-1.2309,17658.64,29603.853
300648.SZ,20191014,16.87,17.09,16.87,17.06,16.78,0.28,1.6687,18538.64,31573.292
300648.SZ,20191011,17.1,17.1,16.5,16.78,17.07,-0.29,-1.6989,17574.64,29631.274
300648.SZ,20191010,17.08,17.2,16.88,17.07,16.83,0.24,1.426,17787.0,30231.634
300648.SZ,20191009,16.67,16.85,16.53,16.83,16.67,0.16,0.9598,12272.0,20603.372
300648.SZ,20191008,16.68,16.95,16.67,16.67,16.68,-0.01,-0.06,12754.0,21408.679
300648.SZ,20190930,16.98,16.99,16.64,16.68,16.95,-0.27,-1.5929,14377.04,24078.198
300648.SZ,20190927,16.8,16.99,16.57,16.95,16.73,0.22,1.315,17855.0,30135.12
300648.SZ,20190926,17.22,17.5,16.7,16.73,17.11,-0.38,-2.2209,30625.99,52238.624
300648.SZ,20190925,17.59,17.81,17.11,17.11,17.9,-0.79,-4.4134,35824.25,62199.325
300648.SZ,20190924,17.92,18.13,17.88,17.9,17.92,-0.02,-0.1116,24446.6,44003.209
300648.SZ,20190923,18.23,18.3,17.69,17.92,18.18,-0.26,-1.4301,27082.6,48341.516
300648.SZ,20190920,18.02,18.4,17.92,18.18,18.03,0.15,0.8319,30680.0,55776.31
300648.SZ,20190919,17.8,18.09,17.8,18.03,17.78,0.25,1.4061,30211.0,54282.389
