ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002829.SZ,20200110,22.75,23.81,22.74,23.29,22.65,0.64,2.8256,56792.8,132852.648
002829.SZ,20200109,22.2,22.65,22.13,22.65,22.39,0.26,1.1612,25899.0,57935.785
002829.SZ,20200108,22.53,22.9,22.28,22.39,22.5,-0.11,-0.4889,29685.0,66694.666
002829.SZ,20200107,22.49,22.59,22.24,22.5,22.47,0.03,0.1335,17546.29,39326.293
002829.SZ,20200106,22.05,22.55,22.05,22.47,21.95,0.52,2.369,34496.03,77130.602
002829.SZ,20200103,21.88,22.1,21.73,21.95,21.7,0.25,1.1521,21769.1,47648.667
002829.SZ,20200102,21.95,21.95,21.63,21.7,21.75,-0.05,-0.2299,13786.17,29996.846
002829.SZ,20191231,22.2,22.2,21.75,21.75,22.23,-0.48,-2.1592,10779.0,23576.954
002829.SZ,20191230,22.05,22.36,21.82,22.23,22.22,0.01,0.045,10731.64,23644.136
002829.SZ,20191227,21.93,22.28,21.82,22.22,21.86,0.36,1.6468,17367.0,38422.033
002829.SZ,20191226,21.88,22.01,21.66,21.86,21.96,-0.1,-0.4554,12725.08,27772.6
002829.SZ,20191225,22.13,22.13,21.86,21.96,22.13,-0.17,-0.7682,13450.1,29615.441
002829.SZ,20191224,22.2,22.2,21.75,22.13,22.28,-0.15,-0.6732,9758.26,21393.094
002829.SZ,20191223,22.28,22.28,21.95,22.28,22.28,0.0,0.0,10721.0,23685.774
002829.SZ,20191220,22.6,22.6,22.05,22.28,22.6,-0.32,-1.4159,10552.0,23443.662
002829.SZ,20191219,22.48,22.66,22.16,22.6,22.45,0.15,0.6682,10830.24,24179.037
002829.SZ,20191218,22.51,22.64,22.35,22.45,22.59,-0.14,-0.6197,9788.24,22040.552
002829.SZ,20191217,22.45,22.64,22.29,22.59,22.45,0.14,0.6236,15620.93,35180.881
002829.SZ,20191216,22.38,22.6,22.26,22.45,22.35,0.1,0.4474,9462.75,21213.571
002829.SZ,20191213,22.28,22.36,21.8,22.35,22.18,0.17,0.7665,12622.0,27959.68
002829.SZ,20191212,22.33,22.35,21.31,22.18,22.37,-0.19,-0.8494,13962.73,30792.961
002829.SZ,20191211,22.47,22.47,21.84,22.37,22.4,-0.03,-0.1339,17305.91,38339.52
002829.SZ,20191210,22.6,22.68,22.15,22.4,22.6,-0.2,-0.885,17909.0,40040.579
002829.SZ,20191209,22.41,22.63,22.3,22.6,22.41,0.19,0.8478,12846.51,28832.996
002829.SZ,20191206,22.42,22.54,22.29,22.41,22.37,0.04,0.1788,12641.0,28364.525
002829.SZ,20191205,22.45,22.54,22.27,22.37,22.41,-0.04,-0.1785,13200.0,29539.59
002829.SZ,20191204,22.76,22.95,22.26,22.41,22.66,-0.25,-1.1033,17917.0,40251.416
002829.SZ,20191203,22.51,22.73,22.39,22.66,22.51,0.15,0.6664,6573.67,14833.994
002829.SZ,20191202,22.55,22.92,22.35,22.51,22.5,0.01,0.0444,7828.0,17631.872
002829.SZ,20191129,22.13,22.54,22.08,22.5,22.4,0.1,0.4464,10342.0,23200.506
002829.SZ,20191128,22.3,22.51,22.2,22.4,22.18,0.22,0.9919,15590.0,34879.379
002829.SZ,20191127,21.98,22.26,21.86,22.18,21.85,0.33,1.5103,14110.0,31180.324
002829.SZ,20191126,21.99,21.99,21.7,21.85,21.9,-0.05,-0.2283,10205.0,22323.618
002829.SZ,20191125,22.15,22.15,21.7,21.9,22.0,-0.1,-0.4545,13336.0,29192.932
002829.SZ,20191122,22.05,22.33,21.82,22.0,22.0,0.0,0.0,13641.0,30038.247
002829.SZ,20191121,21.89,22.0,21.65,22.0,21.89,0.11,0.5025,11368.0,24825.444
002829.SZ,20191120,21.8,21.98,21.65,21.89,21.89,0.0,0.0,12111.62,26403.372
002829.SZ,20191119,21.89,21.92,21.61,21.89,21.66,0.23,1.0619,15400.29,33551.632
002829.SZ,20191118,21.51,21.78,21.4,21.66,21.51,0.15,0.6974,10587.67,22859.667
002829.SZ,20191115,21.22,21.6,21.1,21.51,21.18,0.33,1.5581,14994.0,32158.036
002829.SZ,20191114,21.0,21.21,20.88,21.18,20.9,0.28,1.3397,14164.0,29888.781
002829.SZ,20191113,20.58,21.1,20.46,20.9,20.3,0.6,2.9557,17520.0,36343.81
002829.SZ,20191112,20.35,20.45,20.1,20.3,20.1,0.2,0.995,12765.0,25914.465
002829.SZ,20191111,20.4,20.6,20.06,20.1,20.55,-0.45,-2.1898,5480.0,11146.159
002829.SZ,20191108,20.6,20.8,20.41,20.55,20.6,-0.05,-0.2427,4074.0,8366.648
002829.SZ,20191107,20.45,20.75,20.45,20.6,20.7,-0.1,-0.4831,7077.0,14552.659
002829.SZ,20191106,20.9,21.75,20.66,20.7,20.77,-0.07,-0.337,6703.61,14008.271
002829.SZ,20191105,20.6,20.89,20.6,20.77,20.77,0.0,0.0,6081.61,12611.454
002829.SZ,20191104,20.7,20.9,20.57,20.77,20.78,-0.01,-0.0481,3300.0,6844.419
002829.SZ,20191101,20.58,21.33,20.41,20.78,20.6,0.18,0.8738,5024.0,10422.392
002829.SZ,20191031,20.5,20.9,20.23,20.6,20.6,0.0,0.0,5675.0,11735.984
002829.SZ,20191030,20.54,20.6,20.31,20.6,20.6,0.0,0.0,4849.0,9941.946
002829.SZ,20191029,20.79,20.89,20.4,20.6,20.78,-0.18,-0.8662,4536.0,9333.491
002829.SZ,20191028,21.0,21.0,20.1,20.78,21.0,-0.22,-1.0476,7716.0,16014.655
002829.SZ,20191025,21.0,21.24,20.86,21.0,21.12,-0.12,-0.5682,10655.93,22375.662
002829.SZ,20191024,20.55,21.17,20.24,21.12,20.56,0.56,2.7237,10023.0,20812.275
002829.SZ,20191023,20.48,20.58,20.0,20.56,20.55,0.01,0.0487,4421.0,9018.015
002829.SZ,20191022,20.34,20.55,20.25,20.55,20.33,0.22,1.0821,4824.0,9862.555
002829.SZ,20191021,20.71,20.71,20.07,20.33,20.5,-0.17,-0.8293,4815.0,9768.558
002829.SZ,20191018,20.5,20.59,19.95,20.5,20.34,0.16,0.7866,6829.0,13854.757
002829.SZ,20191017,20.95,20.95,20.26,20.34,20.95,-0.61,-2.9117,8568.0,17649.356
002829.SZ,20191016,21.4,21.6,20.77,20.95,21.4,-0.45,-2.1028,11157.93,23597.108
002829.SZ,20191015,21.73,21.73,21.3,21.4,21.83,-0.43,-1.9698,8551.0,18347.459
002829.SZ,20191014,21.86,22.13,21.66,21.83,21.8,0.03,0.1376,10446.0,22900.67
002829.SZ,20191011,21.9,22.09,21.8,21.8,21.98,-0.18,-0.8189,8267.13,18138.773
002829.SZ,20191010,21.96,22.2,21.56,21.98,21.8,0.18,0.8257,5923.0,12955.159
002829.SZ,20191009,22.0,22.0,21.53,21.8,21.86,-0.06,-0.2745,5120.94,11101.434
002829.SZ,20191008,22.08,22.19,21.53,21.86,22.07,-0.21,-0.9515,15432.0,33834.201
002829.SZ,20190930,22.17,22.2,21.7,22.07,22.25,-0.18,-0.809,15022.0,32989.957
002829.SZ,20190927,22.35,22.77,20.22,22.25,22.46,-0.21,-0.935,25476.24,57306.23
002829.SZ,20190926,22.83,22.98,22.28,22.46,22.82,-0.36,-1.5776,34755.0,78649.289
002829.SZ,20190925,22.82,23.32,22.49,22.82,23.06,-0.24,-1.0408,37823.41,86466.521
002829.SZ,20190924,22.62,23.16,22.27,23.06,22.79,0.27,1.1847,45607.2,104084.798
002829.SZ,20190923,22.18,23.14,22.1,22.79,22.06,0.73,3.3092,32802.56,74584.128
002829.SZ,20190920,22.01,22.44,21.91,22.06,21.98,0.08,0.364,14717.0,32632.426
002829.SZ,20190919,22.02,22.13,21.78,21.98,21.99,-0.01,-0.0455,8627.0,18925.732
002829.SZ,20190918,21.83,22.2,21.67,21.99,21.8,0.19,0.8716,11101.0,24305.565
002829.SZ,20190917,22.64,22.76,21.58,21.8,22.51,-0.71,-3.1542,22158.0,48663.459
002829.SZ,20190916,22.42,22.83,22.42,22.51,22.3,0.21,0.9417,16136.17,36519.001
002829.SZ,20190912,22.52,22.7,22.12,22.3,22.47,-0.17,-0.7566,15031.0,33480.913
002829.SZ,20190911,22.64,22.93,22.36,22.47,22.58,-0.11,-0.4872,17053.0,38660.117
002829.SZ,20190910,22.86,22.88,22.39,22.58,22.76,-0.18,-0.7909,21341.0,48411.778
002829.SZ,20190909,22.8,22.98,22.44,22.76,22.55,0.21,0.9313,19614.0,44575.517
002829.SZ,20190906,22.4,22.8,22.4,22.55,22.6,-0.05,-0.2212,17477.3,39366.368
002829.SZ,20190905,22.35,22.88,22.31,22.6,22.45,0.15,0.6682,31225.95,70400.966
002829.SZ,20190904,21.96,22.58,21.75,22.45,21.95,0.5,2.2779,24330.65,53935.355
002829.SZ,20190903,21.99,21.99,21.66,21.95,22.0,-0.05,-0.2273,15683.98,34171.379
002829.SZ,20190902,21.46,22.29,21.36,22.0,21.46,0.54,2.5163,27545.61,60440.077
002829.SZ,20190830,21.0,22.0,21.0,21.46,21.0,0.46,2.1905,34942.25,75047.901
002829.SZ,20190829,20.76,21.1,20.67,21.0,20.72,0.28,1.3514,17049.96,35654.215
002829.SZ,20190828,20.8,21.08,20.56,20.72,20.68,0.04,0.1934,12751.92,26554.266
002829.SZ,20190827,20.48,20.69,20.35,20.68,20.39,0.29,1.4223,11475.92,23611.39
002829.SZ,20190826,20.0,20.42,19.86,20.39,20.39,0.0,0.0,8958.0,18091.748
002829.SZ,20190823,20.27,20.73,20.12,20.39,20.26,0.13,0.6417,12644.88,25729.859
002829.SZ,20190822,20.35,20.35,20.06,20.26,20.29,-0.03,-0.1479,7353.65,14840.072
002829.SZ,20190821,20.24,20.3,20.08,20.29,20.22,0.07,0.3462,6044.09,12196.985
002829.SZ,20190820,20.38,20.41,20.06,20.22,20.42,-0.2,-0.9794,10407.78,21006.017
002829.SZ,20190819,20.1,20.44,20.02,20.42,20.08,0.34,1.6932,10541.65,21366.733
002829.SZ,20190816,20.28,20.32,20.05,20.08,20.28,-0.2,-0.9862,5538.0,11184.126
002829.SZ,20190815,19.37,20.3,19.37,20.28,20.09,0.19,0.9457,6934.0,13828.137
002829.SZ,20190814,20.23,20.26,19.95,20.09,20.03,0.06,0.2996,6245.37,12544.168
002829.SZ,20190813,20.16,20.2,19.84,20.03,20.23,-0.2,-0.9886,4020.61,8036.359
002829.SZ,20190812,19.85,20.25,19.64,20.23,19.85,0.38,1.9144,5571.0,11200.322
002829.SZ,20190809,20.35,20.6,19.81,19.85,20.44,-0.59,-2.8865,4238.0,8522.246
002829.SZ,20190808,19.8,21.0,19.8,20.44,20.1,0.34,1.6915,7444.13,15210.952
002829.SZ,20190807,20.37,20.37,19.71,20.1,20.05,0.05,0.2494,5752.0,11480.257
002829.SZ,20190806,20.25,20.36,19.18,20.05,20.5,-0.45,-2.1951,7928.1,15718.304
002829.SZ,20190805,21.0,21.09,20.41,20.5,20.73,-0.23,-1.1095,5940.0,12348.678
002829.SZ,20190802,20.8,21.1,20.0,20.73,21.2,-0.47,-2.217,5147.0,10685.015
002829.SZ,20190801,21.3,21.48,21.03,21.2,21.2,0.0,0.0,4207.0,8948.993
002829.SZ,20190731,21.5,21.5,21.15,21.2,21.42,-0.22,-1.0271,4113.0,8738.979
002829.SZ,20190730,21.06,21.68,21.01,21.42,21.29,0.13,0.6106,7011.0,14960.096
002829.SZ,20190729,21.2,21.53,21.15,21.29,21.25,0.04,0.1882,5452.0,11638.269
002829.SZ,20190726,20.97,21.25,20.83,21.25,20.98,0.27,1.2869,6078.98,12830.084
002829.SZ,20190725,21.1,21.28,20.82,20.98,21.1,-0.12,-0.5687,5275.05,11097.983
002829.SZ,20190724,20.9,21.21,20.76,21.1,20.79,0.31,1.4911,7610.84,15978.561
002829.SZ,20190723,20.25,20.86,20.21,20.79,20.28,0.51,2.5148,8307.5,17133.885
002829.SZ,20190722,20.5,20.5,20.15,20.28,20.5,-0.22,-1.0732,7906.46,16033.567
002829.SZ,20190719,20.43,20.75,20.3,20.5,20.44,0.06,0.2935,8732.78,17947.368
002829.SZ,20190718,20.28,20.68,19.99,20.44,20.28,0.16,0.789,9402.64,19161.148
002829.SZ,20190717,20.12,20.48,20.07,20.28,20.12,0.16,0.7952,4102.09,8323.631
002829.SZ,20190716,19.83,20.69,19.83,20.12,20.02,0.1,0.4995,6940.71,14022.567
