ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603127.SH,20200110,66.77,67.85,66.13,66.98,64.61,2.37,3.6682,67050.21,448959.759
603127.SH,20200109,64.6,64.61,63.25,64.61,58.74,5.87,9.9932,40951.17,263016.787
603127.SH,20200108,58.46,59.51,58.4,58.74,58.45,0.29,0.4962,18099.76,106767.505
603127.SH,20200107,57.85,58.64,57.22,58.45,57.5,0.95,1.6522,17481.45,101544.935
603127.SH,20200106,57.68,58.16,57.1,57.5,57.86,-0.36,-0.6222,13822.93,79612.496
603127.SH,20200103,58.26,58.42,57.47,57.86,58.35,-0.49,-0.8398,12717.83,73526.409
603127.SH,20200102,57.97,58.63,57.02,58.35,57.8,0.55,0.9516,16815.61,97455.181
603127.SH,20191231,56.78,58.5,56.7,57.8,56.78,1.02,1.7964,18347.04,105752.013
603127.SH,20191230,55.98,56.96,55.1,56.78,56.0,0.78,1.3929,17138.05,95970.251
603127.SH,20191227,57.0,57.39,55.76,56.0,57.01,-1.01,-1.7716,20246.27,114377.241
603127.SH,20191226,57.0,57.69,56.8,57.01,57.4,-0.39,-0.6794,12387.03,70702.039
603127.SH,20191225,57.49,57.85,57.1,57.4,57.5,-0.1,-0.1739,7655.99,43979.427
603127.SH,20191224,57.09,58.14,56.89,57.5,57.27,0.23,0.4016,14194.12,81451.793
603127.SH,20191223,58.67,58.8,57.2,57.27,58.65,-1.38,-2.3529,16467.58,95414.695
603127.SH,20191220,59.96,60.2,58.46,58.65,60.21,-1.56,-2.5909,16447.29,97195.652
603127.SH,20191219,60.2,60.4,58.79,60.21,59.97,0.24,0.4002,22797.28,135406.502
603127.SH,20191218,62.1,62.43,59.85,59.97,63.07,-3.1,-4.9152,34610.19,210021.724
603127.SH,20191217,62.07,63.15,61.8,63.07,62.28,0.79,1.2685,15804.09,99031.495
603127.SH,20191216,62.11,62.65,61.2,62.28,62.13,0.15,0.2414,19119.57,118193.409
603127.SH,20191213,61.37,62.68,60.75,62.13,60.94,1.19,1.9527,22110.23,136716.048
603127.SH,20191212,59.74,61.8,59.32,60.94,59.27,1.67,2.8176,24963.67,152092.947
603127.SH,20191211,58.78,59.8,58.67,59.27,58.33,0.94,1.6115,15708.57,93424.671
603127.SH,20191210,58.0,58.45,57.51,58.33,57.78,0.55,0.9519,11175.95,64998.25
603127.SH,20191209,59.51,59.82,57.51,57.78,59.25,-1.47,-2.481,17128.18,99558.883
603127.SH,20191206,59.7,59.84,58.68,59.25,59.41,-0.16,-0.2693,10448.78,61755.209
603127.SH,20191205,59.05,60.11,58.73,59.41,59.02,0.39,0.6608,15681.11,93225.694
603127.SH,20191204,57.4,59.43,56.93,59.02,57.78,1.24,2.1461,17176.13,101021.22
603127.SH,20191203,57.43,57.8,55.5,57.78,57.43,0.35,0.6094,16995.68,96063.735
603127.SH,20191202,58.3,58.4,56.6,57.43,58.47,-1.04,-1.7787,15634.55,89999.386
603127.SH,20191129,57.8,58.47,57.0,58.47,58.18,0.29,0.4985,15176.36,87354.582
603127.SH,20191128,58.9,58.99,57.7,58.18,58.66,-0.48,-0.8183,14123.91,82000.527
603127.SH,20191127,58.15,59.2,57.68,58.66,58.14,0.52,0.8944,12146.58,71339.958
603127.SH,20191126,57.3,58.88,57.02,58.14,57.1,1.04,1.8214,16944.5,98397.242
603127.SH,20191125,58.0,58.4,56.0,57.1,58.4,-1.3,-2.226,24257.91,138347.415
603127.SH,20191122,61.82,61.94,57.9,58.4,61.04,-2.64,-4.325,32924.87,195855.85
603127.SH,20191121,63.15,63.41,60.88,61.04,63.61,-2.57,-4.0402,25377.19,157311.682
603127.SH,20191120,63.22,64.78,62.73,63.61,63.27,0.34,0.5374,29818.8,189945.493
603127.SH,20191119,60.26,63.35,60.04,63.27,60.31,2.96,4.908,37352.63,233207.647
603127.SH,20191118,59.91,60.47,58.88,60.31,60.5,-0.19,-0.314,23760.5,141529.219
603127.SH,20191115,60.16,61.2,59.69,60.5,60.41,0.09,0.149,21388.78,129635.397
603127.SH,20191114,59.48,60.78,59.21,60.41,59.5,0.91,1.5294,22570.49,135709.51
603127.SH,20191113,58.12,60.85,58.12,59.5,58.0,1.5,2.5862,30886.32,183618.878
603127.SH,20191112,59.8,59.88,57.79,58.0,59.6,-1.6,-2.6846,34187.71,199626.337
603127.SH,20191111,60.6,60.73,59.51,59.6,60.78,-1.18,-1.9414,21621.83,129944.039
603127.SH,20191108,61.72,62.2,60.75,60.78,61.12,-0.34,-0.5563,20265.23,124462.576
603127.SH,20191107,61.18,62.46,60.72,61.12,60.99,0.13,0.2131,23712.92,145568.624
603127.SH,20191106,64.0,64.0,60.88,60.99,64.1,-3.11,-4.8518,49406.65,305980.212
603127.SH,20191105,67.1,67.6,63.48,64.1,67.81,-3.71,-5.4712,54614.51,355505.496
603127.SH,20191104,65.01,68.72,64.86,67.81,62.96,4.85,7.7033,45931.45,308114.285
603127.SH,20191101,61.97,63.46,61.61,62.96,62.52,0.44,0.7038,20775.22,130416.471
603127.SH,20191031,59.58,63.4,58.88,62.52,61.65,0.87,1.4112,45969.88,283966.213
603127.SH,20191030,64.3,64.5,61.12,61.65,64.32,-2.67,-4.1511,38117.27,237256.951
603127.SH,20191029,63.77,65.34,63.77,64.32,63.7,0.62,0.9733,28619.73,184810.615
603127.SH,20191028,62.52,65.2,62.25,63.7,62.93,0.77,1.2236,33136.68,211253.916
