ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603228.SH,20200110,48.79,50.88,48.11,50.01,48.4,1.61,3.3264,59647.52,297449.147
603228.SH,20200109,49.26,49.49,48.1,48.4,48.85,-0.45,-0.9212,38303.62,185930.313
603228.SH,20200108,47.4,50.0,46.6,48.85,47.06,1.79,3.8037,77551.61,377908.986
603228.SH,20200107,44.25,47.47,44.25,47.06,44.23,2.83,6.3984,76884.49,355612.79
603228.SH,20200106,43.0,44.66,42.3,44.23,43.35,0.88,2.03,50897.72,222754.098
603228.SH,20200103,44.18,44.48,43.21,43.35,44.08,-0.73,-1.6561,41857.11,183384.682
603228.SH,20200102,44.47,44.48,43.49,44.08,43.82,0.26,0.5933,39597.97,174335.053
603228.SH,20191231,44.41,45.44,43.69,43.82,44.41,-0.59,-1.3285,21783.01,96463.442
603228.SH,20191230,45.0,45.07,43.51,44.41,45.11,-0.7,-1.5518,33540.61,148660.5
603228.SH,20191227,46.88,46.95,44.9,45.11,46.41,-1.3,-2.8011,22601.1,103159.327
603228.SH,20191226,46.0,46.9,45.72,46.41,46.1,0.31,0.6725,18522.62,85909.757
603228.SH,20191225,45.0,46.46,44.72,46.1,45.08,1.02,2.2626,26346.11,120451.652
603228.SH,20191224,45.55,46.42,44.59,45.08,45.55,-0.47,-1.0318,25893.08,116259.248
603228.SH,20191223,46.08,46.67,45.01,45.55,46.17,-0.62,-1.3429,26433.53,121357.509
603228.SH,20191220,46.98,47.16,45.7,46.17,46.85,-0.68,-1.4514,24255.78,112562.35
603228.SH,20191219,46.32,47.2,46.31,46.85,46.4,0.45,0.9698,23907.75,112108.969
603228.SH,20191218,46.65,47.16,46.32,46.4,46.77,-0.37,-0.7911,28375.89,132629.486
603228.SH,20191217,46.43,47.13,45.88,46.77,46.43,0.34,0.7323,28990.62,135137.552
603228.SH,20191216,45.29,46.7,44.78,46.43,45.22,1.21,2.6758,41840.02,193002.79
603228.SH,20191213,44.92,45.5,44.3,45.22,44.48,0.74,1.6637,39206.04,177069.876
603228.SH,20191212,44.21,45.37,43.7,44.48,44.23,0.25,0.5652,37010.74,165762.612
603228.SH,20191211,43.82,44.23,43.41,44.23,44.0,0.23,0.5227,26614.9,116898.81
603228.SH,20191210,44.15,44.4,43.2,44.0,44.51,-0.51,-1.1458,32367.77,141651.362
603228.SH,20191209,42.68,44.98,42.6,44.51,42.9,1.61,3.7529,53012.6,234732.387
603228.SH,20191206,43.18,43.98,42.35,42.9,42.7,0.2,0.4684,34841.02,150374.308
603228.SH,20191205,42.24,43.25,42.08,42.7,42.1,0.6,1.4252,32060.44,137427.798
603228.SH,20191204,42.29,42.53,41.8,42.1,42.66,-0.56,-1.3127,16497.19,69481.135
