ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000651.SZ,20200110,70.01,70.55,69.42,69.75,69.88,-0.13,-0.186,200324.74,1400528.269
000651.SZ,20200109,69.66,70.56,69.06,69.88,68.8,1.08,1.5698,348538.12,2440521.148
000651.SZ,20200108,66.6,69.67,66.6,68.8,67.32,1.48,2.1985,487808.96,3335825.897
000651.SZ,20200107,66.17,67.55,66.0,67.32,65.88,1.44,2.1858,410765.95,2759986.206
000651.SZ,20200106,66.8,67.07,65.0,65.88,67.1,-1.22,-1.8182,467802.55,3092810.584
000651.SZ,20200103,68.38,68.7,66.9,67.1,67.9,-0.8,-1.1782,368703.73,2494833.314
000651.SZ,20200102,65.99,68.09,65.9,67.9,65.58,2.32,3.5377,463614.43,3119667.657
000651.SZ,20191231,65.35,65.86,64.8,65.58,65.58,0.0,0.0,209307.99,1366603.121
000651.SZ,20191230,64.57,65.7,64.05,65.58,64.53,1.05,1.6272,264579.81,1724506.753
000651.SZ,20191227,65.15,65.76,64.4,64.53,64.78,-0.25,-0.3859,249793.35,1624183.453
000651.SZ,20191226,64.46,64.8,64.25,64.78,64.4,0.38,0.5901,165339.53,1066132.821
000651.SZ,20191225,65.0,65.19,64.15,64.4,65.02,-0.62,-0.9536,198372.4,1283338.035
000651.SZ,20191224,64.93,65.49,64.66,65.02,64.5,0.52,0.8062,191216.19,1243312.507
000651.SZ,20191223,65.07,65.6,64.5,64.5,64.51,-0.01,-0.0155,337709.91,2195706.612
000651.SZ,20191220,64.99,65.42,64.33,64.51,65.0,-0.49,-0.7538,234278.39,1515833.509
000651.SZ,20191219,64.65,65.5,64.41,65.0,64.37,0.63,0.9787,281463.43,1829088.621
000651.SZ,20191218,64.39,66.1,64.12,64.37,64.11,0.26,0.4056,451518.3,2933611.003
000651.SZ,20191217,63.1,64.51,63.01,64.11,63.1,1.01,1.6006,392626.39,2509277.11
000651.SZ,20191216,63.38,63.65,62.72,63.1,62.99,0.11,0.1746,305590.75,1927328.052
000651.SZ,20191213,61.9,63.39,61.9,62.99,61.48,1.51,2.4561,442358.77,2781770.141
000651.SZ,20191212,61.8,62.0,61.12,61.48,61.4,0.08,0.1303,202593.66,1247667.564
000651.SZ,20191211,62.51,62.59,61.12,61.4,62.16,-0.76,-1.2227,291399.37,1794894.22
000651.SZ,20191210,62.44,62.45,61.7,62.16,62.15,0.01,0.0161,235236.85,1462272.841
000651.SZ,20191209,62.39,62.85,61.9,62.15,62.39,-0.24,-0.3847,290231.55,1809238.672
000651.SZ,20191206,62.36,62.88,62.02,62.39,62.27,0.12,0.1927,312483.06,1947670.639
000651.SZ,20191205,62.7,63.05,61.82,62.27,62.58,-0.31,-0.4954,452729.36,2821022.539
000651.SZ,20191204,60.78,63.46,60.37,62.58,60.8,1.78,2.9276,784965.69,4882232.339
000651.SZ,20191203,60.0,61.19,59.2,60.8,57.71,3.09,5.3544,900325.86,5414302.506
000651.SZ,20191129,58.38,58.78,56.95,57.71,58.45,-0.74,-1.266,337348.4,1955006.45
000651.SZ,20191128,57.71,58.61,57.71,58.45,57.64,0.81,1.4053,298217.72,1739128.654
000651.SZ,20191127,57.8,57.9,56.9,57.64,58.54,-0.9,-1.5374,349870.41,2009248.258
000651.SZ,20191126,58.21,58.76,57.85,58.54,57.81,0.73,1.2628,345754.8,2017689.992
000651.SZ,20191125,56.72,57.84,56.36,57.81,56.72,1.09,1.9217,351298.85,2012181.894
000651.SZ,20191122,57.5,58.13,56.2,56.72,57.45,-0.73,-1.2707,368534.9,2104068.512
000651.SZ,20191121,58.51,58.51,57.03,57.45,58.86,-1.41,-2.3955,439535.33,2529726.169
000651.SZ,20191120,59.3,59.4,58.73,58.86,59.46,-0.6,-1.0091,221706.0,1306719.621
000651.SZ,20191119,59.18,59.97,58.91,59.46,58.99,0.47,0.7967,352369.16,2098743.808
000651.SZ,20191118,58.79,58.99,58.3,58.99,58.86,0.13,0.2209,225984.61,1325332.947
000651.SZ,20191115,59.45,59.49,58.7,58.86,59.13,-0.27,-0.4566,202104.32,1193783.635
000651.SZ,20191114,59.18,59.55,58.68,59.13,58.85,0.28,0.4758,353944.97,2090616.405
000651.SZ,20191113,59.45,59.53,58.48,58.85,59.16,-0.31,-0.524,364776.12,2143608.691
000651.SZ,20191112,59.8,60.08,58.62,59.16,61.17,-2.01,-3.2859,636537.13,3777070.758
000651.SZ,20191111,62.3,62.45,60.7,61.17,63.61,-2.44,-3.8359,681351.87,4186552.485
000651.SZ,20191108,64.0,64.63,63.2,63.61,63.71,-0.1,-0.157,341203.24,2178351.313
000651.SZ,20191107,63.7,63.8,62.8,63.71,63.5,0.21,0.3307,317616.78,2010258.543
000651.SZ,20191106,64.1,64.45,63.36,63.5,64.08,-0.58,-0.9051,335865.54,2144646.331
000651.SZ,20191105,64.46,65.16,63.5,64.08,64.45,-0.37,-0.5741,535927.51,3443814.986
000651.SZ,20191104,64.1,64.98,63.21,64.45,63.78,0.67,1.0505,573827.73,3688033.678
000651.SZ,20191101,59.0,64.4,58.83,63.78,58.7,5.08,8.6542,1175315.72,7340613.348
000651.SZ,20191031,58.01,59.22,58.0,58.7,58.67,0.03,0.0511,360312.49,2118688.495
000651.SZ,20191030,59.71,60.39,58.35,58.67,59.39,-0.72,-1.2123,410228.62,2426195.857
000651.SZ,20191029,58.5,60.04,57.26,59.39,56.9,2.49,4.3761,805804.01,4757487.141
000651.SZ,20191028,57.15,57.67,56.46,56.9,57.15,-0.25,-0.4374,241273.34,1372454.891
000651.SZ,20191025,58.38,58.41,56.04,57.15,58.18,-1.03,-1.7704,476983.96,2704591.533
000651.SZ,20191024,58.7,58.93,58.04,58.18,58.73,-0.55,-0.9365,155311.65,906955.58
000651.SZ,20191023,58.91,59.33,58.52,58.73,58.81,-0.08,-0.136,160971.86,947682.81
000651.SZ,20191022,58.99,59.0,58.1,58.81,58.44,0.37,0.6331,168349.37,985449.306
000651.SZ,20191021,57.72,58.65,57.4,58.44,57.8,0.64,1.1073,148176.63,863735.58
000651.SZ,20191018,58.5,59.0,57.69,57.8,58.25,-0.45,-0.7725,211609.01,1236477.766
000651.SZ,20191017,58.9,58.96,58.08,58.25,59.02,-0.77,-1.3046,182518.14,1065658.739
000651.SZ,20191016,58.9,59.58,58.5,59.02,58.9,0.12,0.2037,211812.93,1254561.757
000651.SZ,20191015,58.69,59.15,58.15,58.9,58.7,0.2,0.3407,177204.36,1041246.121
