ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600236.SH,20200110,4.84,4.86,4.82,4.84,4.84,0.0,0.0,18909.52,9162.718
600236.SH,20200109,4.91,4.91,4.83,4.84,4.9,-0.06,-1.2245,42204.7,20574.63
600236.SH,20200108,4.89,4.92,4.87,4.9,4.89,0.01,0.2045,42126.26,20629.526
600236.SH,20200107,4.91,4.91,4.86,4.89,4.88,0.01,0.2049,17106.59,8363.945
600236.SH,20200106,4.93,4.93,4.85,4.88,4.92,-0.04,-0.813,36627.49,17893.082
600236.SH,20200103,4.9,4.93,4.89,4.92,4.9,0.02,0.4082,30353.05,14921.958
600236.SH,20200102,4.89,4.92,4.89,4.9,4.89,0.01,0.2045,47987.29,23561.426
600236.SH,20191231,4.86,4.9,4.83,4.89,4.86,0.03,0.6173,31148.6,15174.718
600236.SH,20191230,4.79,4.89,4.79,4.86,4.84,0.02,0.4132,32779.71,15929.209
600236.SH,20191227,4.8,4.84,4.8,4.84,4.81,0.03,0.6237,27488.73,13257.125
600236.SH,20191226,4.8,4.83,4.78,4.81,4.8,0.01,0.2083,18775.37,9016.185
600236.SH,20191225,4.84,4.84,4.8,4.8,4.84,-0.04,-0.8264,13948.63,6716.928
600236.SH,20191224,4.84,4.87,4.8,4.84,4.87,-0.03,-0.616,23766.9,11487.045
600236.SH,20191223,4.88,4.93,4.8,4.87,4.91,-0.04,-0.8147,56649.71,27573.001
600236.SH,20191220,4.91,4.92,4.87,4.91,4.91,0.0,0.0,25837.56,12657.506
600236.SH,20191219,4.89,4.92,4.88,4.91,4.89,0.02,0.409,21546.2,10565.442
600236.SH,20191218,4.93,4.94,4.89,4.89,4.92,-0.03,-0.6098,37171.4,18235.926
600236.SH,20191217,4.93,4.95,4.89,4.92,4.93,-0.01,-0.2028,55416.32,27283.319
600236.SH,20191216,4.88,4.95,4.83,4.93,4.89,0.04,0.818,48355.5,23662.522
600236.SH,20191213,4.84,4.91,4.8,4.89,4.81,0.08,1.6632,63084.74,30582.854
600236.SH,20191212,4.9,4.9,4.81,4.81,4.89,-0.08,-1.636,26595.2,12896.908
600236.SH,20191211,4.9,4.9,4.85,4.89,4.88,0.01,0.2049,26387.16,12871.002
600236.SH,20191210,4.9,4.92,4.87,4.88,4.88,0.0,0.0,36534.84,17881.127
600236.SH,20191209,4.87,4.9,4.8,4.88,4.87,0.01,0.2053,40107.08,19563.348
600236.SH,20191206,4.83,4.88,4.77,4.87,4.86,0.01,0.2058,46653.08,22508.686
600236.SH,20191205,4.89,4.9,4.86,4.86,4.88,-0.02,-0.4098,33590.35,16381.546
600236.SH,20191204,4.86,4.91,4.84,4.88,4.9,-0.02,-0.4082,41139.6,20049.508
600236.SH,20191203,4.86,4.9,4.82,4.9,4.86,0.04,0.823,45893.9,22372.929
600236.SH,20191202,4.82,4.9,4.76,4.86,4.81,0.05,1.0395,60094.82,29124.609
600236.SH,20191129,4.73,4.82,4.7,4.81,4.75,0.06,1.2632,46706.96,22266.692
600236.SH,20191128,4.67,4.82,4.63,4.75,4.69,0.06,1.2793,61473.56,29139.471
600236.SH,20191127,4.8,4.82,4.65,4.69,4.83,-0.14,-2.8986,113147.54,53343.161
600236.SH,20191126,4.94,5.15,4.8,4.83,4.8,0.03,0.625,231711.83,114633.267
600236.SH,20191125,4.77,4.82,4.75,4.8,4.77,0.03,0.6289,41549.58,19917.178
600236.SH,20191122,4.76,4.78,4.74,4.77,4.75,0.02,0.4211,33628.1,16028.538
600236.SH,20191121,4.72,4.76,4.7,4.75,4.73,0.02,0.4228,44756.73,21202.594
600236.SH,20191120,4.74,4.75,4.71,4.73,4.74,-0.01,-0.211,40838.53,19331.807
