ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603866.SH,20200110,41.25,41.45,40.81,41.01,41.3,-0.29,-0.7022,32279.51,132690.293
603866.SH,20200109,41.57,41.95,41.09,41.3,41.5,-0.2,-0.4819,31489.71,130084.271
603866.SH,20200108,41.59,42.0,41.4,41.5,41.85,-0.35,-0.8363,12098.81,50426.58
603866.SH,20200107,41.83,41.97,41.35,41.85,41.83,0.02,0.0478,20832.33,86585.154
603866.SH,20200106,42.5,42.5,41.6,41.83,42.65,-0.82,-1.9226,27940.19,116899.377
603866.SH,20200103,43.11,43.4,42.51,42.65,43.0,-0.35,-0.814,20854.39,89129.235
603866.SH,20200102,42.5,43.28,42.2,43.0,42.44,0.56,1.3195,23491.15,100676.34
603866.SH,20191231,41.88,42.46,41.74,42.44,42.04,0.4,0.9515,11932.34,50346.24
603866.SH,20191230,42.47,42.5,41.52,42.04,42.47,-0.43,-1.0125,24119.11,100922.863
603866.SH,20191227,42.0,42.47,41.51,42.47,42.05,0.42,0.9988,16279.96,68611.521
603866.SH,20191226,42.2,42.3,41.8,42.05,42.2,-0.15,-0.3555,7863.66,32999.598
603866.SH,20191225,42.69,42.69,41.74,42.2,42.08,0.12,0.2852,11506.22,48404.547
603866.SH,20191224,41.72,42.63,41.72,42.08,41.71,0.37,0.8871,17167.82,72525.423
603866.SH,20191223,42.81,42.92,41.58,41.71,42.87,-1.16,-2.7059,18720.45,78675.59
603866.SH,20191220,43.23,43.35,42.6,42.87,43.18,-0.31,-0.7179,19249.64,82438.132
603866.SH,20191219,43.48,43.54,43.02,43.18,43.65,-0.47,-1.0767,13298.17,57497.239
603866.SH,20191218,43.73,43.79,43.01,43.65,43.87,-0.22,-0.5015,22217.22,96316.407
603866.SH,20191217,44.51,44.74,43.4,43.87,45.03,-1.16,-2.5761,42430.32,186091.253
603866.SH,20191216,45.77,45.77,44.15,45.03,45.01,0.02,0.0444,27189.4,121779.317
603866.SH,20191213,43.47,45.59,43.45,45.01,43.32,1.69,3.9012,39089.56,175400.626
603866.SH,20191212,42.95,43.88,42.5,43.32,43.2,0.12,0.2778,26572.25,115245.175
603866.SH,20191211,41.76,43.3,41.66,43.2,41.76,1.44,3.4483,18888.89,80432.681
603866.SH,20191210,42.22,42.27,41.6,41.76,42.17,-0.41,-0.9723,24066.91,100670.674
603866.SH,20191209,44.07,44.12,41.8,42.17,44.18,-2.01,-4.5496,42396.54,180661.918
603866.SH,20191206,43.05,44.27,42.62,44.18,43.0,1.18,2.7442,13337.51,58515.373
603866.SH,20191205,41.39,43.14,41.33,43.0,41.3,1.7,4.1162,17685.53,75040.27
603866.SH,20191204,41.0,42.0,40.61,41.3,41.25,0.05,0.1212,15078.97,61902.43
603866.SH,20191203,42.0,42.19,40.71,41.25,42.2,-0.95,-2.2512,26294.38,108217.611
603866.SH,20191202,42.54,43.43,41.5,42.2,43.38,-1.18,-2.7201,28890.51,121948.831
603866.SH,20191129,43.28,43.55,42.0,43.38,43.66,-0.28,-0.6413,21110.75,89926.25
603866.SH,20191128,43.34,43.88,43.0,43.66,43.78,-0.12,-0.2741,19326.46,83930.552
603866.SH,20191127,45.45,45.49,42.64,43.78,46.05,-2.27,-4.9294,49396.51,216663.36
603866.SH,20191126,46.9,46.9,44.8,46.05,46.98,-0.93,-1.9796,51573.24,235137.775
603866.SH,20191125,48.05,48.05,45.8,46.98,48.06,-1.08,-2.2472,40752.96,189732.178
603866.SH,20191122,49.3,49.5,47.2,48.06,48.83,-0.77,-1.5769,15934.26,76788.433
603866.SH,20191121,48.04,48.83,47.78,48.83,48.04,0.79,1.6445,16129.91,78212.15
603866.SH,20191120,47.9,48.16,47.11,48.04,47.35,0.69,1.4572,13028.86,62207.261
603866.SH,20191119,47.59,48.25,46.85,47.35,47.4,-0.05,-0.1055,17686.98,83489.555
603866.SH,20191118,47.25,47.4,45.5,47.4,46.33,1.07,2.3095,24466.24,114770.463
603866.SH,20191115,44.55,46.68,44.55,46.33,44.48,1.85,4.1592,33746.35,155289.461
603866.SH,20191114,43.92,44.48,43.23,44.48,43.62,0.86,1.9716,15277.4,67042.23
603866.SH,20191113,42.7,43.98,42.55,43.62,42.42,1.2,2.8289,18423.58,80082.35
603866.SH,20191112,43.19,43.19,42.12,42.42,42.68,-0.26,-0.6092,9154.65,38900.249
603866.SH,20191111,43.59,43.6,42.56,42.68,43.3,-0.62,-1.4319,11882.66,50953.749
603866.SH,20191108,44.3,44.79,43.28,43.3,44.1,-0.8,-1.8141,22770.54,99974.149
603866.SH,20191107,42.86,44.33,42.76,44.1,43.29,0.81,1.8711,17657.05,77512.963
