ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300745.SZ,20200110,24.42,24.45,23.83,23.95,24.62,-0.67,-2.7214,30411.0,73237.709
300745.SZ,20200109,23.99,25.2,23.77,24.62,23.76,0.86,3.6195,53054.41,129790.159
300745.SZ,20200108,23.35,25.3,23.03,23.76,23.1,0.66,2.8571,61092.57,146346.76
300745.SZ,20200107,23.6,23.68,22.93,23.1,22.91,0.19,0.8293,27386.71,63524.504
300745.SZ,20200106,22.44,23.36,22.3,22.91,22.52,0.39,1.7318,28630.14,65561.497
300745.SZ,20200103,22.88,22.89,22.37,22.52,22.85,-0.33,-1.4442,18977.97,42802.896
300745.SZ,20200102,22.6,22.89,22.26,22.85,22.8,0.05,0.2193,27607.43,62484.818
300745.SZ,20191231,22.92,23.38,22.62,22.8,23.08,-0.28,-1.2132,20846.64,47653.535
300745.SZ,20191230,22.16,23.55,21.92,23.08,22.16,0.92,4.1516,35547.43,81253.382
300745.SZ,20191227,22.69,22.99,22.13,22.16,22.72,-0.56,-2.4648,18762.41,42219.149
300745.SZ,20191226,22.03,22.72,21.9,22.72,22.17,0.55,2.4808,20440.47,45751.418
300745.SZ,20191225,21.92,22.67,21.81,22.17,22.09,0.08,0.3622,16111.3,35739.214
300745.SZ,20191224,21.32,22.1,21.25,22.09,21.23,0.86,4.0509,18122.26,39497.196
300745.SZ,20191223,22.0,22.07,21.2,21.23,22.46,-1.23,-5.4764,22434.02,48620.774
300745.SZ,20191220,22.96,22.96,22.46,22.46,23.03,-0.57,-2.475,23425.5,53051.987
300745.SZ,20191219,22.22,23.14,22.1,23.03,22.06,0.97,4.3971,39038.28,88646.594
300745.SZ,20191218,21.97,22.37,21.83,22.06,21.95,0.11,0.5011,23828.01,52550.229
300745.SZ,20191217,21.5,22.2,21.48,21.95,21.68,0.27,1.2454,22346.56,49016.111
300745.SZ,20191216,21.32,21.73,21.24,21.68,21.33,0.35,1.6409,17152.0,36979.054
300745.SZ,20191213,21.2,21.34,21.03,21.33,21.05,0.28,1.3302,11287.62,23923.938
300745.SZ,20191212,21.5,21.71,21.05,21.05,21.5,-0.45,-2.093,13431.56,28618.033
300745.SZ,20191211,21.0,21.65,21.0,21.5,21.15,0.35,1.6548,18687.07,39972.981
300745.SZ,20191210,21.16,21.19,20.84,21.15,21.15,0.0,0.0,11119.0,23371.022
300745.SZ,20191209,21.08,21.29,21.02,21.15,21.09,0.06,0.2845,9668.92,20442.436
300745.SZ,20191206,21.52,21.52,20.88,21.09,21.47,-0.38,-1.7699,16514.56,34828.616
300745.SZ,20191205,21.42,21.58,21.31,21.47,21.42,0.05,0.2334,16686.42,35756.126
300745.SZ,20191204,21.61,22.38,21.31,21.42,22.04,-0.62,-2.8131,29958.94,65034.856
300745.SZ,20191203,20.59,22.58,20.55,22.04,20.81,1.23,5.9106,34654.74,74697.835
300745.SZ,20191202,20.7,21.19,20.64,20.81,20.72,0.09,0.4344,16889.06,35185.325
300745.SZ,20191129,20.0,21.69,19.83,20.72,20.0,0.72,3.6,19931.0,41123.824
300745.SZ,20191128,19.83,20.12,19.78,20.0,19.91,0.09,0.452,7567.0,15122.999
300745.SZ,20191127,20.09,20.26,19.82,19.91,20.1,-0.19,-0.9453,9471.56,18957.967
300745.SZ,20191126,19.8,20.29,19.8,20.1,20.25,-0.15,-0.7407,7657.42,15324.164
300745.SZ,20191125,20.05,20.25,19.65,20.25,20.05,0.2,0.9975,7864.8,15697.114
300745.SZ,20191122,20.58,20.83,20.0,20.05,20.5,-0.45,-2.1951,12813.0,26063.85
300745.SZ,20191121,20.33,20.5,20.18,20.5,20.25,0.25,1.2346,7223.02,14707.303
300745.SZ,20191120,20.87,20.87,20.2,20.25,20.65,-0.4,-1.937,9868.0,20173.529
300745.SZ,20191119,20.1,20.67,19.98,20.65,19.98,0.67,3.3534,14183.0,28978.46
300745.SZ,20191118,19.96,20.07,19.66,19.98,19.88,0.1,0.503,9239.0,18427.933
300745.SZ,20191115,20.39,20.39,19.88,19.88,20.35,-0.47,-2.3096,12164.38,24380.475
300745.SZ,20191114,20.6,20.6,20.17,20.35,20.38,-0.03,-0.1472,9124.0,18574.358
300745.SZ,20191113,20.6,20.67,20.25,20.38,20.69,-0.31,-1.4983,8842.61,18036.419
300745.SZ,20191112,20.57,20.83,20.3,20.69,20.45,0.24,1.1736,11056.0,22780.881
300745.SZ,20191111,21.4,21.5,20.37,20.45,21.5,-1.05,-4.8837,17183.67,35710.488
300745.SZ,20191108,21.64,21.86,21.47,21.5,21.68,-0.18,-0.8303,8958.04,19419.292
300745.SZ,20191107,21.39,21.89,21.39,21.68,21.54,0.14,0.65,7536.0,16320.532
300745.SZ,20191106,21.73,22.1,21.45,21.54,21.67,-0.13,-0.5999,9649.0,20982.199
300745.SZ,20191105,22.01,22.28,21.5,21.67,22.14,-0.47,-2.1229,13586.92,29635.88
300745.SZ,20191104,22.14,22.29,21.98,22.14,22.05,0.09,0.4082,6704.92,14830.875
300745.SZ,20191101,22.02,22.16,21.62,22.05,22.0,0.05,0.2273,8679.02,19024.669
300745.SZ,20191031,22.27,22.43,21.96,22.0,22.21,-0.21,-0.9455,9830.0,21828.239
300745.SZ,20191030,22.71,22.96,21.96,22.21,22.82,-0.61,-2.6731,12939.0,29086.844
300745.SZ,20191029,23.54,23.6,22.79,22.82,23.53,-0.71,-3.0174,11137.06,25724.485
300745.SZ,20191028,22.7,23.65,22.7,23.53,23.18,0.35,1.5099,12759.0,29922.83
300745.SZ,20191025,22.84,23.26,22.81,23.18,22.84,0.34,1.4886,9691.01,22365.499
