ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600168.SH,20200110,6.87,6.89,6.8,6.81,6.89,-0.08,-1.1611,25106.87,17168.99
600168.SH,20200109,6.86,6.89,6.8,6.89,6.93,-0.04,-0.5772,65759.78,44986.404
600168.SH,20200108,6.76,7.18,6.73,6.93,6.79,0.14,2.0619,97834.51,67799.937
600168.SH,20200107,6.75,6.8,6.74,6.79,6.75,0.04,0.5926,22766.91,15392.834
600168.SH,20200106,6.74,6.79,6.72,6.75,6.77,-0.02,-0.2954,23228.31,15687.886
600168.SH,20200103,6.74,6.79,6.7,6.77,6.73,0.04,0.5944,20460.06,13802.479
600168.SH,20200102,6.72,6.74,6.69,6.73,6.69,0.04,0.5979,22053.0,14825.92
600168.SH,20191231,6.67,6.7,6.62,6.69,6.66,0.03,0.4505,12183.98,8114.794
600168.SH,20191230,6.65,6.67,6.57,6.66,6.62,0.04,0.6042,13185.0,8746.173
600168.SH,20191227,6.65,6.69,6.62,6.62,6.64,-0.02,-0.3012,16508.79,10979.215
600168.SH,20191226,6.67,6.67,6.6,6.64,6.64,0.0,0.0,13905.3,9228.507
600168.SH,20191225,6.6,6.67,6.57,6.64,6.57,0.07,1.0654,25490.48,16871.248
600168.SH,20191224,6.52,6.6,6.5,6.57,6.52,0.05,0.7669,11228.0,7349.991
600168.SH,20191223,6.62,6.63,6.5,6.52,6.64,-0.12,-1.8072,16024.0,10495.257
600168.SH,20191220,6.62,6.72,6.6,6.64,6.61,0.03,0.4539,15832.0,10541.604
600168.SH,20191219,6.63,6.63,6.57,6.61,6.61,0.0,0.0,8749.89,5771.775
600168.SH,20191218,6.59,6.64,6.58,6.61,6.6,0.01,0.1515,16250.69,10740.084
600168.SH,20191217,6.56,6.66,6.52,6.6,6.54,0.06,0.9174,19930.28,13117.852
600168.SH,20191216,6.49,6.56,6.46,6.54,6.49,0.05,0.7704,21044.65,13728.687
600168.SH,20191213,6.41,6.51,6.4,6.49,6.41,0.08,1.248,13523.68,8744.801
600168.SH,20191212,6.38,6.45,6.36,6.41,6.39,0.02,0.313,10286.73,6582.001
600168.SH,20191211,6.41,6.41,6.36,6.39,6.41,-0.02,-0.312,8204.26,5236.56
600168.SH,20191210,6.43,6.43,6.38,6.41,6.42,-0.01,-0.1558,10108.5,6462.037
600168.SH,20191209,6.47,6.47,6.4,6.42,6.44,-0.02,-0.3106,8131.53,5222.831
600168.SH,20191206,6.39,6.44,6.37,6.44,6.41,0.03,0.468,11344.53,7270.043
