ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603901.SH,20200110,11.68,11.76,11.4,11.65,11.65,0.0,0.0,59842.99,69120.657
603901.SH,20200109,11.23,11.66,11.16,11.65,11.22,0.43,3.8324,97903.78,112178.341
603901.SH,20200108,11.18,11.45,11.0,11.22,11.16,0.06,0.5376,93582.88,104546.7
603901.SH,20200107,10.78,11.4,10.64,11.16,10.72,0.44,4.1045,79989.22,87933.736
603901.SH,20200106,10.6,10.9,10.6,10.72,10.7,0.02,0.1869,42773.91,45924.686
603901.SH,20200103,10.75,10.85,10.63,10.7,10.9,-0.2,-1.8349,35259.0,37749.888
603901.SH,20200102,10.7,11.2,10.64,10.9,10.64,0.26,2.4436,68960.79,75153.666
603901.SH,20191231,10.56,10.65,10.42,10.64,10.61,0.03,0.2828,30392.85,32039.344
603901.SH,20191230,10.44,10.7,10.43,10.61,10.6,0.01,0.0943,34296.9,36228.412
603901.SH,20191227,10.51,10.81,10.48,10.6,10.51,0.09,0.8563,52169.68,55201.149
603901.SH,20191226,10.26,10.62,10.26,10.51,10.37,0.14,1.35,57215.0,59757.554
603901.SH,20191225,10.56,10.56,10.26,10.37,10.41,-0.04,-0.3842,30610.0,31819.352
603901.SH,20191224,10.23,10.48,10.12,10.41,10.09,0.32,3.1715,56978.19,59072.535
603901.SH,20191223,10.55,10.56,9.59,10.09,10.65,-0.56,-5.2582,115444.56,117773.853
603901.SH,20191220,10.7,10.84,10.52,10.65,10.76,-0.11,-1.0223,48538.87,51736.779
603901.SH,20191219,10.48,10.88,10.4,10.76,10.38,0.38,3.6609,82294.84,88002.951
603901.SH,20191218,10.43,10.5,10.31,10.38,10.48,-0.1,-0.9542,38415.15,39881.193
603901.SH,20191217,10.5,10.67,10.35,10.48,10.53,-0.05,-0.4748,56953.47,59680.394
603901.SH,20191216,10.45,10.55,10.35,10.53,10.45,0.08,0.7656,49659.55,51893.565
603901.SH,20191213,10.69,10.9,10.33,10.45,10.72,-0.27,-2.5187,74389.15,78333.437
603901.SH,20191212,11.04,11.21,10.58,10.72,11.02,-0.3,-2.7223,104293.09,112429.068
603901.SH,20191211,10.43,11.11,10.28,11.02,10.43,0.59,5.6568,109373.1,117178.755
603901.SH,20191210,10.35,10.65,10.25,10.43,10.26,0.17,1.6569,65633.69,68775.447
603901.SH,20191209,10.5,10.5,10.22,10.26,10.51,-0.25,-2.3787,69794.94,72016.767
603901.SH,20191206,10.36,10.54,10.24,10.51,10.34,0.17,1.6441,87674.49,90839.886
603901.SH,20191205,10.35,10.5,10.29,10.34,10.4,-0.06,-0.5769,61106.35,63400.149
603901.SH,20191204,10.47,10.52,10.2,10.4,10.42,-0.02,-0.1919,68022.71,70430.295
603901.SH,20191203,10.37,10.54,10.33,10.42,10.45,-0.03,-0.2871,64819.45,67529.45
603901.SH,20191202,10.4,10.66,10.31,10.45,10.34,0.11,1.0638,104094.57,109204.959
603901.SH,20191129,10.26,10.77,10.2,10.34,10.36,-0.02,-0.1931,116047.57,121387.824
603901.SH,20191128,9.88,10.48,9.78,10.36,9.89,0.47,4.7523,90838.3,93181.455
603901.SH,20191127,9.85,9.96,9.69,9.89,9.88,0.01,0.1012,41069.2,40432.262
603901.SH,20191126,9.84,9.96,9.73,9.88,9.86,0.02,0.2028,62945.1,61840.182
603901.SH,20191125,9.61,10.01,9.48,9.86,9.58,0.28,2.9228,128535.23,125321.051
603901.SH,20191122,9.26,9.59,9.12,9.58,9.24,0.34,3.6797,92602.78,87137.858
603901.SH,20191121,9.07,9.25,9.07,9.24,9.12,0.12,1.3158,38425.18,35255.279
603901.SH,20191120,9.28,9.29,9.02,9.12,9.11,0.01,0.1098,78223.02,71554.296
603901.SH,20191119,8.71,9.18,8.71,9.11,8.81,0.3,3.4052,98386.37,88895.57
603901.SH,20191118,8.4,8.93,8.3,8.81,8.45,0.36,4.2604,59562.22,51555.25
603901.SH,20191115,8.47,8.65,8.35,8.45,8.41,0.04,0.4756,32516.0,27656.453
603901.SH,20191114,8.46,8.57,8.4,8.41,8.55,-0.14,-1.6374,32389.0,27448.112
603901.SH,20191113,8.59,8.64,8.41,8.55,8.47,0.08,0.9445,28821.0,24483.104
603901.SH,20191112,8.32,8.55,8.32,8.47,8.35,0.12,1.4371,26062.0,21959.514
603901.SH,20191111,8.43,8.56,8.27,8.35,8.49,-0.14,-1.649,43346.09,36480.214
603901.SH,20191108,8.56,8.61,8.4,8.49,8.5,-0.01,-0.1176,37828.0,32172.085
603901.SH,20191107,8.48,8.55,8.34,8.5,8.31,0.19,2.2864,36938.0,31249.66
603901.SH,20191106,8.36,8.6,8.28,8.31,8.33,-0.02,-0.2401,65070.16,54983.813
603901.SH,20191105,8.35,8.4,8.3,8.33,8.34,-0.01,-0.1199,42032.77,35048.449
603901.SH,20191104,8.22,8.37,8.22,8.34,8.24,0.1,1.2136,42074.38,34943.85
603901.SH,20191101,8.1,8.27,8.03,8.24,8.11,0.13,1.603,36704.7,30085.321
603901.SH,20191031,8.17,8.35,8.09,8.11,8.07,0.04,0.4957,52593.74,43085.555
603901.SH,20191030,8.02,8.09,7.94,8.07,8.02,0.05,0.6234,28707.0,23068.483
603901.SH,20191029,7.91,8.11,7.85,8.02,7.89,0.13,1.6477,45434.94,36450.482
603901.SH,20191028,7.74,7.92,7.74,7.89,7.76,0.13,1.6753,17981.0,14163.001
603901.SH,20191025,7.67,7.78,7.66,7.76,7.68,0.08,1.0417,9647.0,7462.317
603901.SH,20191024,7.73,7.8,7.66,7.68,7.72,-0.04,-0.5181,10722.0,8274.347
603901.SH,20191023,7.86,7.88,7.69,7.72,7.89,-0.17,-2.1546,14789.0,11486.738
603901.SH,20191022,7.72,7.89,7.72,7.89,7.72,0.17,2.2021,14282.0,11172.283
603901.SH,20191021,7.83,7.83,7.65,7.72,7.83,-0.11,-1.4049,13318.02,10264.662
603901.SH,20191018,7.89,7.93,7.74,7.83,7.91,-0.08,-1.0114,19211.0,14998.243
603901.SH,20191017,7.92,7.99,7.87,7.91,7.89,0.02,0.2535,11608.0,9213.207
