ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002014.SZ,20200110,9.75,9.88,9.73,9.79,9.75,0.04,0.4103,15198.24,14915.382
002014.SZ,20200109,9.8,9.95,9.72,9.75,9.8,-0.05,-0.5102,18808.78,18423.374
002014.SZ,20200108,9.9,9.9,9.67,9.8,9.91,-0.11,-1.11,21802.38,21303.848
002014.SZ,20200107,9.8,9.97,9.75,9.91,9.82,0.09,0.9165,16934.21,16726.495
002014.SZ,20200106,9.81,10.06,9.57,9.82,9.86,-0.04,-0.4057,38139.15,37330.92
002014.SZ,20200103,9.81,10.06,9.81,9.86,9.88,-0.02,-0.2024,27111.11,26877.812
002014.SZ,20200102,9.73,9.92,9.65,9.88,9.72,0.16,1.6461,39200.77,38259.084
002014.SZ,20191231,9.47,9.74,9.41,9.72,9.52,0.2,2.1008,36833.26,35253.961
002014.SZ,20191230,9.37,9.54,9.19,9.52,9.42,0.1,1.0616,22000.62,20670.028
002014.SZ,20191227,9.38,9.5,9.25,9.42,9.38,0.04,0.4264,28702.02,26914.934
002014.SZ,20191226,9.16,9.42,9.15,9.38,9.16,0.22,2.4017,28864.78,26942.384
002014.SZ,20191225,9.18,9.25,9.06,9.16,9.2,-0.04,-0.4348,15306.92,14019.421
002014.SZ,20191224,9.02,9.33,8.82,9.2,9.03,0.17,1.8826,33813.53,30810.559
002014.SZ,20191223,9.18,9.19,8.84,9.03,9.17,-0.14,-1.5267,36378.15,32726.099
002014.SZ,20191220,9.2,9.24,9.02,9.17,9.17,0.0,0.0,28940.74,26497.517
002014.SZ,20191219,9.03,9.24,8.95,9.17,9.06,0.11,1.2141,28205.12,25722.851
002014.SZ,20191218,8.96,9.1,8.88,9.06,9.0,0.06,0.6667,32739.68,29492.109
002014.SZ,20191217,8.84,9.03,8.82,9.0,8.83,0.17,1.9253,39456.53,35318.67
002014.SZ,20191216,8.95,8.99,8.72,8.83,8.89,-0.06,-0.6749,30913.17,27286.414
002014.SZ,20191213,8.85,8.93,8.77,8.89,8.86,0.03,0.3386,24468.63,21683.248
002014.SZ,20191212,8.79,8.96,8.66,8.86,8.68,0.18,2.0737,37421.72,33139.048
002014.SZ,20191211,8.78,8.84,8.63,8.68,8.78,-0.1,-1.139,24159.82,21042.601
002014.SZ,20191210,8.71,8.82,8.56,8.78,8.72,0.06,0.6881,35570.62,30870.272
002014.SZ,20191209,8.35,8.8,8.35,8.72,8.33,0.39,4.6819,55978.38,48377.203
002014.SZ,20191206,8.41,8.41,8.25,8.33,8.36,-0.03,-0.3589,17191.82,14270.452
002014.SZ,20191205,8.08,8.41,8.08,8.36,8.02,0.34,4.2394,32571.84,26993.735
002014.SZ,20191204,8.03,8.11,7.96,8.02,8.07,-0.05,-0.6196,15572.54,12528.201
002014.SZ,20191203,8.01,8.08,7.93,8.07,8.07,0.0,0.0,11998.88,9599.931
002014.SZ,20191202,8.12,8.13,7.91,8.07,8.13,-0.06,-0.738,26324.06,21100.443
002014.SZ,20191129,8.1,8.18,8.01,8.13,8.13,0.0,0.0,19361.7,15685.027
