ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300368.SZ,20200110,8.84,8.88,8.5,8.65,8.76,-0.11,-1.2557,154199.95,132985.703
300368.SZ,20200109,8.65,8.98,8.63,8.76,8.57,0.19,2.217,205034.54,180677.337
300368.SZ,20200108,8.64,8.78,8.46,8.57,8.79,-0.22,-2.5028,205210.79,177127.084
300368.SZ,20200107,8.4,8.8,8.37,8.79,8.35,0.44,5.2695,270790.81,233544.223
300368.SZ,20200106,8.24,8.48,8.24,8.35,8.46,-0.11,-1.3002,145603.13,121716.888
300368.SZ,20200103,8.41,8.5,8.18,8.46,8.38,0.08,0.9547,144463.78,120804.199
300368.SZ,20200102,8.32,8.46,8.32,8.38,8.22,0.16,1.9465,106234.75,89106.951
300368.SZ,20191231,8.12,8.38,8.11,8.22,8.11,0.11,1.3564,89459.13,73812.217
300368.SZ,20191230,8.08,8.22,7.82,8.11,8.1,0.01,0.1235,87767.9,70650.912
300368.SZ,20191227,8.36,8.39,8.08,8.1,8.35,-0.25,-2.994,101082.78,83405.176
300368.SZ,20191226,8.36,8.42,8.22,8.35,8.32,0.03,0.3606,107107.0,89014.607
300368.SZ,20191225,8.16,8.5,8.13,8.32,8.14,0.18,2.2113,127336.0,106396.45
300368.SZ,20191224,7.91,8.16,7.91,8.14,7.87,0.27,3.4307,84549.04,68173.912
300368.SZ,20191223,8.16,8.23,7.86,7.87,8.24,-0.37,-4.4903,108368.91,87087.237
300368.SZ,20191220,8.55,8.57,8.21,8.24,8.55,-0.31,-3.6257,126906.0,106194.521
300368.SZ,20191219,8.43,8.64,8.37,8.55,8.38,0.17,2.0286,144338.0,122965.876
300368.SZ,20191218,8.49,8.56,8.33,8.38,8.51,-0.13,-1.5276,145910.81,123239.789
300368.SZ,20191217,8.32,8.74,8.23,8.51,8.3,0.21,2.5301,221964.15,188221.641
300368.SZ,20191216,8.2,8.31,8.1,8.3,8.18,0.12,1.467,172262.38,141525.043
300368.SZ,20191213,7.92,8.26,7.9,8.18,7.82,0.36,4.6036,202530.32,163842.067
300368.SZ,20191212,7.97,7.99,7.81,7.82,8.02,-0.2,-2.4938,89846.0,70784.157
300368.SZ,20191211,7.93,8.2,7.9,8.02,7.96,0.06,0.7538,117892.79,95063.41
300368.SZ,20191210,7.94,7.99,7.81,7.96,8.01,-0.05,-0.6242,118670.0,93794.656
300368.SZ,20191209,7.82,8.09,7.75,8.01,7.77,0.24,3.0888,162690.62,129364.965
300368.SZ,20191206,7.73,7.77,7.64,7.77,7.74,0.03,0.3876,87321.74,67385.26
300368.SZ,20191205,7.58,7.85,7.58,7.74,7.56,0.18,2.381,125482.49,96734.235
300368.SZ,20191204,7.53,7.65,7.5,7.56,7.6,-0.04,-0.5263,67496.87,51103.651
300368.SZ,20191203,7.43,7.6,7.31,7.6,7.51,0.09,1.1984,83786.5,62503.342
300368.SZ,20191202,7.56,7.7,7.51,7.51,7.55,-0.04,-0.5298,72827.0,55241.607
300368.SZ,20191129,7.6,7.65,7.42,7.55,7.64,-0.09,-1.178,93373.9,70315.742
300368.SZ,20191128,7.65,7.78,7.51,7.64,7.57,0.07,0.9247,126695.91,96987.675
300368.SZ,20191127,7.6,7.79,7.51,7.57,7.65,-0.08,-1.0458,82718.99,62968.083
300368.SZ,20191126,7.73,7.86,7.55,7.65,7.7,-0.05,-0.6494,81579.89,62646.931
300368.SZ,20191125,7.81,7.84,7.54,7.7,7.87,-0.17,-2.1601,88670.0,68120.062
300368.SZ,20191122,8.11,8.17,7.7,7.87,8.09,-0.22,-2.7194,128534.56,101508.221
300368.SZ,20191121,8.07,8.2,8.0,8.09,8.11,-0.02,-0.2466,76581.0,61967.626
300368.SZ,20191120,8.31,8.4,8.1,8.11,8.3,-0.19,-2.2892,141719.86,117094.592
300368.SZ,20191119,8.12,8.33,8.04,8.3,8.21,0.09,1.0962,130073.0,106733.884
300368.SZ,20191118,8.14,8.27,8.06,8.21,8.1,0.11,1.358,109181.0,89317.199
300368.SZ,20191115,8.23,8.33,8.05,8.1,8.3,-0.2,-2.4096,109417.0,89435.399
300368.SZ,20191114,8.34,8.39,8.2,8.3,8.32,-0.02,-0.2404,107323.04,89268.033
300368.SZ,20191113,8.52,8.57,8.24,8.32,8.6,-0.28,-3.2558,125076.87,104588.03
300368.SZ,20191112,8.57,8.66,8.36,8.6,8.5,0.1,1.1765,125729.04,107221.51
300368.SZ,20191111,8.77,8.77,8.5,8.5,8.84,-0.34,-3.8462,159509.0,137275.0
300368.SZ,20191108,9.27,9.32,8.8,8.84,9.2,-0.36,-3.913,223187.39,201927.395
300368.SZ,20191107,9.15,9.34,8.98,9.2,9.11,0.09,0.9879,203324.02,187139.091
300368.SZ,20191106,9.3,9.46,9.0,9.11,9.43,-0.32,-3.3934,231985.61,213446.705
300368.SZ,20191105,9.38,9.73,9.22,9.43,9.12,0.31,3.3991,295850.89,280517.457
300368.SZ,20191104,9.35,9.49,9.1,9.12,9.26,-0.14,-1.5119,245526.4,228539.391
300368.SZ,20191101,9.15,9.61,9.01,9.26,9.38,-0.12,-1.2793,274103.23,256141.021
300368.SZ,20191031,10.08,10.3,9.38,9.38,10.42,-1.04,-9.9808,425636.81,417377.105
300368.SZ,20191030,9.81,10.55,9.71,10.42,10.22,0.2,1.9569,589896.57,596542.273
300368.SZ,20191029,10.35,11.11,10.1,10.22,10.1,0.12,1.1881,851904.62,926849.859
300368.SZ,20191028,10.1,10.1,9.8,10.1,9.18,0.92,10.0218,277106.75,279107.845
300368.SZ,20191025,9.35,9.54,9.13,9.18,9.45,-0.27,-2.8571,245789.36,228752.514
300368.SZ,20191024,9.25,9.61,9.1,9.45,9.35,0.1,1.0695,260939.38,245081.8
300368.SZ,20191023,9.3,9.8,9.21,9.35,9.41,-0.06,-0.6376,320410.58,305235.514
300368.SZ,20191022,9.04,9.44,8.97,9.41,9.14,0.27,2.954,285738.13,264075.444
300368.SZ,20191021,9.04,9.19,8.5,9.14,9.08,0.06,0.6608,237115.31,209732.493
300368.SZ,20191018,9.38,9.45,8.93,9.08,9.47,-0.39,-4.1183,288276.01,262979.706
300368.SZ,20191017,9.33,9.61,9.21,9.47,9.29,0.18,1.9376,282317.36,266265.733
300368.SZ,20191016,9.34,9.6,9.11,9.29,9.57,-0.28,-2.9258,325047.32,304850.468
300368.SZ,20191015,10.33,10.45,9.57,9.57,10.63,-1.06,-9.9718,416582.83,410302.959
300368.SZ,20191014,10.6,11.03,10.33,10.63,10.74,-0.11,-1.0242,539004.47,574431.319
300368.SZ,20191011,10.85,11.36,10.51,10.74,11.42,-0.68,-5.9545,796054.7,871888.194
300368.SZ,20191010,10.18,11.66,10.1,11.42,10.6,0.82,7.7358,862543.32,960581.147
300368.SZ,20191009,10.07,11.08,9.58,10.6,10.07,0.53,5.2632,789498.56,815115.977
300368.SZ,20191008,9.1,10.07,9.05,10.07,9.15,0.92,10.0546,323564.99,314788.042
300368.SZ,20190930,9.5,10.03,9.02,9.15,9.74,-0.59,-6.0575,392990.84,372711.46
300368.SZ,20190927,9.0,9.96,8.8,9.74,9.52,0.22,2.3109,639054.45,610931.984
300368.SZ,20190926,8.86,9.87,8.69,9.52,8.97,0.55,6.1315,723559.83,681375.353
300368.SZ,20190925,8.41,9.25,8.36,8.97,8.55,0.42,4.9123,401992.39,354489.191
300368.SZ,20190924,8.51,8.87,8.46,8.55,8.66,-0.11,-1.2702,273187.76,237270.117
