ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603078.SH,20200110,34.52,34.97,33.9,34.12,34.17,-0.05,-0.1463,29692.52,102507.152
603078.SH,20200109,33.85,34.55,33.7,34.17,33.45,0.72,2.1525,23748.17,81150.157
603078.SH,20200108,34.21,34.59,33.34,33.45,34.58,-1.13,-3.2678,33463.83,113663.77
603078.SH,20200107,34.9,35.22,34.2,34.58,34.45,0.13,0.3774,23105.52,79808.179
603078.SH,20200106,34.0,35.08,33.63,34.45,34.99,-0.54,-1.5433,40919.56,140728.586
603078.SH,20200103,34.99,35.43,34.73,34.99,35.2,-0.21,-0.5966,34805.03,122175.414
603078.SH,20200102,34.35,35.3,34.18,35.2,34.18,1.02,2.9842,45811.39,159762.517
603078.SH,20191231,34.77,35.24,33.78,34.18,34.72,-0.54,-1.5553,33550.06,115072.237
603078.SH,20191230,34.71,35.11,33.55,34.72,35.6,-0.88,-2.4719,45586.17,156763.852
603078.SH,20191227,36.74,36.75,35.37,35.6,37.09,-1.49,-4.0173,58019.51,208382.118
603078.SH,20191226,35.75,37.4,35.55,37.09,36.05,1.04,2.8849,78658.84,286697.668
603078.SH,20191225,35.68,37.15,34.62,36.05,35.31,0.74,2.0957,83317.15,298657.229
603078.SH,20191224,32.3,35.31,32.22,35.31,32.1,3.21,10.0,71508.85,245233.342
603078.SH,20191223,32.48,33.18,31.4,32.1,32.59,-0.49,-1.5035,22377.0,72795.657
603078.SH,20191220,33.38,33.38,32.5,32.59,33.34,-0.75,-2.2496,20191.54,66565.113
603078.SH,20191219,33.77,33.77,33.16,33.34,33.82,-0.48,-1.4193,22783.54,76079.879
603078.SH,20191218,34.0,34.32,33.63,33.82,34.42,-0.6,-1.7432,31855.41,108133.091
603078.SH,20191217,33.71,34.62,33.43,34.42,34.04,0.38,1.1163,41781.83,141757.923
603078.SH,20191216,32.7,34.25,32.35,34.04,32.68,1.36,4.1616,48221.87,162505.741
603078.SH,20191213,32.88,33.2,32.19,32.68,32.9,-0.22,-0.6687,35915.56,117014.734
603078.SH,20191212,31.69,34.32,31.62,32.9,31.9,1.0,3.1348,61712.58,203868.542
603078.SH,20191211,31.0,32.29,30.95,31.9,31.27,0.63,2.0147,38053.86,120785.945
603078.SH,20191210,30.89,31.44,30.5,31.27,31.1,0.17,0.5466,27478.61,85058.472
603078.SH,20191209,31.64,31.87,30.8,31.1,31.3,-0.2,-0.639,32831.61,102082.805
603078.SH,20191206,30.5,31.36,30.1,31.3,30.46,0.84,2.7577,36119.32,111126.157
603078.SH,20191205,30.1,30.67,29.8,30.46,29.98,0.48,1.6011,32000.94,97048.661
603078.SH,20191204,30.1,30.53,29.88,29.98,30.48,-0.5,-1.6404,20790.79,62647.491
603078.SH,20191203,30.0,30.5,29.65,30.48,30.48,0.0,0.0,25705.82,77167.985
603078.SH,20191202,30.2,30.73,29.75,30.48,30.08,0.4,1.3298,34151.3,103422.456
603078.SH,20191129,29.26,30.16,29.11,30.08,29.27,0.81,2.7673,27826.58,82943.184
603078.SH,20191128,29.3,29.45,28.88,29.27,29.45,-0.18,-0.6112,14860.44,43321.344
603078.SH,20191127,28.95,29.98,28.52,29.45,28.97,0.48,1.6569,20953.92,61527.946
603078.SH,20191126,28.78,29.15,28.6,28.97,28.78,0.19,0.6602,9627.3,27752.209
603078.SH,20191125,28.7,29.49,28.28,28.78,29.03,-0.25,-0.8612,16171.28,46512.236
603078.SH,20191122,29.39,30.18,28.68,29.03,29.58,-0.55,-1.8594,27063.14,79676.531
603078.SH,20191121,29.33,30.05,29.11,29.58,29.55,0.03,0.1015,15613.77,46296.556
603078.SH,20191120,29.99,30.17,29.35,29.55,30.06,-0.51,-1.6966,18577.4,55243.839
603078.SH,20191119,29.56,30.17,29.5,30.06,29.51,0.55,1.8638,18739.2,56167.323
603078.SH,20191118,29.15,29.88,29.15,29.51,29.11,0.4,1.3741,19605.1,57897.544
603078.SH,20191115,29.37,29.8,28.93,29.11,30.07,-0.96,-3.1926,25428.7,74632.676
603078.SH,20191114,29.63,30.43,29.6,30.07,29.9,0.17,0.5686,25968.76,77906.822
603078.SH,20191113,30.01,30.4,29.41,29.9,30.26,-0.36,-1.1897,27804.54,82846.273
603078.SH,20191112,30.23,30.31,29.37,30.26,30.15,0.11,0.3648,26328.72,78524.55
603078.SH,20191111,31.43,31.49,29.93,30.15,31.4,-1.25,-3.9809,30632.2,93413.447
603078.SH,20191108,32.18,32.8,31.14,31.4,31.73,-0.33,-1.04,34112.44,108642.763
603078.SH,20191107,30.27,32.2,30.1,31.73,30.4,1.33,4.375,46785.59,147798.871
603078.SH,20191106,30.32,31.2,30.02,30.4,30.05,0.35,1.1647,43356.32,133074.277
603078.SH,20191105,32.53,32.88,29.93,30.05,33.26,-3.21,-9.6512,85697.97,262791.927
603078.SH,20191104,32.58,33.5,32.28,33.26,32.65,0.61,1.8683,33399.32,110198.912
603078.SH,20191101,31.46,32.88,31.1,32.65,32.25,0.4,1.2403,33902.91,109073.655
603078.SH,20191031,33.02,34.3,32.13,32.25,33.63,-1.38,-4.1035,42974.41,142325.415
603078.SH,20191030,33.0,34.5,32.02,33.63,33.35,0.28,0.8396,51151.88,170993.867
603078.SH,20191029,33.9,34.1,33.2,33.35,34.43,-1.08,-3.1368,41101.34,138087.355
603078.SH,20191028,32.23,34.8,31.61,34.43,31.83,2.6,8.1684,64496.45,216635.258
603078.SH,20191025,32.0,32.25,31.18,31.83,31.95,-0.12,-0.3756,37449.06,118702.307
603078.SH,20191024,33.19,33.39,31.32,31.95,33.58,-1.63,-4.8541,52040.82,167946.987
603078.SH,20191023,33.6,34.14,33.3,33.58,34.05,-0.47,-1.3803,36968.64,124638.83
603078.SH,20191022,32.73,34.38,32.48,34.05,32.69,1.36,4.1603,53608.26,180499.033
