ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002176.SZ,20200110,3.91,3.98,3.76,3.96,3.9,0.06,1.5385,736516.44,285666.539
002176.SZ,20200109,3.96,4.0,3.84,3.9,3.89,0.01,0.2571,547262.78,213583.584
002176.SZ,20200108,3.92,4.08,3.87,3.89,3.95,-0.06,-1.519,854239.22,339745.715
002176.SZ,20200107,3.93,3.97,3.86,3.95,3.97,-0.02,-0.5038,669030.29,262413.514
002176.SZ,20200106,3.72,4.09,3.72,3.97,3.78,0.19,5.0265,1176202.17,460871.811
002176.SZ,20200103,3.8,3.87,3.74,3.78,3.87,-0.09,-2.3256,586437.53,222341.331
002176.SZ,20200102,3.79,3.9,3.72,3.87,3.76,0.11,2.9255,810855.96,308238.122
002176.SZ,20191231,3.67,3.9,3.67,3.76,3.72,0.04,1.0753,628165.04,238417.287
002176.SZ,20191230,3.71,3.75,3.61,3.72,3.78,-0.06,-1.5873,501706.81,185109.409
002176.SZ,20191227,3.8,3.93,3.78,3.78,3.87,-0.09,-2.3256,831544.48,318906.028
002176.SZ,20191226,3.62,3.98,3.59,3.87,3.67,0.2,5.4496,1187970.41,453344.611
002176.SZ,20191225,3.77,3.81,3.6,3.67,3.77,-0.1,-2.6525,1135972.35,420126.056
002176.SZ,20191224,3.37,3.77,3.36,3.77,3.43,0.34,9.9125,931948.89,334639.416
002176.SZ,20191223,3.35,3.66,3.3,3.43,3.36,0.07,2.0833,823898.16,286479.515
002176.SZ,20191220,3.47,3.47,3.35,3.36,3.47,-0.11,-3.17,350643.85,119350.816
002176.SZ,20191219,3.37,3.5,3.35,3.47,3.38,0.09,2.6627,450844.86,155163.596
002176.SZ,20191218,3.36,3.42,3.33,3.38,3.36,0.02,0.5952,473078.03,159422.316
002176.SZ,20191217,3.21,3.37,3.19,3.36,3.2,0.16,5.0,672821.98,222166.596
002176.SZ,20191216,3.2,3.2,3.14,3.2,3.18,0.02,0.6289,245684.24,78043.14
002176.SZ,20191213,3.17,3.22,3.13,3.18,3.15,0.03,0.9524,252425.72,80211.456
002176.SZ,20191212,3.23,3.23,3.15,3.15,3.23,-0.08,-2.4768,237437.6,75620.581
002176.SZ,20191211,3.27,3.28,3.2,3.23,3.31,-0.08,-2.4169,297462.4,96366.802
