ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603738.SH,20200110,26.0,27.3,25.56,25.89,26.28,-0.39,-1.484,120332.77,317772.174
603738.SH,20200109,26.48,27.6,25.76,26.28,26.89,-0.61,-2.2685,151857.92,401396.773
603738.SH,20200108,25.88,28.76,24.42,26.89,26.66,0.23,0.8627,272591.47,722979.299
603738.SH,20200107,24.34,26.66,23.66,26.66,24.24,2.42,9.9835,181304.0,461909.921
603738.SH,20200106,22.15,24.95,22.08,24.24,22.76,1.48,6.5026,229078.4,533745.493
603738.SH,20200103,22.18,23.47,22.0,22.76,21.54,1.22,5.6639,248059.11,561141.801
603738.SH,20200102,20.06,21.54,20.06,21.54,19.58,1.96,10.0102,104217.28,219179.452
603738.SH,20191231,20.33,20.55,19.33,19.58,20.32,-0.74,-3.6417,101369.63,200421.88
603738.SH,20191230,21.03,21.03,19.41,20.32,21.02,-0.7,-3.3302,97859.43,196708.431
603738.SH,20191227,22.2,22.45,20.77,21.02,22.04,-1.02,-4.6279,166393.18,360679.427
603738.SH,20191226,20.44,22.04,20.01,22.04,20.04,2.0,9.98,173372.34,368814.286
603738.SH,20191225,20.4,20.8,19.7,20.04,20.27,-0.23,-1.1347,123917.81,250867.809
603738.SH,20191224,20.0,20.55,19.34,20.27,20.82,-0.55,-2.6417,149409.84,298684.232
603738.SH,20191223,22.85,22.92,20.82,20.82,23.13,-2.31,-9.987,187333.94,407542.498
603738.SH,20191220,21.8,23.66,20.8,23.13,21.71,1.42,6.5408,277006.41,627601.61
603738.SH,20191219,20.6,22.69,19.7,21.71,20.71,1.0,4.8286,317332.04,668153.664
603738.SH,20191218,19.95,20.71,19.33,20.71,18.83,1.88,9.9841,223178.53,452090.713
603738.SH,20191217,17.1,18.83,17.1,18.83,17.12,1.71,9.9883,119555.35,217437.087
603738.SH,20191216,16.62,17.7,16.55,17.12,16.61,0.51,3.0704,77466.9,132351.916
603738.SH,20191213,16.9,16.9,16.39,16.61,16.59,0.02,0.1206,55422.83,91756.597
603738.SH,20191212,16.35,16.96,16.29,16.59,16.46,0.13,0.7898,66429.48,110542.448
603738.SH,20191211,16.6,16.61,16.14,16.46,16.51,-0.05,-0.3028,67382.66,110370.495
603738.SH,20191210,16.23,16.55,15.92,16.51,16.11,0.4,2.4829,70697.43,115299.748
603738.SH,20191209,15.95,16.34,15.95,16.11,16.02,0.09,0.5618,59074.3,95150.442
603738.SH,20191206,15.6,16.2,15.43,16.02,15.58,0.44,2.8241,81970.42,129783.013
603738.SH,20191205,15.24,15.67,15.08,15.58,15.12,0.46,3.0423,68330.87,105623.048
603738.SH,20191204,14.93,15.5,14.81,15.12,15.08,0.04,0.2653,41853.65,63372.169
603738.SH,20191203,15.18,15.28,14.7,15.08,15.35,-0.27,-1.759,53182.09,79362.414
603738.SH,20191202,15.1,15.83,15.05,15.35,15.1,0.25,1.6556,51135.93,78531.488
603738.SH,20191129,15.2,15.33,15.01,15.1,15.24,-0.14,-0.9186,20778.88,31481.336
603738.SH,20191128,15.3,15.54,15.11,15.24,15.42,-0.18,-1.1673,22964.33,35168.842
603738.SH,20191127,15.2,15.55,14.9,15.42,15.3,0.12,0.7843,38200.42,58501.078
603738.SH,20191126,15.47,15.69,15.28,15.3,15.42,-0.12,-0.7782,21699.6,33542.195
603738.SH,20191125,15.95,16.0,15.36,15.42,15.96,-0.54,-3.3835,32325.74,50251.527
603738.SH,20191122,16.12,16.4,15.78,15.96,16.02,-0.06,-0.3745,43415.03,69969.438
603738.SH,20191121,16.07,16.09,15.69,16.02,16.06,-0.04,-0.2491,29188.8,46506.15
603738.SH,20191120,16.55,16.59,16.0,16.06,16.55,-0.49,-2.9607,51913.0,84280.808
603738.SH,20191119,16.22,16.8,16.0,16.55,16.22,0.33,2.0345,63632.39,104611.995
603738.SH,20191118,16.01,16.24,15.87,16.22,16.09,0.13,0.808,40962.97,65826.602
603738.SH,20191115,16.04,16.45,15.6,16.09,16.04,0.05,0.3117,51733.7,82986.266
603738.SH,20191114,16.04,16.24,15.6,16.04,15.79,0.25,1.5833,48231.44,77122.129
603738.SH,20191113,16.02,16.16,15.6,15.79,15.99,-0.2,-1.2508,27527.47,43456.513
603738.SH,20191112,15.97,16.05,15.26,15.99,15.82,0.17,1.0746,43152.25,67634.448
603738.SH,20191111,16.14,16.21,15.63,15.82,16.43,-0.61,-3.7127,35486.1,56407.992
603738.SH,20191108,16.51,17.0,16.42,16.43,16.44,-0.01,-0.0608,34701.86,57635.706
603738.SH,20191107,16.4,16.59,16.18,16.44,16.4,0.04,0.2439,27689.63,45412.547
603738.SH,20191106,17.09,17.09,16.25,16.4,16.89,-0.49,-2.9011,35899.07,59407.886
603738.SH,20191105,16.46,17.26,16.46,16.89,16.75,0.14,0.8358,38227.62,64683.013
603738.SH,20191104,15.91,17.3,15.91,16.75,16.56,0.19,1.1473,65497.27,110097.142
603738.SH,20191101,17.24,17.65,16.56,16.56,18.4,-1.84,-10.0,45458.17,76250.853
603738.SH,20191031,18.55,18.99,18.33,18.4,18.5,-0.1,-0.5405,37700.18,70671.024
603738.SH,20191030,19.16,19.16,18.48,18.5,19.28,-0.78,-4.0456,40709.95,76437.064
603738.SH,20191029,19.77,19.96,19.21,19.28,20.05,-0.77,-3.8404,47656.61,92828.736
603738.SH,20191028,19.37,20.14,19.37,20.05,19.34,0.71,3.6711,47187.2,93540.834
603738.SH,20191025,19.41,19.46,18.93,19.34,19.39,-0.05,-0.2579,35300.66,67833.518
603738.SH,20191024,19.8,19.92,19.32,19.39,19.83,-0.44,-2.2189,32762.24,63915.735
603738.SH,20191023,20.22,20.3,19.81,19.83,20.22,-0.39,-1.9288,27219.38,54419.508
603738.SH,20191022,20.03,20.49,20.02,20.22,20.02,0.2,0.999,34363.08,69454.997
603738.SH,20191021,19.78,20.02,18.79,20.02,19.67,0.35,1.7794,39052.31,76113.019
603738.SH,20191018,20.35,20.36,19.58,19.67,20.2,-0.53,-2.6238,39931.45,79431.161
603738.SH,20191017,20.21,20.45,20.02,20.2,20.32,-0.12,-0.5906,29967.32,60663.772
603738.SH,20191016,20.58,20.75,20.2,20.32,20.45,-0.13,-0.6357,30907.62,62916.343
603738.SH,20191015,21.29,21.29,20.3,20.45,21.32,-0.87,-4.0807,50779.49,104658.008
603738.SH,20191014,21.5,21.5,21.15,21.32,20.95,0.37,1.7661,48264.18,102899.93
603738.SH,20191011,21.39,21.52,20.88,20.95,21.39,-0.44,-2.057,51687.27,109027.051
603738.SH,20191010,20.75,21.57,20.52,21.39,20.75,0.64,3.0843,69632.3,148190.473
603738.SH,20191009,19.95,20.87,19.36,20.75,20.15,0.6,2.9777,60978.34,123672.626
603738.SH,20191008,20.11,20.43,20.0,20.15,20.15,0.0,0.0,38144.47,77069.555
603738.SH,20190930,20.28,20.58,20.0,20.15,20.28,-0.13,-0.641,46698.2,94355.48
603738.SH,20190927,19.76,20.96,19.75,20.28,20.07,0.21,1.0463,77231.18,157714.379
603738.SH,20190926,22.22,22.34,20.0,20.07,22.14,-2.07,-9.3496,109183.24,226432.973
603738.SH,20190925,22.92,22.97,21.85,22.14,23.37,-1.23,-5.2632,116322.75,258172.219
603738.SH,20190924,22.86,23.6,22.86,23.37,23.23,0.14,0.6027,107580.46,250442.333
603738.SH,20190923,23.62,23.65,22.85,23.23,24.43,-1.2,-4.912,127930.9,296655.005
603738.SH,20190920,25.11,25.35,24.4,24.43,25.62,-1.19,-4.6448,170754.16,423117.327
603738.SH,20190919,25.46,27.22,25.1,25.62,26.03,-0.41,-1.5751,281053.9,733140.023
603738.SH,20190918,24.28,26.75,24.08,26.03,24.53,1.5,6.115,285473.55,731296.81
603738.SH,20190917,25.5,25.5,23.87,24.53,25.63,-1.1,-4.2918,261367.82,641272.174
603738.SH,20190916,22.85,25.63,22.45,25.63,23.3,2.33,10.0,249805.93,593985.185
603738.SH,20190912,22.2,24.2,22.12,23.3,22.1,1.2,5.4299,195732.57,452248.542
603738.SH,20190911,22.53,22.64,22.09,22.1,22.6,-0.5,-2.2124,81832.26,182532.482
603738.SH,20190910,23.48,23.5,22.31,22.6,23.48,-0.88,-3.7479,147789.98,335993.409
603738.SH,20190909,22.85,23.55,22.3,23.48,22.61,0.87,3.8479,191723.12,442906.315
603738.SH,20190906,22.17,23.17,22.02,22.61,22.13,0.48,2.169,164589.89,373018.619
603738.SH,20190905,21.96,22.74,21.76,22.13,21.9,0.23,1.0502,152286.35,338286.996
603738.SH,20190904,21.89,22.44,21.6,21.9,22.15,-0.25,-1.1287,121785.8,267112.65
603738.SH,20190903,20.8,22.18,20.68,22.15,20.92,1.23,5.8795,153711.31,330770.592
603738.SH,20190902,20.54,21.2,19.81,20.92,20.68,0.24,1.1605,96955.04,197994.953
603738.SH,20190830,21.02,21.47,20.5,20.68,20.94,-0.26,-1.2416,81965.15,172119.671
603738.SH,20190829,20.92,21.57,20.91,20.94,20.96,-0.02,-0.0954,65360.59,138672.406
603738.SH,20190828,21.24,21.45,20.91,20.96,21.45,-0.49,-2.2844,65729.63,138462.164
603738.SH,20190827,21.6,21.8,21.28,21.45,21.56,-0.11,-0.5102,89747.21,192969.696
603738.SH,20190826,20.29,21.95,20.2,21.56,21.02,0.54,2.569,101270.81,215637.705
603738.SH,20190823,21.38,21.38,20.72,21.02,21.72,-0.7,-3.2228,108296.35,227783.073
603738.SH,20190822,22.24,22.39,21.19,21.72,22.12,-0.4,-1.8083,106856.77,232023.074
603738.SH,20190821,22.45,22.51,22.01,22.12,22.57,-0.45,-1.9938,91616.21,203298.064
603738.SH,20190820,23.01,23.01,22.45,22.57,23.21,-0.64,-2.7574,156128.19,354270.091
603738.SH,20190819,22.52,23.48,21.7,23.21,22.33,0.88,3.9409,224750.66,509534.534
603738.SH,20190816,22.18,22.92,22.18,22.33,22.45,-0.12,-0.5345,174804.28,394057.32
603738.SH,20190815,21.09,22.49,20.54,22.45,21.94,0.51,2.3245,173074.29,375270.034
603738.SH,20190814,22.89,23.28,21.77,21.94,22.32,-0.38,-1.7025,204916.3,460362.813
603738.SH,20190813,21.74,22.92,21.35,22.32,21.26,1.06,4.9859,275535.97,609747.225
603738.SH,20190812,19.65,21.26,19.65,21.26,19.33,1.93,9.9845,184730.14,384632.134
603738.SH,20190809,20.55,20.57,19.17,19.33,20.27,-0.94,-4.6374,118196.99,233195.092
603738.SH,20190808,19.9,20.46,19.8,20.27,20.14,0.13,0.6455,93443.65,188847.394
603738.SH,20190807,21.19,21.36,19.85,20.14,20.89,-0.75,-3.5902,131667.98,270680.964
603738.SH,20190806,21.1,21.16,19.95,20.89,21.95,-1.06,-4.8292,171570.61,353382.278
603738.SH,20190805,22.4,23.13,21.35,21.95,22.62,-0.67,-2.962,175805.7,388734.822
603738.SH,20190802,22.7,24.55,22.6,22.62,23.52,-0.9,-3.8265,278303.65,652399.678
603738.SH,20190801,21.19,24.09,21.05,23.52,21.9,1.62,7.3973,297574.67,679938.336
603738.SH,20190731,20.53,22.46,20.23,21.9,20.52,1.38,6.7251,244389.27,521205.104
603738.SH,20190730,20.14,20.87,19.82,20.52,20.39,0.13,0.6376,151832.11,308475.146
603738.SH,20190729,19.83,20.88,19.83,20.39,19.57,0.82,4.1901,169292.24,344715.437
603738.SH,20190726,19.7,19.89,19.49,19.57,19.98,-0.41,-2.0521,100531.14,197680.905
603738.SH,20190725,19.81,20.47,19.55,19.98,19.74,0.24,1.2158,156052.81,312351.512
603738.SH,20190724,19.89,20.66,19.61,19.74,19.55,0.19,0.9719,251614.66,506734.731
603738.SH,20190723,18.0,19.55,18.0,19.55,17.77,1.78,10.0169,201431.17,386924.317
603738.SH,20190722,19.02,19.06,17.7,17.77,18.85,-1.08,-5.7294,89146.44,161613.956
603738.SH,20190719,19.25,19.3,18.65,18.85,18.95,-0.1,-0.5277,83247.65,158117.17
603738.SH,20190718,19.3,19.36,18.86,18.95,19.8,-0.85,-4.2929,110114.2,210292.13
603738.SH,20190717,19.85,20.19,19.61,19.8,19.68,0.12,0.6098,114780.73,228463.991
603738.SH,20190716,19.64,20.29,19.46,19.68,19.7,-0.02,-0.1015,122128.25,242150.974
603738.SH,20190715,19.63,20.05,18.62,19.7,19.78,-0.08,-0.4044,149502.86,288503.63
603738.SH,20190712,21.0,21.0,19.65,19.78,21.54,-1.76,-8.1708,205192.71,415267.296
603738.SH,20190711,21.58,22.49,21.26,21.54,22.54,-1.0,-4.4366,262445.13,573220.584
603738.SH,20190710,21.09,22.54,20.9,22.54,20.49,2.05,10.0049,327858.55,708956.301
603738.SH,20190709,20.2,20.58,19.7,20.49,20.19,0.3,1.4859,155269.58,314943.382
603738.SH,20190708,20.5,20.71,19.88,20.19,20.78,-0.59,-2.8393,163429.45,330519.936
603738.SH,20190705,20.8,21.55,20.63,20.78,21.1,-0.32,-1.5166,221265.57,465367.789
603738.SH,20190704,22.0,22.36,21.06,21.1,23.4,-2.3,-9.8291,370645.34,804495.47
603738.SH,20190703,23.4,23.4,23.4,23.4,26.0,-2.6,-10.0,25270.0,59131.8
603738.SH,20190702,31.3,31.3,25.78,26.0,28.45,-2.45,-8.6116,495185.67,1481661.822
603738.SH,20190701,28.45,28.45,28.45,28.45,25.86,2.59,10.0155,9094.79,25874.678
603738.SH,20190628,23.87,25.86,23.51,25.86,23.51,2.35,9.9957,167804.4,419426.104
603738.SH,20190627,23.0,23.51,22.18,23.51,21.37,2.14,10.014,214322.44,498912.044
603738.SH,20190626,20.88,21.37,20.36,21.37,19.43,1.94,9.9846,68203.92,142699.704
603738.SH,20190625,17.67,19.43,17.0,19.43,17.66,1.77,10.0227,82660.24,154291.929
603738.SH,20190624,16.84,18.53,16.83,17.66,17.2,0.46,2.6744,123546.52,220477.362
603738.SH,20190621,16.45,17.2,16.23,17.2,16.3,0.9,5.5215,77642.32,129820.209
603738.SH,20190620,16.27,16.4,15.89,16.3,16.6,-0.3,-1.8072,70972.49,114289.685
603738.SH,20190619,17.94,17.94,16.52,16.6,17.03,-0.43,-2.525,98783.96,169215.488
603738.SH,20190618,16.3,17.24,16.04,17.03,16.72,0.31,1.8541,78727.42,131973.529
603738.SH,20190617,16.28,17.33,16.2,16.72,15.99,0.73,4.5654,75092.47,125834.026
603738.SH,20190614,16.65,16.79,15.92,15.99,16.72,-0.73,-4.366,55153.68,89749.76
603738.SH,20190613,16.66,16.95,16.35,16.72,17.2,-0.48,-2.7907,83572.9,139093.368
603738.SH,20190612,16.79,17.78,16.61,17.2,17.31,-0.11,-0.6355,129065.28,222520.752
603738.SH,20190611,17.05,18.38,16.38,17.31,16.8,0.51,3.0357,167661.93,290640.108
603738.SH,20190610,15.59,16.8,15.59,16.8,15.27,1.53,10.0196,68830.43,113443.167
603738.SH,20190606,16.0,16.7,15.16,15.27,15.92,-0.65,-4.0829,120475.72,191417.976
603738.SH,20190605,14.84,15.92,14.55,15.92,14.47,1.45,10.0207,84806.75,132485.058
603738.SH,20190604,15.0,15.24,13.84,14.47,15.13,-0.66,-4.3622,57231.8,83711.084
603738.SH,20190603,15.7,15.83,14.9,15.13,15.8,-0.67,-4.2405,58140.49,89466.269
603738.SH,20190531,15.41,16.39,14.95,15.8,15.15,0.65,4.2904,93591.3,145323.574
603738.SH,20190530,15.38,15.5,14.68,15.15,15.73,-0.58,-3.6872,74350.28,111809.072
603738.SH,20190529,14.88,15.94,14.58,15.73,14.49,1.24,8.5576,113917.36,174491.043
603738.SH,20190528,14.34,14.95,14.34,14.49,14.15,0.34,2.4028,81650.13,119288.501
603738.SH,20190527,13.67,14.32,13.67,14.15,13.79,0.36,2.6106,61742.91,86960.147
603738.SH,20190524,14.36,14.9,13.88,13.88,15.42,-1.54,-9.987,94909.28,135099.416
603738.SH,20190523,16.66,16.66,15.42,15.42,17.13,-1.71,-9.9825,108598.77,173144.255
603738.SH,20190522,15.99,17.86,15.9,17.13,16.35,0.78,4.7706,154745.03,262853.078
603738.SH,20190521,16.14,17.68,15.19,16.35,16.17,0.18,1.1132,169283.15,277034.092
603738.SH,20190520,16.17,16.17,16.17,16.17,14.7,1.47,10.0,43577.52,70464.85
603738.SH,20190517,13.7,14.7,13.46,14.7,13.36,1.34,10.0299,65850.17,94145.87
603738.SH,20190516,13.48,13.5,13.14,13.36,13.49,-0.13,-0.9637,18870.6,25165.515
