ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000652.SZ,20200110,3.78,3.79,3.71,3.73,3.76,-0.03,-0.7979,78770.0,29475.24
000652.SZ,20200109,3.78,3.79,3.73,3.76,3.72,0.04,1.0753,91586.16,34420.89
000652.SZ,20200108,3.82,3.83,3.7,3.72,3.84,-0.12,-3.125,154005.91,57944.896
000652.SZ,20200107,3.79,3.86,3.76,3.84,3.75,0.09,2.4,199826.03,76347.323
000652.SZ,20200106,3.73,3.79,3.73,3.75,3.76,-0.01,-0.266,133398.2,50191.05
000652.SZ,20200103,3.74,3.78,3.74,3.76,3.75,0.01,0.2667,101387.0,38115.741
000652.SZ,20200102,3.76,3.8,3.73,3.75,3.76,-0.01,-0.266,190404.2,71678.828
000652.SZ,20191231,3.66,3.83,3.62,3.76,3.65,0.11,3.0137,274064.94,102493.438
000652.SZ,20191230,3.55,3.69,3.54,3.65,3.58,0.07,1.9553,134838.86,49082.251
000652.SZ,20191227,3.58,3.65,3.58,3.58,3.57,0.01,0.2801,124701.12,45143.898
000652.SZ,20191226,3.5,3.57,3.5,3.57,3.5,0.07,2.0,75051.83,26581.854
000652.SZ,20191225,3.52,3.54,3.48,3.5,3.53,-0.03,-0.8499,62597.61,22004.397
000652.SZ,20191224,3.5,3.54,3.48,3.53,3.48,0.05,1.4368,54440.62,19106.569
000652.SZ,20191223,3.62,3.63,3.48,3.48,3.62,-0.14,-3.8674,102377.81,36280.218
000652.SZ,20191220,3.6,3.68,3.59,3.62,3.6,0.02,0.5556,118926.45,43237.188
000652.SZ,20191219,3.59,3.63,3.56,3.6,3.57,0.03,0.8403,73732.3,26538.187
000652.SZ,20191218,3.57,3.65,3.57,3.57,3.58,-0.01,-0.2793,116701.14,41975.778
000652.SZ,20191217,3.48,3.6,3.46,3.58,3.48,0.1,2.8736,157877.32,56096.296
000652.SZ,20191216,3.46,3.48,3.43,3.48,3.45,0.03,0.8696,86667.69,29985.715
000652.SZ,20191213,3.4,3.46,3.39,3.45,3.38,0.07,2.071,71179.57,24413.446
000652.SZ,20191212,3.42,3.43,3.37,3.38,3.42,-0.04,-1.1696,42701.97,14531.493
000652.SZ,20191211,3.45,3.46,3.42,3.42,3.46,-0.04,-1.1561,46660.97,16016.293
000652.SZ,20191210,3.44,3.46,3.43,3.46,3.45,0.01,0.2899,35362.45,12197.209
000652.SZ,20191209,3.44,3.46,3.43,3.45,3.43,0.02,0.5831,39808.68,13723.769
000652.SZ,20191206,3.43,3.47,3.41,3.43,3.43,0.0,0.0,49694.42,17063.953
000652.SZ,20191205,3.4,3.43,3.4,3.43,3.42,0.01,0.2924,48465.5,16575.516
000652.SZ,20191204,3.37,3.44,3.35,3.42,3.37,0.05,1.4837,59910.6,20406.688
000652.SZ,20191203,3.35,3.38,3.34,3.37,3.37,0.0,0.0,24793.01,8328.426
000652.SZ,20191202,3.36,3.39,3.35,3.37,3.34,0.03,0.8982,37741.98,12733.285
000652.SZ,20191129,3.35,3.36,3.33,3.34,3.35,-0.01,-0.2985,25594.7,8550.61
000652.SZ,20191128,3.38,3.39,3.34,3.35,3.37,-0.02,-0.5935,25547.0,8576.711
000652.SZ,20191127,3.39,3.39,3.35,3.37,3.39,-0.02,-0.59,29725.0,10013.288
000652.SZ,20191126,3.37,3.4,3.36,3.39,3.38,0.01,0.2959,45234.29,15294.232
000652.SZ,20191125,3.34,3.38,3.33,3.38,3.34,0.04,1.1976,35353.25,11869.442
000652.SZ,20191122,3.36,3.39,3.32,3.34,3.35,-0.01,-0.2985,35125.19,11766.511
000652.SZ,20191121,3.34,3.38,3.33,3.35,3.36,-0.01,-0.2976,35220.19,11814.412
000652.SZ,20191120,3.38,3.41,3.35,3.36,3.39,-0.03,-0.885,33731.0,11413.821
000652.SZ,20191119,3.34,3.41,3.32,3.39,3.34,0.05,1.497,59957.73,20210.428
000652.SZ,20191118,3.37,3.37,3.31,3.34,3.36,-0.02,-0.5952,57695.21,19230.203
000652.SZ,20191115,3.42,3.42,3.35,3.36,3.41,-0.05,-1.4663,47200.0,15959.649
000652.SZ,20191114,3.41,3.43,3.4,3.41,3.41,0.0,0.0,36671.0,12532.463
