ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603993.SH,20200110,4.43,4.43,4.24,4.38,4.42,-0.04,-0.905,2906158.48,1259979.507
603993.SH,20200109,4.5,4.56,4.38,4.42,4.46,-0.04,-0.8969,1930605.75,859266.159
603993.SH,20200108,4.42,4.51,4.38,4.46,4.42,0.04,0.905,2153188.38,958139.713
603993.SH,20200107,4.45,4.49,4.37,4.42,4.49,-0.07,-1.559,1834330.59,809702.807
603993.SH,20200106,4.46,4.65,4.44,4.49,4.48,0.01,0.2232,3306883.03,1498800.734
603993.SH,20200103,4.42,4.57,4.32,4.48,4.37,0.11,2.5172,3113213.05,1390300.828
603993.SH,20200102,4.39,4.45,4.31,4.37,4.36,0.01,0.2294,2449631.22,1071796.84
603993.SH,20191231,4.34,4.43,4.27,4.36,4.38,-0.02,-0.4566,2046912.23,887192.407
603993.SH,20191230,4.35,4.5,4.3,4.38,4.33,0.05,1.1547,2850261.98,1246707.499
603993.SH,20191227,4.18,4.53,4.14,4.33,4.16,0.17,4.0865,4261539.6,1860573.279
603993.SH,20191226,4.2,4.23,4.08,4.16,4.2,-0.04,-0.9524,1968750.66,815706.143
603993.SH,20191225,4.07,4.25,4.02,4.2,4.1,0.1,2.439,3728751.44,1547264.784
603993.SH,20191224,3.74,4.1,3.73,4.1,3.73,0.37,9.9196,4729428.78,1881595.486
603993.SH,20191223,3.73,3.82,3.71,3.73,3.73,0.0,0.0,910519.01,343353.996
603993.SH,20191220,3.82,3.83,3.72,3.73,3.8,-0.07,-1.8421,615054.0,231989.283
603993.SH,20191219,3.8,3.84,3.79,3.8,3.81,-0.01,-0.2625,701517.04,267146.236
603993.SH,20191218,3.81,3.84,3.78,3.81,3.82,-0.01,-0.2618,875735.21,332882.917
603993.SH,20191217,3.78,3.88,3.76,3.82,3.76,0.06,1.5957,1806770.63,693055.038
603993.SH,20191216,3.78,3.79,3.72,3.76,3.76,0.0,0.0,715347.77,267563.821
603993.SH,20191213,3.72,3.76,3.71,3.76,3.68,0.08,2.1739,929439.05,347504.066
603993.SH,20191212,3.71,3.74,3.67,3.68,3.71,-0.03,-0.8086,548256.13,203172.267
603993.SH,20191211,3.79,3.79,3.69,3.71,3.76,-0.05,-1.3298,843236.3,313545.414
603993.SH,20191210,3.74,3.8,3.72,3.76,3.74,0.02,0.5348,995815.4,374517.425
603993.SH,20191209,3.77,3.79,3.72,3.74,3.74,0.0,0.0,1024100.29,384554.65
603993.SH,20191206,3.63,3.82,3.62,3.74,3.62,0.12,3.3149,2590873.62,972089.255
603993.SH,20191205,3.63,3.65,3.59,3.62,3.61,0.01,0.277,909080.88,329040.886
603993.SH,20191204,3.49,3.64,3.48,3.61,3.51,0.1,2.849,1376617.06,495730.591
603993.SH,20191203,3.48,3.53,3.47,3.51,3.5,0.01,0.2857,473045.74,165461.738
603993.SH,20191202,3.55,3.57,3.48,3.5,3.56,-0.06,-1.6854,786785.17,276852.697
603993.SH,20191129,3.58,3.61,3.53,3.56,3.58,-0.02,-0.5587,543590.35,194071.978
603993.SH,20191128,3.6,3.65,3.57,3.58,3.63,-0.05,-1.3774,1061409.17,383156.068
603993.SH,20191127,3.5,3.68,3.5,3.63,3.48,0.15,4.3103,2082538.54,749891.148
603993.SH,20191126,3.54,3.54,3.48,3.48,3.55,-0.07,-1.9718,974382.94,341114.522
603993.SH,20191125,3.43,3.56,3.42,3.55,3.43,0.12,3.4985,1329525.0,466323.261
603993.SH,20191122,3.43,3.49,3.41,3.43,3.41,0.02,0.5865,637896.04,219972.575
603993.SH,20191121,3.43,3.44,3.4,3.41,3.44,-0.03,-0.8721,280933.66,95926.385
603993.SH,20191120,3.45,3.49,3.42,3.44,3.46,-0.02,-0.578,455854.15,157243.041
603993.SH,20191119,3.38,3.46,3.37,3.46,3.38,0.08,2.3669,637002.79,218861.971
603993.SH,20191118,3.37,3.39,3.36,3.38,3.37,0.01,0.2967,282940.95,95563.283
