ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603239.SH,20200110,12.16,12.25,11.68,11.9,12.19,-0.29,-2.379,37819.0,45292.36
603239.SH,20200109,12.21,12.31,11.96,12.19,11.96,0.23,1.9231,23851.82,28915.818
603239.SH,20200108,12.1,12.34,11.82,11.96,11.9,0.06,0.5042,54309.99,65672.428
603239.SH,20200107,11.85,11.99,11.71,11.9,11.66,0.24,2.0583,40454.15,48048.349
603239.SH,20200106,11.66,11.99,11.54,11.66,11.76,-0.1,-0.8503,45075.99,52654.0
603239.SH,20200103,11.8,11.91,11.49,11.76,11.62,0.14,1.2048,44812.0,52385.813
603239.SH,20200102,11.25,11.88,11.11,11.62,11.21,0.41,3.6574,54031.32,62185.252
603239.SH,20191231,10.99,11.34,10.88,11.21,11.02,0.19,1.7241,57046.02,63676.912
603239.SH,20191230,10.61,11.47,10.61,11.02,10.43,0.59,5.6568,122261.05,135265.51
603239.SH,20191227,10.05,10.54,9.96,10.43,10.05,0.38,3.7811,72940.07,75538.685
603239.SH,20191226,10.26,10.28,9.93,10.05,10.24,-0.19,-1.8555,59093.32,59250.101
603239.SH,20191225,10.29,10.39,10.09,10.24,10.27,-0.03,-0.2921,36349.24,37052.473
603239.SH,20191224,10.32,10.33,10.05,10.27,10.14,0.13,1.2821,35920.51,36632.697
603239.SH,20191223,10.3,10.38,10.09,10.14,10.22,-0.08,-0.7828,53795.44,54863.951
603239.SH,20191220,10.17,10.39,10.0,10.22,10.06,0.16,1.5905,55800.44,57031.264
603239.SH,20191219,9.97,10.2,9.73,10.06,9.93,0.13,1.3092,81711.89,82030.929
603239.SH,20191218,9.26,10.17,9.22,9.93,9.26,0.67,7.2354,89720.42,87629.973
603239.SH,20191217,9.07,9.35,9.02,9.26,9.12,0.14,1.5351,76252.21,70363.785
603239.SH,20191216,8.88,9.23,8.84,9.12,8.88,0.24,2.7027,43225.39,38869.477
603239.SH,20191213,8.85,8.91,8.76,8.88,8.82,0.06,0.6803,28328.02,25019.104
603239.SH,20191212,8.86,8.9,8.81,8.82,8.84,-0.02,-0.2262,13422.0,11885.4
603239.SH,20191211,8.93,8.93,8.81,8.84,8.93,-0.09,-1.0078,13822.0,12236.205
603239.SH,20191210,8.84,8.96,8.84,8.93,8.83,0.1,1.1325,19361.6,17240.205
603239.SH,20191209,8.88,8.88,8.77,8.83,8.85,-0.02,-0.226,16576.72,14620.883
603239.SH,20191206,8.9,8.94,8.82,8.85,8.95,-0.1,-1.1173,19489.0,17265.739
603239.SH,20191205,9.13,9.22,8.81,8.95,9.19,-0.24,-2.6115,61860.32,55398.151
603239.SH,20191204,9.09,9.33,9.01,9.19,9.18,0.01,0.1089,17224.72,15859.481
603239.SH,20191203,8.81,9.21,8.7,9.18,9.1,0.08,0.8791,38197.01,34400.476
603239.SH,20191202,9.63,9.71,8.68,9.1,9.64,-0.54,-5.6017,75999.58,69253.876
603239.SH,20191129,9.72,9.72,9.56,9.64,9.66,-0.02,-0.207,11592.0,11155.858
603239.SH,20191128,9.67,9.76,9.61,9.66,9.7,-0.04,-0.4124,11483.4,11121.542
603239.SH,20191127,9.87,9.9,9.67,9.7,9.87,-0.17,-1.7224,16754.0,16370.012
603239.SH,20191126,9.94,10.07,9.81,9.87,9.97,-0.1,-1.003,21913.0,21744.58
