ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300448.SZ,20200110,8.5,9.05,8.4,8.81,8.53,0.28,3.2825,460273.92,401335.823
300448.SZ,20200109,8.48,8.6,8.36,8.53,8.23,0.3,3.6452,378396.88,321203.515
300448.SZ,20200108,8.34,8.54,8.2,8.23,8.35,-0.12,-1.4371,442653.12,370282.361
300448.SZ,20200107,8.04,8.36,8.04,8.35,8.11,0.24,2.9593,338069.92,279301.671
300448.SZ,20200106,7.71,8.22,7.7,8.11,7.8,0.31,3.9744,390526.08,312895.437
300448.SZ,20200103,7.75,7.8,7.64,7.8,7.73,0.07,0.9056,167555.78,129325.563
300448.SZ,20200102,7.62,7.74,7.62,7.73,7.6,0.13,1.7105,193407.91,148783.668
300448.SZ,20191231,7.56,7.69,7.48,7.6,7.59,0.01,0.1318,94007.4,71389.755
300448.SZ,20191230,7.49,7.64,7.28,7.59,7.57,0.02,0.2642,147655.05,110414.584
300448.SZ,20191227,7.78,7.81,7.51,7.57,7.77,-0.2,-2.574,168788.11,129569.99
300448.SZ,20191226,7.7,7.83,7.65,7.77,7.75,0.02,0.2581,125879.84,97381.392
300448.SZ,20191225,7.65,7.86,7.6,7.75,7.67,0.08,1.043,157056.68,121862.723
300448.SZ,20191224,7.6,7.71,7.53,7.67,7.58,0.09,1.1873,121203.79,92656.113
300448.SZ,20191223,7.8,7.86,7.53,7.58,7.88,-0.3,-3.8071,184749.13,142366.597
300448.SZ,20191220,8.07,8.15,7.81,7.88,8.03,-0.15,-1.868,236106.41,189192.938
300448.SZ,20191219,8.04,8.23,7.93,8.03,8.07,-0.04,-0.4957,275979.67,222447.983
300448.SZ,20191218,7.88,8.16,7.8,8.07,7.91,0.16,2.0228,342789.76,274117.733
300448.SZ,20191217,7.94,7.96,7.76,7.91,7.97,-0.06,-0.7528,356502.54,280125.573
300448.SZ,20191216,7.68,8.05,7.68,7.97,7.68,0.29,3.776,383964.01,302587.91
300448.SZ,20191213,7.75,7.8,7.53,7.68,7.73,-0.05,-0.6468,321605.33,246518.082
300448.SZ,20191212,7.84,8.0,7.67,7.73,8.1,-0.37,-4.5679,491465.88,384559.75
300448.SZ,20191211,8.76,8.76,8.02,8.1,7.96,0.14,1.7588,919102.15,782842.171
300448.SZ,20191210,7.88,8.05,7.76,7.96,7.86,0.1,1.2723,264825.92,209157.709
300448.SZ,20191209,7.61,7.98,7.61,7.86,7.56,0.3,3.9683,293397.75,230614.272
300448.SZ,20191206,7.38,7.66,7.37,7.56,7.42,0.14,1.8868,196164.39,147805.198
300448.SZ,20191205,7.31,7.47,7.31,7.42,7.28,0.14,1.9231,152269.4,112610.122
300448.SZ,20191204,7.3,7.33,7.23,7.28,7.37,-0.09,-1.2212,75725.58,55127.764
300448.SZ,20191203,7.31,7.38,7.24,7.37,7.41,-0.04,-0.5398,108079.89,78950.31
300448.SZ,20191202,7.4,7.41,7.22,7.41,7.34,0.07,0.9537,132420.16,96747.519
300448.SZ,20191129,6.97,7.34,6.89,7.34,6.95,0.39,5.6115,195123.11,139771.143
300448.SZ,20191128,7.04,7.06,6.93,6.95,7.04,-0.09,-1.2784,84740.7,59126.408
300448.SZ,20191127,7.08,7.12,6.97,7.04,7.07,-0.03,-0.4243,132434.88,93322.902
300448.SZ,20191126,7.28,7.34,7.06,7.07,7.24,-0.17,-2.3481,140394.7,100600.812
300448.SZ,20191125,7.37,7.46,7.1,7.24,7.4,-0.16,-2.1622,150851.41,109197.284
300448.SZ,20191122,7.55,7.65,7.32,7.4,7.6,-0.2,-2.6316,196173.27,146655.417
300448.SZ,20191121,7.49,7.73,7.41,7.6,7.58,0.02,0.2639,217914.24,165265.413
300448.SZ,20191120,7.53,7.63,7.42,7.58,7.53,0.05,0.664,261348.61,196283.318
300448.SZ,20191119,7.04,7.72,7.0,7.53,7.03,0.5,7.1124,384790.25,285434.41
300448.SZ,20191118,6.79,7.03,6.71,7.03,6.81,0.22,3.2305,137346.0,95316.828
300448.SZ,20191115,6.73,7.04,6.71,6.81,6.75,0.06,0.8889,156144.4,107936.576
300448.SZ,20191114,6.71,6.8,6.67,6.75,6.73,0.02,0.2972,75696.67,51065.099
300448.SZ,20191113,6.87,6.88,6.7,6.73,6.89,-0.16,-2.3222,90120.69,61015.546
300448.SZ,20191112,6.87,6.93,6.69,6.89,6.87,0.02,0.2911,109806.9,74665.413
300448.SZ,20191111,7.12,7.12,6.82,6.87,7.11,-0.24,-3.3755,123336.8,85434.583
300448.SZ,20191108,7.17,7.22,7.08,7.11,7.15,-0.04,-0.5594,159024.15,113571.529
300448.SZ,20191107,6.96,7.15,6.89,7.15,6.93,0.22,3.1746,169786.44,119448.667
300448.SZ,20191106,7.15,7.16,6.76,6.93,7.14,-0.21,-2.9412,240649.0,167302.289
300448.SZ,20191105,7.12,7.23,7.08,7.14,7.12,0.02,0.2809,134127.39,95840.436
300448.SZ,20191104,7.23,7.29,7.1,7.12,7.17,-0.05,-0.6974,167852.02,120680.078
300448.SZ,20191101,7.03,7.21,6.95,7.17,7.06,0.11,1.5581,173681.06,123561.196
300448.SZ,20191031,7.21,7.42,7.03,7.06,7.29,-0.23,-3.155,267760.59,192046.051
300448.SZ,20191030,7.41,7.59,7.22,7.29,7.74,-0.45,-5.814,422601.74,313561.125
300448.SZ,20191029,7.9,8.45,7.71,7.74,7.88,-0.14,-1.7766,923595.29,749040.85
300448.SZ,20191028,7.88,7.88,7.68,7.88,7.16,0.72,10.0559,395326.75,310914.003
300448.SZ,20191025,7.15,7.18,7.04,7.16,7.24,-0.08,-1.105,175466.52,124729.189
300448.SZ,20191024,7.26,7.3,7.12,7.24,7.3,-0.06,-0.8219,140664.47,101355.436
300448.SZ,20191023,7.55,7.59,7.22,7.3,7.48,-0.18,-2.4064,189561.91,139348.642
300448.SZ,20191022,7.3,7.53,7.28,7.48,7.35,0.13,1.7687,190050.39,141263.732
300448.SZ,20191021,7.19,7.48,7.07,7.35,7.12,0.23,3.2303,202912.93,148357.621
300448.SZ,20191018,7.4,7.54,7.07,7.12,7.46,-0.34,-4.5576,204140.64,148717.932
300448.SZ,20191017,7.44,7.75,7.39,7.46,7.47,-0.01,-0.1339,216700.14,163878.078
300448.SZ,20191016,7.32,7.54,7.31,7.47,7.36,0.11,1.4946,200056.79,149039.232
300448.SZ,20191015,7.53,7.53,7.3,7.36,7.59,-0.23,-3.0303,194381.18,143753.716
300448.SZ,20191014,7.35,7.6,7.31,7.59,7.26,0.33,4.5455,303708.02,227416.988
300448.SZ,20191011,7.38,7.38,7.13,7.26,7.38,-0.12,-1.626,205376.21,149053.214
300448.SZ,20191010,7.36,7.42,7.23,7.38,7.24,0.14,1.9337,233777.15,171634.357
300448.SZ,20191009,7.05,7.25,7.02,7.24,7.07,0.17,2.4045,174277.0,124817.915
300448.SZ,20191008,7.25,7.25,7.03,7.07,7.1,-0.03,-0.4225,168052.07,119725.069
300448.SZ,20190930,7.29,7.4,7.1,7.1,7.29,-0.19,-2.6063,189277.34,137164.379
300448.SZ,20190927,7.25,7.44,7.2,7.29,7.2,0.09,1.25,262491.19,192833.486
300448.SZ,20190926,7.88,7.88,7.15,7.2,7.87,-0.67,-8.5133,411854.67,306813.537
300448.SZ,20190925,8.1,8.1,7.63,7.87,8.12,-0.25,-3.0788,429327.75,335629.322
300448.SZ,20190924,8.28,8.4,8.09,8.12,8.3,-0.18,-2.1687,411387.74,338487.403
300448.SZ,20190923,8.1,8.45,7.85,8.3,8.25,0.05,0.6061,461466.35,379594.769
300448.SZ,20190920,8.5,8.67,8.22,8.25,8.42,-0.17,-2.019,635468.79,536600.026
300448.SZ,20190919,8.6,8.77,8.31,8.42,8.88,-0.46,-5.1802,837160.27,712068.028
300448.SZ,20190918,10.0,10.3,8.76,8.88,9.64,-0.76,-7.8838,1427276.9,1353358.609
300448.SZ,20190917,9.64,9.64,9.6,9.64,8.76,0.88,10.0457,531555.74,512414.799
300448.SZ,20190916,8.76,8.76,8.42,8.76,7.96,0.8,10.0503,357198.86,312785.223
300448.SZ,20190912,7.41,8.03,7.32,7.96,7.3,0.66,9.0411,667530.29,514218.078
300448.SZ,20190911,7.48,7.48,7.21,7.3,7.43,-0.13,-1.7497,241145.23,176756.834
300448.SZ,20190910,7.39,7.73,7.33,7.43,7.49,-0.06,-0.8011,391689.37,294332.927
300448.SZ,20190909,7.13,7.5,7.05,7.49,7.07,0.42,5.9406,421876.96,306913.38
300448.SZ,20190906,7.01,7.26,6.92,7.07,7.18,-0.11,-1.532,395485.4,280245.592
300448.SZ,20190905,7.18,7.63,7.06,7.18,7.36,-0.18,-2.4457,701130.12,510118.362
300448.SZ,20190904,6.99,7.36,6.88,7.36,6.69,0.67,10.0149,778582.45,561217.688
300448.SZ,20190903,6.12,6.69,6.12,6.69,6.08,0.61,10.0329,347302.74,223353.727
300448.SZ,20190902,5.8,6.17,5.8,6.08,5.86,0.22,3.7543,165198.59,98674.745
300448.SZ,20190830,6.04,6.05,5.75,5.86,6.0,-0.14,-2.3333,153210.84,90367.131
300448.SZ,20190829,6.08,6.11,5.97,6.0,6.05,-0.05,-0.8264,103222.59,62339.247
300448.SZ,20190828,6.18,6.18,6.02,6.05,6.16,-0.11,-1.7857,107189.54,65152.11
300448.SZ,20190827,6.16,6.38,6.09,6.16,6.1,0.06,0.9836,140237.64,86846.908
300448.SZ,20190826,6.02,6.2,6.01,6.1,6.27,-0.17,-2.7113,88813.7,54077.886
300448.SZ,20190823,6.35,6.39,6.26,6.27,6.38,-0.11,-1.7241,48850.92,30847.983
300448.SZ,20190822,6.38,6.42,6.28,6.38,6.37,0.01,0.157,92527.65,58572.669
300448.SZ,20190821,6.44,6.46,6.32,6.37,6.42,-0.05,-0.7788,82987.65,52995.753
300448.SZ,20190820,6.4,6.57,6.39,6.42,6.4,0.02,0.3125,134856.82,87123.36
300448.SZ,20190819,6.2,6.5,6.18,6.4,6.15,0.25,4.065,186089.25,117771.116
300448.SZ,20190816,6.16,6.26,6.13,6.15,6.23,-0.08,-1.2841,90599.48,56046.671
300448.SZ,20190815,5.85,6.29,5.72,6.23,6.03,0.2,3.3167,165532.89,100138.2
300448.SZ,20190814,6.06,6.14,5.98,6.03,6.01,0.02,0.3328,56110.87,33872.926
300448.SZ,20190813,5.99,6.05,5.94,6.01,6.1,-0.09,-1.4754,59128.08,35379.307
300448.SZ,20190812,5.96,6.13,5.92,6.1,5.96,0.14,2.349,80307.07,48376.327
300448.SZ,20190809,5.97,6.13,5.92,5.96,5.97,-0.01,-0.1675,80418.12,48312.111
300448.SZ,20190808,5.84,6.05,5.81,5.97,5.88,0.09,1.5306,115031.19,68148.321
300448.SZ,20190807,5.86,5.92,5.76,5.88,5.91,-0.03,-0.5076,72285.95,42207.777
300448.SZ,20190806,5.96,5.97,5.53,5.91,6.09,-0.18,-2.9557,138118.34,79598.511
300448.SZ,20190805,6.14,6.18,6.07,6.09,6.12,-0.03,-0.4902,48090.74,29424.121
300448.SZ,20190802,6.27,6.3,6.05,6.12,6.34,-0.22,-3.47,97757.69,60167.226
300448.SZ,20190801,6.35,6.47,6.27,6.34,6.39,-0.05,-0.7825,92318.47,58618.439
300448.SZ,20190731,6.63,6.63,6.35,6.39,6.64,-0.25,-3.7651,112874.12,72899.305
300448.SZ,20190730,6.63,6.77,6.57,6.64,6.66,-0.02,-0.3003,87989.98,58631.116
300448.SZ,20190729,6.65,6.72,6.55,6.66,6.7,-0.04,-0.597,91190.26,60377.779
300448.SZ,20190726,6.82,6.9,6.3,6.7,6.91,-0.21,-3.0391,258644.4,172175.155
300448.SZ,20190725,7.3,7.42,6.89,6.91,7.23,-0.32,-4.426,219057.25,155881.784
300448.SZ,20190724,7.08,7.33,7.06,7.23,7.1,0.13,1.831,117503.31,84610.071
300448.SZ,20190723,6.99,7.18,6.88,7.1,7.03,0.07,0.9957,110977.9,77705.47
300448.SZ,20190722,7.39,7.43,6.81,7.03,7.38,-0.35,-4.7425,93457.45,66067.38
300448.SZ,20190719,7.35,7.57,7.3,7.38,7.35,0.03,0.4082,86524.18,64022.674
300448.SZ,20190718,7.4,7.49,7.21,7.35,7.54,-0.19,-2.5199,106529.96,78343.027
300448.SZ,20190717,7.56,7.65,7.48,7.54,7.59,-0.05,-0.6588,116795.95,88161.333
300448.SZ,20190716,7.37,7.7,7.32,7.59,7.46,0.13,1.7426,177235.62,132703.057
300448.SZ,20190715,7.57,7.73,7.32,7.46,7.6,-0.14,-1.8421,176010.8,132657.212
300448.SZ,20190712,7.34,7.8,7.22,7.6,7.52,0.08,1.0638,255677.72,192485.797
300448.SZ,20190711,7.16,7.8,7.11,7.52,7.1,0.42,5.9155,301883.31,222934.071
300448.SZ,20190710,6.89,7.25,6.84,7.1,6.94,0.16,2.3055,192796.6,136235.951
300448.SZ,20190709,6.78,6.96,6.73,6.94,6.73,0.21,3.1204,136150.93,93274.297
300448.SZ,20190708,6.85,6.88,6.68,6.73,6.95,-0.22,-3.1655,75097.31,50794.837
300448.SZ,20190705,6.89,6.98,6.8,6.95,6.9,0.05,0.7246,74222.76,51027.844
300448.SZ,20190704,6.89,7.03,6.86,6.9,6.94,-0.04,-0.5764,51978.72,35910.441
300448.SZ,20190703,6.99,6.99,6.87,6.94,7.0,-0.06,-0.8571,64273.11,44516.602
300448.SZ,20190702,6.89,7.14,6.86,7.0,6.92,0.08,1.1561,132450.06,92418.3
300448.SZ,20190701,6.72,6.94,6.7,6.92,6.64,0.28,4.2169,162652.06,110955.273
300448.SZ,20190628,6.65,6.74,6.55,6.64,6.69,-0.05,-0.7474,39727.04,26310.532
